siteID,freq_khz,amp_db,type,direction,distance_m
A020,12,NA,singal,back,16
A020,16,NA,singal,back,16
A020,0.5,NA,singal,back,32
A020,2,NA,singal,back,32
A020,4,NA,singal,back,32
A020,8,NA,singal,back,32
A020,12,NA,singal,back,32
A020,16,NA,singal,back,32
A024,0.5,-19.604395,signal,front,4
A024,2,-14.646427,signal,front,4
A024,4,-8.253950,signal,front,4
A024,8,-5.148450,signal,front,4
A024,12,-0.976567,signal,front,4
A024,16,-2.390145,signal,front,4
A024,0.5,-38.651031,signal,front,8
A024,2,-32.173519,signal,front,8
A024,4,-13.320752,signal,front,8
A024,8,-13.587693,signal,front,8
A024,12,-9.102786,signal,front,8
A024,16,-9.420760,signal,front,8
A024,0.5,-42.630627,signal,front,16
A024,2,-26.421391,signal,front,16
A024,4,-19.686895,signal,front,16
A024,8,-21.186115,signal,front,16
A024,12,-13.254777,signal,front,16
A024,16,-21.577843,signal,front,16
A024,0.5,-59.197571,signal,front,32
A024,2,-39.672405,signal,front,32
A024,4,-24.182264,signal,front,32
A024,8,-22.339996,signal,front,32
A024,12,-23.790089,signal,front,32
A024,16,-31.880152,signal,front,32
A024,0.5,NA,signal,back,4
A024,2,NA,signal,back,4
A024,4,NA,signal,back,4
A024,8,NA,signal,back,4
A024,12,NA,signal,back,4
A024,16,NA,signal,back,4
A024,0.5,NA,signal,back,8
A024,2,NA,signal,back,8
A024,4,NA,signal,back,8
A024,8,NA,signal,back,8
A024,12,NA,signal,back,8
A024,16,NA,signal,back,8
A024,0.5,NA,signal,back,16
A024,2,NA,signal,back,16
A024,4,NA,signal,back,16
A024,8,NA,signal,back,16
A024,12,NA,signal,back,16
A024,16,NA,signal,back,16
A024,0.5,NA,signal,back,32
A024,2,NA,signal,back,32
A024,4,NA,signal,back,32
A024,8,NA,signal,back,32
A024,12,NA,signal,back,32
A024,16,NA,signal,back,32
A025,0.5,-15.592942,singal,front,4
A025,2,-14.080976,singal,front,4
A025,4,-9.062495,singal,front,4
A025,8,-5.672353,singal,front,4
A025,12,-1.332932,singal,front,4
A025,16,-4.368872,singal,front,4
A025,0.5,-35.666992,singal,front,8
A025,2,-37.433376,singal,front,8
A025,4,-12.144593,singal,front,8
A025,8,-10.372035,singal,front,8
A025,12,-6.155446,singal,front,8
A025,16,-13.050601,singal,front,8
A025,0.5,-29.099604,singal,front,16
A025,2,-27.555147,singal,front,16
A025,4,-32.692387,singal,front,16
A025,8,-16.678621,singal,front,16
A025,12,-15.623759,singal,front,16
A025,16,-21.025204,singal,front,16
A025,0.5,-35.067055,singal,front,32
A025,2,-37.313065,singal,front,32
A025,4,-25.869951,singal,front,32
A025,8,-25.742952,singal,front,32
A025,12,-24.520512,singal,front,32
A025,16,-30.74419,singal,front,32
A025,0.5,-19.787512,singal,back,4
A025,2,-19.108585,singal,back,4
A025,4,-17.482193,singal,back,4
A025,8,-24.480391,singal,back,4
A025,12,-10.810029,singal,back,4
A025,16,-16.650551,singal,back,4
A025,0.5,-31.44318,singal,back,8
A025,2,-54.290443,singal,back,8
A025,4,-22.730904,singal,back,8
A025,8,-23.067116,singal,back,8
