Scientific.name,Common.name,Audio_IDs,Site_IDs
Turdus merula,Eurasian Blackbird,A027 A025,6 10
Sturnus vulgaris,European Starling,A027 A025,6 10
Parus major,Great Tit,A027 A025,6 10
Phalacrocorax carbo,Great Cormorant,A027 A025,6 10
Emberiza citrinella,Yellowhammer,A027 A025,6 10
Milvus milvus,Red Kite,A027 A025,6 10
Curruca communis,Greater Whitethroat,A027 A025,6 10
Jynx torquilla,Eurasian Wryneck,A027 A025,6 10
Sylvia borin,Garden Warbler,A027 A025,6 10
Lanius collurio,Red-backed Shrike,A027,6
Sylvia atricapilla,Eurasian Blackcap,A027 A025,6 10
Hippolais polyglotta,Melodious Warbler,A027 A025,6 10
Phoenicurus ochruros,Black Redstart,A027 A025,6 10
Motacilla cinerea,Gray Wagtail,A027 A025,6 10
Cyanistes caeruleus,Eurasian Blue Tit,A027 A025,6 10
Picus viridis,Eurasian Green Woodpecker,A027 A025,6 10
Buteo buteo,Common Buzzard,A027 A025,6 10
Circus aeruginosus,Eurasian Marsh-Harrier,A027 A025,6 10
Lullula arborea,Wood Lark,A027 A025,6 10
Gallinula chloropus,Eurasian Moorhen,A027 A025,6 10
Chlidonias niger,Black Tern,A027 A025,6 10
Charadrius hiaticula,Common Ringed Plover,A027 A025,6 10
Phylloscopus trochilus,Willow Warbler,A027 A025,6 10
Corvus corone,Carrion Crow,A027 A025,6 10
Turdus viscivorus,Mistle Thrush,A027 A025,6 10
Dendrocopos major,Great Spotted Woodpecker,A027 A025,6 10
Oriolus oriolus,Eurasian Golden Oriole,A027 A025,6 10
Numenius arquata,Eurasian Curlew,A027 A025,6 10
Phylloscopus collybita,Common Chiffchaff,A027 A025,6 10
Phoenicurus phoenicurus,Common Redstart,A027 A025,6 10
Motacilla alba,White Wagtail,A027 A025,6 10
Carduelis carduelis,European Goldfinch,A027 A025,6 10
Certhia brachydactyla,Short-toed Treecreeper,A027 A025,6 10
Anas platyrhynchos,Mallard,A027 A025,6 10
Mareca strepera,Gadwall,A027,6
Pyrrhula pyrrhula,Eurasian Bullfinch,A027 A025,6 10
Streptopelia turtur,European Turtle-Dove,A027 A025,6 10
Turdus pilaris,Fieldfare,A027 A025,6 10
Tringa ochropus,Green Sandpiper,A027 A025,6 10
Charadrius dubius,Little Ringed Plover,A027 A025,6 10
Falco tinnunculus,Eurasian Kestrel,A027 A025,6 10
Turdus philomelos,Song Thrush,A027 A025,6 10
Branta canadensis,Canada Goose,A027 A025,6 10
Emberiza calandra,Corn Bunting,A027,6
Locustella naevia,Common Grasshopper-Warbler,A027 A025,6 10
Fulica atra,Eurasian Coot,A027 A025,6 10
Erithacus rubecula,European Robin,A027 A025,6 10
Corvus frugilegus,Rook,A027 A025,6 10
Regulus ignicapilla,Common Firecrest,A027 A025,6 10
Aegithalos caudatus,Long-tailed Tit,A027 A025,6 10
Curruca curruca,Lesser Whitethroat,A027 A025,6 10
Certhia familiaris,Eurasian Treecreeper,A027,6
Troglodytes troglodytes,Eurasian Wren,A027,6
Anthus trivialis,Tree Pipit,A027 A025,6 10
Columba palumbus,Common Wood-Pigeon,A027 A025,6 10
Motacilla flava,Western Yellow Wagtail,A027 A025,6 10
Muscicapa striata,Spotted Flycatcher,A027,6
Ardea cinerea,Gray Heron,A027 A025,6 10
Columba oenas,Stock Dove,A027 A025,6 10
Prunella modularis,Dunnock,A027 A025,6 10
Pica pica,Eurasian Magpie,A027 A025,6 10
Saxicola rubetra,Whinchat,A027,6
Chloris chloris,European Greenfinch,A027 A025,6 10
Anthus pratensis,Meadow Pipit,A027 A025,6 10
Dendrocoptes medius,Middle Spotted Woodpecker,A027 A025,6 10
Sitta europaea,Eurasian Nuthatch,A027 A025,6 10
Regulus regulus,Goldcrest,A027 A025,6 10
Saxicola rubicola,European Stonechat,A027 A025,6 10
Emberiza schoeniclus,Reed Bunting,A027 A025,6 10
Poecile palustris,Marsh Tit,A027,6
Luscinia megarhynchos,Common Nightingale,A027 A025,6 10
Acrocephalus palustris,Marsh Warbler,A027 A025,6 10
Periparus ater,Coal Tit,A027 A025,6 10
Streptopelia decaocto,Eurasian Collared-Dove,A027 A025,6 10
Fringilla coelebs,Common Chaffinch,A027 A025,6 10
Rallus aquaticus,Water Rail,A027 A025,6 10
Hirundo rustica,Barn Swallow,A027 A025,6 10
Alauda arvensis,Eurasian Skylark,A027 A025,6 10
Lophophanes cristatus,Crested Tit,A027 A025,6 10
Tringa totanus,Common Redshank,A027 A025,6 10
Tringa nebularia,Common Greenshank,A027 A025,6 10
Cygnus olor,Mute Swan,A027,6
Linaria cannabina,Eurasian Linnet,A027 A025,6 10
Cettia cetti,Cetti's Warbler,A027,6
Ciconia ciconia,White Stork,A027 A025,6 10
Grus grus,Common Crane,A027 A025,6 10
Anas crecca,Green-winged Teal,A027 A025,6 10
Recurvirostra avosetta,Pied Avocet,A027 A025,6 10
Cuculus canorus,Common Cuckoo,A027 A025,6 10
Dryocopus martius,Black Woodpecker,A027,6
Spinus spinus,Eurasian Siskin,A027 A025,6 10
Serinus serinus,European Serin,A027 A025,6 10
Coccothraustes coccothraustes,Hawfinch,A027 A025,6 10
Anser anser,Graylag Goose,A027 A025,6 10
Garrulus glandarius,Eurasian Jay,A027,6
Alopochen aegyptiaca,Egyptian Goose,A027 A025,6 10
Ardea alba,Great Egret,A027,6
Acrocephalus scirpaceus,Eurasian Reed Warbler,A027 A025,6 10
Luscinia svecica,Bluethroat,A027 A025,6 10
Acrocephalus schoenobaenus,Sedge Warbler,A027,6
Columba livia,Rock Pigeon,A027 A025,6 10
Actitis hypoleucos,Common Sandpiper,A027 A025,6 10
Larus argentatus,Herring Gull,A027 A025,6 10
Phylloscopus sibilatrix,Wood Warbler,A027,6
Corvus monedula,Eurasian Jackdaw,A027 A025,6 10
Bubulcus ibis,Cattle Egret,A027 A025,6 10
Phasianus colchicus,Ring-necked Pheasant,A027 A025,6 10
Oenanthe oenanthe,Northern Wheatear,A027 A025,6 10
