Start (s),End (s),Scientific name,Common name,Confidence,File
0.0,3.0,Phylloscopus collybita,Common Chiffchaff,0.5323,C:/Users/alfel/OneDrive/FELIX/Studium/Master/Soundscape Ecology/Report/Data processing/A021\20250427_130000.WAV
3.0,6.0,Prunella modularis,Dunnock,0.3466,C:/Users/alfel/OneDrive/FELIX/Studium/Master/Soundscape Ecology/Report/Data processing/A021\20250427_130000.WAV
6.0,9.0,Luscinia svecica,Bluethroat,0.1034,C:/Users/alfel/OneDrive/FELIX/Studium/Master/Soundscape Ecology/Report/Data processing/A021\20250427_130000.WAV
6.0,9.0,Saxicola rubicola,European Stonechat,0.1006,C:/Users/alfel/OneDrive/FELIX/Studium/Master/Soundscape Ecology/Report/Data processing/A021\20250427_130000.WAV
9.0,12.0,Troglodytes troglodytes,Eurasian Wren,0.1825,C:/Users/alfel/OneDrive/FELIX/Studium/Master/Soundscape Ecology/Report/Data processing/A021\20250427_130000.WAV
12.0,15.0,Streptopelia turtur,European Turtle-Dove,0.1588,C:/Users/alfel/OneDrive/FELIX/Studium/Master/Soundscape Ecology/Report/Data processing/A021\20250427_130000.WAV
12.0,15.0,Columba palumbus,Common Wood-Pigeon,0.1424,C:/Users/alfel/OneDrive/FELIX/Studium/Master/Soundscape Ecology/Report/Data processing/A021\20250427_130000.WAV
15.0,18.0,Columba palumbus,Common Wood-Pigeon,0.1004,C:/Users/alfel/OneDrive/FELIX/Studium/Master/Soundscape Ecology/Report/Data processing/A021\20250427_130000.WAV
18.0,21.0,Phylloscopus collybita,Common Chiffchaff,0.3777,C:/Users/alfel/OneDrive/FELIX/Studium/Master/Soundscape Ecology/Report/Data processing/A021\20250427_130000.WAV
18.0,21.0,Columba palumbus,Common Wood-Pigeon,0.2222,C:/Users/alfel/OneDrive/FELIX/Studium/Master/Soundscape Ecology/Report/Data processing/A021\20250427_130000.WAV
21.0,24.0,Phylloscopus collybita,Common Chiffchaff,0.2838,C:/Users/alfel/OneDrive/FELIX/Studium/Master/Soundscape Ecology/Report/Data processing/A021\20250427_130000.WAV
21.0,24.0,Columba oenas,Stock Dove,0.1521,C:/Users/alfel/OneDrive/FELIX/Studium/Master/Soundscape Ecology/Report/Data processing/A021\20250427_130000.WAV
24.0,27.0,Prunella modularis,Dunnock,0.1136,C:/Users/alfel/OneDrive/FELIX/Studium/Master/Soundscape Ecology/Report/Data processing/A021\20250427_130000.WAV
27.0,30.0,Prunella modularis,Dunnock,0.2542,C:/Users/alfel/OneDrive/FELIX/Studium/Master/Soundscape Ecology/Report/Data processing/A021\20250427_130000.WAV
27.0,30.0,Phylloscopus collybita,Common Chiffchaff,0.1382,C:/Users/alfel/OneDrive/FELIX/Studium/Master/Soundscape Ecology/Report/Data processing/A021\20250427_130000.WAV
30.0,33.0,Phylloscopus collybita,Common Chiffchaff,0.1542,C:/Users/alfel/OneDrive/FELIX/Studium/Master/Soundscape Ecology/Report/Data processing/A021\20250427_130000.WAV
36.0,39.0,Phylloscopus collybita,Common Chiffchaff,0.2373,C:/Users/alfel/OneDrive/FELIX/Studium/Master/Soundscape Ecology/Report/Data processing/A021\20250427_130000.WAV
42.0,45.0,Phylloscopus collybita,Common Chiffchaff,0.2807,C:/Users/alfel/OneDrive/FELIX/Studium/Master/Soundscape Ecology/Report/Data processing/A021\20250427_130000.WAV
45.0,48.0,Phylloscopus collybita,Common Chiffchaff,0.1617,C:/Users/alfel/OneDrive/FELIX/Studium/Master/Soundscape Ecology/Report/Data processing/A021\20250427_130000.WAV
51.0,54.0,Phylloscopus collybita,Common Chiffchaff,0.2555,C:/Users/alfel/OneDrive/FELIX/Studium/Master/Soundscape Ecology/Report/Data processing/A021\20250427_130000.WAV
54.0,57.0,Phylloscopus collybita,Common Chiffchaff,0.3853,C:/Users/alfel/OneDrive/FELIX/Studium/Master/Soundscape Ecology/Report/Data processing/A021\20250427_130000.WAV
57.0,60.0,Emberiza schoeniclus,Reed Bunting,0.2018,C:/Users/alfel/OneDrive/FELIX/Studium/Master/Soundscape Ecology/Report/Data processing/A021\20250427_130000.WAV
60.0,63.0,Troglodytes troglodytes,Eurasian Wren,0.4107,C:/Users/alfel/OneDrive/FELIX/Studium/Master/Soundscape Ecology/Report/Data processing/A021\20250427_130000.WAV
63.0,66.0,Phylloscopus collybita,Common Chiffchaff,0.5286,C:/Users/alfel/OneDrive/FELIX/Studium/Master/Soundscape Ecology/Report/Data processing/A021\20250427_130000.WAV
63.0,66.0,Sylvia borin,Garden Warbler,0.1094,C:/Users/alfel/OneDrive/FELIX/Studium/Master/Soundscape Ecology/Report/Data processing/A021\20250427_130000.WAV
66.0,69.0,Phylloscopus collybita,Common Chiffchaff,0.1797,C:/Users/alfel/OneDrive/FELIX/Studium/Master/Soundscape Ecology/Report/Data processing/A021\20250427_130000.WAV
75.0,78.0,Streptopelia decaocto,Eurasian Collared-Dove,0.1524,C:/Users/alfel/OneDrive/FELIX/Studium/Master/Soundscape Ecology/Report/Data processing/A021\20250427_130000.WAV
84.0,87.0,Columba palumbus,Common Wood-Pigeon,0.1980,C:/Users/alfel/OneDrive/FELIX/Studium/Master/Soundscape Ecology/Report/Data processing/A021\20250427_130000.WAV
99.0,102.0,Sylvia borin,Garden Warbler,0.2228,C:/Users/alfel/OneDrive/FELIX/Studium/Master/Soundscape Ecology/Report/Data processing/A021\20250427_130000.WAV
105.0,108.0,Phylloscopus collybita,Common Chiffchaff,0.2506,C:/Users/alfel/OneDrive/FELIX/Studium/Master/Soundscape Ecology/Report/Data processing/A021\20250427_130000.WAV
108.0,111.0,Phylloscopus collybita,Common Chiffchaff,0.5962,C:/Users/alfel/OneDrive/FELIX/Studium/Master/Soundscape Ecology/Report/Data processing/A021\20250427_130000.WAV
114.0,117.0,Columba palumbus,Common Wood-Pigeon,0.3424,C:/Users/alfel/OneDrive/FELIX/Studium/Master/Soundscape Ecology/Report/Data processing/A021\20250427_130000.WAV
120.0,123.0,Phylloscopus collybita,Common Chiffchaff,0.4671,C:/Users/alfel/OneDrive/FELIX/Studium/Master/Soundscape Ecology/Report/Data processing/A021\20250427_130000.WAV
120.0,123.0,Cuculus canorus,Common Cuckoo,0.1026,C:/Users/alfel/OneDrive/FELIX/Studium/Master/Soundscape Ecology/Report/Data processing/A021\20250427_130000.WAV
123.0,126.0,Phylloscopus collybita,Common Chiffchaff,0.1573,C:/Users/alfel/OneDrive/FELIX/Studium/Master/Soundscape Ecology/Report/Data processing/A021\20250427_130000.WAV
123.0,126.0,Sylvia borin,Garden Warbler,0.1451,C:/Users/alfel/OneDrive/FELIX/Studium/Master/Soundscape Ecology/Report/Data processing/A021\20250427_130000.WAV
126.0,129.0,Troglodytes troglodytes,Eurasian Wren,0.8235,C:/Users/alfel/OneDrive/FELIX/Studium/Master/Soundscape Ecology/Report/Data processing/A021\20250427_130000.WAV
129.0,132.0,Phylloscopus collybita,Common Chiffchaff,0.1279,C:/Users/alfel/OneDrive/FELIX/Studium/Master/Soundscape Ecology/Report/Data processing/A021\20250427_130000.WAV
132.0,135.0,Sylvia borin,Garden Warbler,0.1260,C:/Users/alfel/OneDrive/FELIX/Studium/Master/Soundscape Ecology/Report/Data processing/A021\20250427_130000.WAV
138.0,141.0,Sylvia borin,Garden Warbler,0.5208,C:/Users/alfel/OneDrive/FELIX/Studium/Master/Soundscape Ecology/Report/Data processing/A021\20250427_130000.WAV
141.0,144.0,Columba palumbus,Common Wood-Pigeon,0.1699,C:/Users/alfel/OneDrive/FELIX/Studium/Master/Soundscape Ecology/Report/Data processing/A021\20250427_130000.WAV
141.0,144.0,Sylvia borin,Garden Warbler,0.1399,C:/Users/alfel/OneDrive/FELIX/Studium/Master/Soundscape Ecology/Report/Data processing/A021\20250427_130000.WAV
144.0,147.0,Sylvia borin,Garden Warbler,0.4888,C:/Users/alfel/OneDrive/FELIX/Studium/Master/Soundscape Ecology/Report/Data processing/A021\20250427_130000.WAV
147.0,150.0,Sylvia borin,Garden Warbler,0.1702,C:/Users/alfel/OneDrive/FELIX/Studium/Master/Soundscape Ecology/Report/Data processing/A021\20250427_130000.WAV
150.0,153.0,Prunella modularis,Dunnock,0.4138,C:/Users/alfel/OneDrive/FELIX/Studium/Master/Soundscape Ecology/Report/Data processing/A021\20250427_130000.WAV
153.0,156.0,Sylvia borin,Garden Warbler,0.1614,C:/Users/alfel/OneDrive/FELIX/Studium/Master/Soundscape Ecology/Report/Data processing/A021\20250427_130000.WAV
153.0,156.0,Phylloscopus collybita,Common Chiffchaff,0.1146,C:/Users/alfel/OneDrive/FELIX/Studium/Master/Soundscape Ecology/Report/Data processing/A021\20250427_130000.WAV
156.0,159.0,Prunella modularis,Dunnock,0.5858,C:/Users/alfel/OneDrive/FELIX/Studium/Master/Soundscape Ecology/Report/Data processing/A021\20250427_130000.WAV
156.0,159.0,Certhia brachydactyla,Short-toed Treecreeper,0.1062,C:/Users/alfel/OneDrive/FELIX/Studium/Master/Soundscape Ecology/Report/Data processing/A021\20250427_130000.WAV
159.0,162.0,Prunella modularis,Dunnock,0.7408,C:/Users/alfel/OneDrive/FELIX/Studium/Master/Soundscape Ecology/Report/Data processing/A021\20250427_130000.WAV
162.0,165.0,Prunella modularis,Dunnock,0.9563,C:/Users/alfel/OneDrive/FELIX/Studium/Master/Soundscape Ecology/Report/Data processing/A021\20250427_130000.WAV
165.0,168.0,Phylloscopus collybita,Common Chiffchaff,0.3809,C:/Users/alfel/OneDrive/FELIX/Studium/Master/Soundscape Ecology/Report/Data processing/A021\20250427_130000.WAV
168.0,171.0,Prunella modularis,Dunnock,0.9560,C:/Users/alfel/OneDrive/FELIX/Studium/Master/Soundscape Ecology/Report/Data processing/A021\20250427_130000.WAV
174.0,177.0,Phylloscopus collybita,Common Chiffchaff,0.1286,C:/Users/alfel/OneDrive/FELIX/Studium/Master/Soundscape Ecology/Report/Data processing/A021\20250427_130000.WAV
180.0,183.0,Prunella modularis,Dunnock,0.3518,C:/Users/alfel/OneDrive/FELIX/Studium/Master/Soundscape Ecology/Report/Data processing/A021\20250427_130000.WAV
180.0,183.0,Columba palumbus,Common Wood-Pigeon,0.1184,C:/Users/alfel/OneDrive/FELIX/Studium/Master/Soundscape Ecology/Report/Data processing/A021\20250427_130000.WAV
183.0,186.0,Locustella naevia,Common Grasshopper-Warbler,0.1115,C:/Users/alfel/OneDrive/FELIX/Studium/Master/Soundscape Ecology/Report/Data processing/A021\20250427_130000.WAV
186.0,189.0,Prunella modularis,Dunnock,0.6282,C:/Users/alfel/OneDrive/FELIX/Studium/Master/Soundscape Ecology/Report/Data processing/A021\20250427_130000.WAV
186.0,189.0,Curruca communis,Greater Whitethroat,0.1224,C:/Users/alfel/OneDrive/FELIX/Studium/Master/Soundscape Ecology/Report/Data processing/A021\20250427_130000.WAV
186.0,189.0,Phylloscopus collybita,Common Chiffchaff,0.1154,C:/Users/alfel/OneDrive/FELIX/Studium/Master/Soundscape Ecology/Report/Data processing/A021\20250427_130000.WAV
