Start (s),End (s),Scientific name,Common name,Confidence,File
18.0,21.0,Rallus aquaticus,Water Rail,0.1480,C:/Users/alfel/OneDrive/FELIX/Studium/Master/Soundscape Ecology/Report/Data processing/A021\20250427_000000.WAV
27.0,30.0,Rallus aquaticus,Water Rail,0.1491,C:/Users/alfel/OneDrive/FELIX/Studium/Master/Soundscape Ecology/Report/Data processing/A021\20250427_000000.WAV
102.0,105.0,Rallus aquaticus,Water Rail,0.1405,C:/Users/alfel/OneDrive/FELIX/Studium/Master/Soundscape Ecology/Report/Data processing/A021\20250427_000000.WAV
393.0,396.0,Grus grus,Common Crane,0.1524,C:/Users/alfel/OneDrive/FELIX/Studium/Master/Soundscape Ecology/Report/Data processing/A021\20250427_000000.WAV
438.0,441.0,Fulica atra,Eurasian Coot,0.1475,C:/Users/alfel/OneDrive/FELIX/Studium/Master/Soundscape Ecology/Report/Data processing/A021\20250427_000000.WAV
555.0,558.0,Rallus aquaticus,Water Rail,0.1143,C:/Users/alfel/OneDrive/FELIX/Studium/Master/Soundscape Ecology/Report/Data processing/A021\20250427_000000.WAV
558.0,561.0,Rallus aquaticus,Water Rail,0.1318,C:/Users/alfel/OneDrive/FELIX/Studium/Master/Soundscape Ecology/Report/Data processing/A021\20250427_000000.WAV
582.0,585.0,Locustella naevia,Common Grasshopper-Warbler,0.1082,C:/Users/alfel/OneDrive/FELIX/Studium/Master/Soundscape Ecology/Report/Data processing/A021\20250427_000000.WAV
