Start (s),End (s),Scientific name,Common name,Confidence,File
9.0,12.0,Picus viridis,Eurasian Green Woodpecker,0.1261,C:/Users/alfel/OneDrive/FELIX/Studium/Master/Soundscape Ecology/Report/Data processing/A021\20250428_120000.WAV
15.0,18.0,Dryocopus martius,Black Woodpecker,0.3079,C:/Users/alfel/OneDrive/FELIX/Studium/Master/Soundscape Ecology/Report/Data processing/A021\20250428_120000.WAV
15.0,18.0,Picus viridis,Eurasian Green Woodpecker,0.1539,C:/Users/alfel/OneDrive/FELIX/Studium/Master/Soundscape Ecology/Report/Data processing/A021\20250428_120000.WAV
21.0,24.0,Dryocopus martius,Black Woodpecker,0.1334,C:/Users/alfel/OneDrive/FELIX/Studium/Master/Soundscape Ecology/Report/Data processing/A021\20250428_120000.WAV
21.0,24.0,Sylvia atricapilla,Eurasian Blackcap,0.1031,C:/Users/alfel/OneDrive/FELIX/Studium/Master/Soundscape Ecology/Report/Data processing/A021\20250428_120000.WAV
27.0,30.0,Anthus trivialis,Tree Pipit,0.1091,C:/Users/alfel/OneDrive/FELIX/Studium/Master/Soundscape Ecology/Report/Data processing/A021\20250428_120000.WAV
30.0,33.0,Dryocopus martius,Black Woodpecker,0.3488,C:/Users/alfel/OneDrive/FELIX/Studium/Master/Soundscape Ecology/Report/Data processing/A021\20250428_120000.WAV
36.0,39.0,Sylvia borin,Garden Warbler,0.1273,C:/Users/alfel/OneDrive/FELIX/Studium/Master/Soundscape Ecology/Report/Data processing/A021\20250428_120000.WAV
42.0,45.0,Turdus viscivorus,Mistle Thrush,0.1893,C:/Users/alfel/OneDrive/FELIX/Studium/Master/Soundscape Ecology/Report/Data processing/A021\20250428_120000.WAV
42.0,45.0,Parus major,Great Tit,0.1262,C:/Users/alfel/OneDrive/FELIX/Studium/Master/Soundscape Ecology/Report/Data processing/A021\20250428_120000.WAV
57.0,60.0,Jynx torquilla,Eurasian Wryneck,0.1077,C:/Users/alfel/OneDrive/FELIX/Studium/Master/Soundscape Ecology/Report/Data processing/A021\20250428_120000.WAV
63.0,66.0,Sylvia atricapilla,Eurasian Blackcap,0.1368,C:/Users/alfel/OneDrive/FELIX/Studium/Master/Soundscape Ecology/Report/Data processing/A021\20250428_120000.WAV
63.0,66.0,Oriolus oriolus,Eurasian Golden Oriole,0.1072,C:/Users/alfel/OneDrive/FELIX/Studium/Master/Soundscape Ecology/Report/Data processing/A021\20250428_120000.WAV
78.0,81.0,Sylvia atricapilla,Eurasian Blackcap,0.4221,C:/Users/alfel/OneDrive/FELIX/Studium/Master/Soundscape Ecology/Report/Data processing/A021\20250428_120000.WAV
102.0,105.0,Sylvia borin,Garden Warbler,0.1037,C:/Users/alfel/OneDrive/FELIX/Studium/Master/Soundscape Ecology/Report/Data processing/A021\20250428_120000.WAV
114.0,117.0,Curruca communis,Greater Whitethroat,0.1845,C:/Users/alfel/OneDrive/FELIX/Studium/Master/Soundscape Ecology/Report/Data processing/A021\20250428_120000.WAV
126.0,129.0,Locustella naevia,Common Grasshopper-Warbler,0.1211,C:/Users/alfel/OneDrive/FELIX/Studium/Master/Soundscape Ecology/Report/Data processing/A021\20250428_120000.WAV
129.0,132.0,Curruca communis,Greater Whitethroat,0.1172,C:/Users/alfel/OneDrive/FELIX/Studium/Master/Soundscape Ecology/Report/Data processing/A021\20250428_120000.WAV
141.0,144.0,Curruca communis,Greater Whitethroat,0.1346,C:/Users/alfel/OneDrive/FELIX/Studium/Master/Soundscape Ecology/Report/Data processing/A021\20250428_120000.WAV
153.0,156.0,Curruca communis,Greater Whitethroat,0.1589,C:/Users/alfel/OneDrive/FELIX/Studium/Master/Soundscape Ecology/Report/Data processing/A021\20250428_120000.WAV
168.0,171.0,Columba palumbus,Common Wood-Pigeon,0.1185,C:/Users/alfel/OneDrive/FELIX/Studium/Master/Soundscape Ecology/Report/Data processing/A021\20250428_120000.WAV
174.0,177.0,Jynx torquilla,Eurasian Wryneck,0.1082,C:/Users/alfel/OneDrive/FELIX/Studium/Master/Soundscape Ecology/Report/Data processing/A021\20250428_120000.WAV
180.0,183.0,Parus major,Great Tit,0.1546,C:/Users/alfel/OneDrive/FELIX/Studium/Master/Soundscape Ecology/Report/Data processing/A021\20250428_120000.WAV
183.0,186.0,Phylloscopus collybita,Common Chiffchaff,0.1042,C:/Users/alfel/OneDrive/FELIX/Studium/Master/Soundscape Ecology/Report/Data processing/A021\20250428_120000.WAV
195.0,198.0,Phylloscopus collybita,Common Chiffchaff,0.1543,C:/Users/alfel/OneDrive/FELIX/Studium/Master/Soundscape Ecology/Report/Data processing/A021\20250428_120000.WAV
