Start (s),End (s),Scientific.name,Common.name,Confidence,File
15.0,18.0,Certhia brachydactyla,Short-toed Treecreeper,0.6644,C:/Users/malte/OneDrive/Uni/Studium/Master Bonn/4 SoSe24/Soundscape Ecology/field report/bird net analyzer/site8_A030/A030\20250425_170000.WAV
21.0,24.0,Certhia brachydactyla,Short-toed Treecreeper,0.9253,C:/Users/malte/OneDrive/Uni/Studium/Master Bonn/4 SoSe24/Soundscape Ecology/field report/bird net analyzer/site8_A030/A030\20250425_170000.WAV
30.0,33.0,Certhia brachydactyla,Short-toed Treecreeper,0.9724,C:/Users/malte/OneDrive/Uni/Studium/Master Bonn/4 SoSe24/Soundscape Ecology/field report/bird net analyzer/site8_A030/A030\20250425_170000.WAV
42.0,45.0,Certhia brachydactyla,Short-toed Treecreeper,0.7932,C:/Users/malte/OneDrive/Uni/Studium/Master Bonn/4 SoSe24/Soundscape Ecology/field report/bird net analyzer/site8_A030/A030\20250425_170000.WAV
63.0,66.0,Certhia brachydactyla,Short-toed Treecreeper,0.8146,C:/Users/malte/OneDrive/Uni/Studium/Master Bonn/4 SoSe24/Soundscape Ecology/field report/bird net analyzer/site8_A030/A030\20250425_170000.WAV
81.0,84.0,Certhia brachydactyla,Short-toed Treecreeper,0.7540,C:/Users/malte/OneDrive/Uni/Studium/Master Bonn/4 SoSe24/Soundscape Ecology/field report/bird net analyzer/site8_A030/A030\20250425_170000.WAV
96.0,99.0,Certhia brachydactyla,Short-toed Treecreeper,0.7377,C:/Users/malte/OneDrive/Uni/Studium/Master Bonn/4 SoSe24/Soundscape Ecology/field report/bird net analyzer/site8_A030/A030\20250425_170000.WAV
156.0,159.0,Turdus merula,Eurasian Blackbird,0.7818,C:/Users/malte/OneDrive/Uni/Studium/Master Bonn/4 SoSe24/Soundscape Ecology/field report/bird net analyzer/site8_A030/A030\20250425_170000.WAV
165.0,168.0,Turdus merula,Eurasian Blackbird,0.6343,C:/Users/malte/OneDrive/Uni/Studium/Master Bonn/4 SoSe24/Soundscape Ecology/field report/bird net analyzer/site8_A030/A030\20250425_170000.WAV
201.0,204.0,Turdus merula,Eurasian Blackbird,0.6771,C:/Users/malte/OneDrive/Uni/Studium/Master Bonn/4 SoSe24/Soundscape Ecology/field report/bird net analyzer/site8_A030/A030\20250425_170000.WAV
210.0,213.0,Turdus merula,Eurasian Blackbird,0.9622,C:/Users/malte/OneDrive/Uni/Studium/Master Bonn/4 SoSe24/Soundscape Ecology/field report/bird net analyzer/site8_A030/A030\20250425_170000.WAV
216.0,219.0,Turdus merula,Eurasian Blackbird,0.5548,C:/Users/malte/OneDrive/Uni/Studium/Master Bonn/4 SoSe24/Soundscape Ecology/field report/bird net analyzer/site8_A030/A030\20250425_170000.WAV
222.0,225.0,Turdus merula,Eurasian Blackbird,0.6283,C:/Users/malte/OneDrive/Uni/Studium/Master Bonn/4 SoSe24/Soundscape Ecology/field report/bird net analyzer/site8_A030/A030\20250425_170000.WAV
228.0,231.0,Certhia brachydactyla,Short-toed Treecreeper,0.6553,C:/Users/malte/OneDrive/Uni/Studium/Master Bonn/4 SoSe24/Soundscape Ecology/field report/bird net analyzer/site8_A030/A030\20250425_170000.WAV
231.0,234.0,Turdus merula,Eurasian Blackbird,0.5107,C:/Users/malte/OneDrive/Uni/Studium/Master Bonn/4 SoSe24/Soundscape Ecology/field report/bird net analyzer/site8_A030/A030\20250425_170000.WAV
