Start (s),End (s),Scientific.name,Common.name,Confidence,File
405.0,408.0,Motacilla cinerea,Gray Wagtail,0.5828,C:/Users/malte/OneDrive/Uni/Studium/Master Bonn/4 SoSe24/Soundscape Ecology/field report/bird net analyzer/site8_A030/A030\20250427_070000.WAV
408.0,411.0,Motacilla cinerea,Gray Wagtail,0.9145,C:/Users/malte/OneDrive/Uni/Studium/Master Bonn/4 SoSe24/Soundscape Ecology/field report/bird net analyzer/site8_A030/A030\20250427_070000.WAV
579.0,582.0,Certhia brachydactyla,Short-toed Treecreeper,0.6453,C:/Users/malte/OneDrive/Uni/Studium/Master Bonn/4 SoSe24/Soundscape Ecology/field report/bird net analyzer/site8_A030/A030\20250427_070000.WAV
294.0,297.0,Fringilla coelebs,Common Chaffinch,0.5329,C:/Users/malte/OneDrive/Uni/Studium/Master Bonn/4 SoSe24/Soundscape Ecology/field report/bird net analyzer/site8_A030/A030\20250427_080000.WAV
297.0,300.0,Certhia brachydactyla,Short-toed Treecreeper,0.5338,C:/Users/malte/OneDrive/Uni/Studium/Master Bonn/4 SoSe24/Soundscape Ecology/field report/bird net analyzer/site8_A030/A030\20250427_080000.WAV
342.0,345.0,Certhia brachydactyla,Short-toed Treecreeper,0.5285,C:/Users/malte/OneDrive/Uni/Studium/Master Bonn/4 SoSe24/Soundscape Ecology/field report/bird net analyzer/site8_A030/A030\20250427_080000.WAV
354.0,357.0,Certhia brachydactyla,Short-toed Treecreeper,0.5093,C:/Users/malte/OneDrive/Uni/Studium/Master Bonn/4 SoSe24/Soundscape Ecology/field report/bird net analyzer/site8_A030/A030\20250427_080000.WAV
447.0,450.0,Certhia brachydactyla,Short-toed Treecreeper,0.5664,C:/Users/malte/OneDrive/Uni/Studium/Master Bonn/4 SoSe24/Soundscape Ecology/field report/bird net analyzer/site8_A030/A030\20250427_080000.WAV
513.0,516.0,Certhia brachydactyla,Short-toed Treecreeper,0.7640,C:/Users/malte/OneDrive/Uni/Studium/Master Bonn/4 SoSe24/Soundscape Ecology/field report/bird net analyzer/site8_A030/A030\20250427_080000.WAV
573.0,576.0,Sylvia borin,Garden Warbler,0.6076,C:/Users/malte/OneDrive/Uni/Studium/Master Bonn/4 SoSe24/Soundscape Ecology/field report/bird net analyzer/site8_A030/A030\20250427_080000.WAV
99.0,102.0,Cyanistes caeruleus,Eurasian Blue Tit,0.5090,C:/Users/malte/OneDrive/Uni/Studium/Master Bonn/4 SoSe24/Soundscape Ecology/field report/bird net analyzer/site8_A030/A030\20250427_090000.WAV
207.0,210.0,Certhia brachydactyla,Short-toed Treecreeper,0.5978,C:/Users/malte/OneDrive/Uni/Studium/Master Bonn/4 SoSe24/Soundscape Ecology/field report/bird net analyzer/site8_A030/A030\20250427_090000.WAV
210.0,213.0,Motacilla cinerea,Gray Wagtail,0.9445,C:/Users/malte/OneDrive/Uni/Studium/Master Bonn/4 SoSe24/Soundscape Ecology/field report/bird net analyzer/site8_A030/A030\20250427_090000.WAV
216.0,219.0,Certhia brachydactyla,Short-toed Treecreeper,0.6034,C:/Users/malte/OneDrive/Uni/Studium/Master Bonn/4 SoSe24/Soundscape Ecology/field report/bird net analyzer/site8_A030/A030\20250427_090000.WAV
291.0,294.0,Certhia brachydactyla,Short-toed Treecreeper,0.7239,C:/Users/malte/OneDrive/Uni/Studium/Master Bonn/4 SoSe24/Soundscape Ecology/field report/bird net analyzer/site8_A030/A030\20250427_090000.WAV
303.0,306.0,Certhia brachydactyla,Short-toed Treecreeper,0.5653,C:/Users/malte/OneDrive/Uni/Studium/Master Bonn/4 SoSe24/Soundscape Ecology/field report/bird net analyzer/site8_A030/A030\20250427_090000.WAV
315.0,318.0,Certhia brachydactyla,Short-toed Treecreeper,0.7879,C:/Users/malte/OneDrive/Uni/Studium/Master Bonn/4 SoSe24/Soundscape Ecology/field report/bird net analyzer/site8_A030/A030\20250427_090000.WAV
345.0,348.0,Certhia brachydactyla,Short-toed Treecreeper,0.7839,C:/Users/malte/OneDrive/Uni/Studium/Master Bonn/4 SoSe24/Soundscape Ecology/field report/bird net analyzer/site8_A030/A030\20250427_090000.WAV
369.0,372.0,Certhia brachydactyla,Short-toed Treecreeper,0.6485,C:/Users/malte/OneDrive/Uni/Studium/Master Bonn/4 SoSe24/Soundscape Ecology/field report/bird net analyzer/site8_A030/A030\20250427_090000.WAV
393.0,396.0,Certhia brachydactyla,Short-toed Treecreeper,0.8491,C:/Users/malte/OneDrive/Uni/Studium/Master Bonn/4 SoSe24/Soundscape Ecology/field report/bird net analyzer/site8_A030/A030\20250427_090000.WAV
402.0,405.0,Certhia brachydactyla,Short-toed Treecreeper,0.6666,C:/Users/malte/OneDrive/Uni/Studium/Master Bonn/4 SoSe24/Soundscape Ecology/field report/bird net analyzer/site8_A030/A030\20250427_090000.WAV
438.0,441.0,Certhia brachydactyla,Short-toed Treecreeper,0.7495,C:/Users/malte/OneDrive/Uni/Studium/Master Bonn/4 SoSe24/Soundscape Ecology/field report/bird net analyzer/site8_A030/A030\20250427_090000.WAV
447.0,450.0,Certhia brachydactyla,Short-toed Treecreeper,0.8370,C:/Users/malte/OneDrive/Uni/Studium/Master Bonn/4 SoSe24/Soundscape Ecology/field report/bird net analyzer/site8_A030/A030\20250427_090000.WAV
465.0,468.0,Certhia brachydactyla,Short-toed Treecreeper,0.8824,C:/Users/malte/OneDrive/Uni/Studium/Master Bonn/4 SoSe24/Soundscape Ecology/field report/bird net analyzer/site8_A030/A030\20250427_090000.WAV
474.0,477.0,Certhia brachydactyla,Short-toed Treecreeper,0.8665,C:/Users/malte/OneDrive/Uni/Studium/Master Bonn/4 SoSe24/Soundscape Ecology/field report/bird net analyzer/site8_A030/A030\20250427_090000.WAV
480.0,483.0,Certhia brachydactyla,Short-toed Treecreeper,0.7193,C:/Users/malte/OneDrive/Uni/Studium/Master Bonn/4 SoSe24/Soundscape Ecology/field report/bird net analyzer/site8_A030/A030\20250427_090000.WAV
489.0,492.0,Certhia brachydactyla,Short-toed Treecreeper,0.8194,C:/Users/malte/OneDrive/Uni/Studium/Master Bonn/4 SoSe24/Soundscape Ecology/field report/bird net analyzer/site8_A030/A030\20250427_090000.WAV
501.0,504.0,Certhia brachydactyla,Short-toed Treecreeper,0.7892,C:/Users/malte/OneDrive/Uni/Studium/Master Bonn/4 SoSe24/Soundscape Ecology/field report/bird net analyzer/site8_A030/A030\20250427_090000.WAV
39.0,42.0,Columba palumbus,Common Wood-Pigeon,0.8434,C:/Users/malte/OneDrive/Uni/Studium/Master Bonn/4 SoSe24/Soundscape Ecology/field report/bird net analyzer/site8_A030/A030\20250427_100000.WAV
45.0,48.0,Columba palumbus,Common Wood-Pigeon,0.5671,C:/Users/malte/OneDrive/Uni/Studium/Master Bonn/4 SoSe24/Soundscape Ecology/field report/bird net analyzer/site8_A030/A030\20250427_100000.WAV
132.0,135.0,Columba palumbus,Common Wood-Pigeon,0.5749,C:/Users/malte/OneDrive/Uni/Studium/Master Bonn/4 SoSe24/Soundscape Ecology/field report/bird net analyzer/site8_A030/A030\20250427_100000.WAV
147.0,150.0,Columba palumbus,Common Wood-Pigeon,0.6554,C:/Users/malte/OneDrive/Uni/Studium/Master Bonn/4 SoSe24/Soundscape Ecology/field report/bird net analyzer/site8_A030/A030\20250427_100000.WAV
171.0,174.0,Columba palumbus,Common Wood-Pigeon,0.8814,C:/Users/malte/OneDrive/Uni/Studium/Master Bonn/4 SoSe24/Soundscape Ecology/field report/bird net analyzer/site8_A030/A030\20250427_100000.WAV
174.0,177.0,Columba palumbus,Common Wood-Pigeon,0.5354,C:/Users/malte/OneDrive/Uni/Studium/Master Bonn/4 SoSe24/Soundscape Ecology/field report/bird net analyzer/site8_A030/A030\20250427_100000.WAV
177.0,180.0,Buteo buteo,Common Buzzard,0.8831,C:/Users/malte/OneDrive/Uni/Studium/Master Bonn/4 SoSe24/Soundscape Ecology/field report/bird net analyzer/site8_A030/A030\20250427_100000.WAV
186.0,189.0,Columba palumbus,Common Wood-Pigeon,0.5061,C:/Users/malte/OneDrive/Uni/Studium/Master Bonn/4 SoSe24/Soundscape Ecology/field report/bird net analyzer/site8_A030/A030\20250427_100000.WAV
201.0,204.0,Columba palumbus,Common Wood-Pigeon,0.7851,C:/Users/malte/OneDrive/Uni/Studium/Master Bonn/4 SoSe24/Soundscape Ecology/field report/bird net analyzer/site8_A030/A030\20250427_100000.WAV
204.0,207.0,Columba palumbus,Common Wood-Pigeon,0.7827,C:/Users/malte/OneDrive/Uni/Studium/Master Bonn/4 SoSe24/Soundscape Ecology/field report/bird net analyzer/site8_A030/A030\20250427_100000.WAV
207.0,210.0,Columba palumbus,Common Wood-Pigeon,0.8261,C:/Users/malte/OneDrive/Uni/Studium/Master Bonn/4 SoSe24/Soundscape Ecology/field report/bird net analyzer/site8_A030/A030\20250427_100000.WAV
210.0,213.0,Columba palumbus,Common Wood-Pigeon,0.8850,C:/Users/malte/OneDrive/Uni/Studium/Master Bonn/4 SoSe24/Soundscape Ecology/field report/bird net analyzer/site8_A030/A030\20250427_100000.WAV
213.0,216.0,Columba palumbus,Common Wood-Pigeon,0.5799,C:/Users/malte/OneDrive/Uni/Studium/Master Bonn/4 SoSe24/Soundscape Ecology/field report/bird net analyzer/site8_A030/A030\20250427_100000.WAV
240.0,243.0,Columba palumbus,Common Wood-Pigeon,0.8190,C:/Users/malte/OneDrive/Uni/Studium/Master Bonn/4 SoSe24/Soundscape Ecology/field report/bird net analyzer/site8_A030/A030\20250427_100000.WAV
246.0,249.0,Columba palumbus,Common Wood-Pigeon,0.5070,C:/Users/malte/OneDrive/Uni/Studium/Master Bonn/4 SoSe24/Soundscape Ecology/field report/bird net analyzer/site8_A030/A030\20250427_100000.WAV
249.0,252.0,Columba palumbus,Common Wood-Pigeon,0.8504,C:/Users/malte/OneDrive/Uni/Studium/Master Bonn/4 SoSe24/Soundscape Ecology/field report/bird net analyzer/site8_A030/A030\20250427_100000.WAV
252.0,255.0,Columba palumbus,Common Wood-Pigeon,0.7758,C:/Users/malte/OneDrive/Uni/Studium/Master Bonn/4 SoSe24/Soundscape Ecology/field report/bird net analyzer/site8_A030/A030\20250427_100000.WAV
270.0,273.0,Parus major,Great Tit,0.7596,C:/Users/malte/OneDrive/Uni/Studium/Master Bonn/4 SoSe24/Soundscape Ecology/field report/bird net analyzer/site8_A030/A030\20250427_100000.WAV
273.0,276.0,Parus major,Great Tit,0.5760,C:/Users/malte/OneDrive/Uni/Studium/Master Bonn/4 SoSe24/Soundscape Ecology/field report/bird net analyzer/site8_A030/A030\20250427_100000.WAV
282.0,285.0,Parus major,Great Tit,0.8062,C:/Users/malte/OneDrive/Uni/Studium/Master Bonn/4 SoSe24/Soundscape Ecology/field report/bird net analyzer/site8_A030/A030\20250427_100000.WAV
291.0,294.0,Parus major,Great Tit,0.8883,C:/Users/malte/OneDrive/Uni/Studium/Master Bonn/4 SoSe24/Soundscape Ecology/field report/bird net analyzer/site8_A030/A030\20250427_100000.WAV
369.0,372.0,Parus major,Great Tit,0.5683,C:/Users/malte/OneDrive/Uni/Studium/Master Bonn/4 SoSe24/Soundscape Ecology/field report/bird net analyzer/site8_A030/A030\20250427_100000.WAV
375.0,378.0,Turdus merula,Eurasian Blackbird,0.5683,C:/Users/malte/OneDrive/Uni/Studium/Master Bonn/4 SoSe24/Soundscape Ecology/field report/bird net analyzer/site8_A030/A030\20250427_100000.WAV
408.0,411.0,Parus major,Great Tit,0.7384,C:/Users/malte/OneDrive/Uni/Studium/Master Bonn/4 SoSe24/Soundscape Ecology/field report/bird net analyzer/site8_A030/A030\20250427_100000.WAV
513.0,516.0,Columba palumbus,Common Wood-Pigeon,0.5903,C:/Users/malte/OneDrive/Uni/Studium/Master Bonn/4 SoSe24/Soundscape Ecology/field report/bird net analyzer/site8_A030/A030\20250427_100000.WAV
519.0,522.0,Columba palumbus,Common Wood-Pigeon,0.6081,C:/Users/malte/OneDrive/Uni/Studium/Master Bonn/4 SoSe24/Soundscape Ecology/field report/bird net analyzer/site8_A030/A030\20250427_100000.WAV
534.0,537.0,Columba palumbus,Common Wood-Pigeon,0.5817,C:/Users/malte/OneDrive/Uni/Studium/Master Bonn/4 SoSe24/Soundscape Ecology/field report/bird net analyzer/site8_A030/A030\20250427_100000.WAV
540.0,543.0,Columba palumbus,Common Wood-Pigeon,0.9068,C:/Users/malte/OneDrive/Uni/Studium/Master Bonn/4 SoSe24/Soundscape Ecology/field report/bird net analyzer/site8_A030/A030\20250427_100000.WAV
567.0,570.0,Columba palumbus,Common Wood-Pigeon,0.8201,C:/Users/malte/OneDrive/Uni/Studium/Master Bonn/4 SoSe24/Soundscape Ecology/field report/bird net analyzer/site8_A030/A030\20250427_100000.WAV
594.0,597.0,Columba palumbus,Common Wood-Pigeon,0.6562,C:/Users/malte/OneDrive/Uni/Studium/Master Bonn/4 SoSe24/Soundscape Ecology/field report/bird net analyzer/site8_A030/A030\20250427_100000.WAV
12.0,15.0,Turdus merula,Eurasian Blackbird,0.6911,C:/Users/malte/OneDrive/Uni/Studium/Master Bonn/4 SoSe24/Soundscape Ecology/field report/bird net analyzer/site8_A030/A030\20250427_110000.WAV
18.0,21.0,Turdus merula,Eurasian Blackbird,0.5637,C:/Users/malte/OneDrive/Uni/Studium/Master Bonn/4 SoSe24/Soundscape Ecology/field report/bird net analyzer/site8_A030/A030\20250427_110000.WAV
33.0,36.0,Turdus merula,Eurasian Blackbird,0.6767,C:/Users/malte/OneDrive/Uni/Studium/Master Bonn/4 SoSe24/Soundscape Ecology/field report/bird net analyzer/site8_A030/A030\20250427_110000.WAV
198.0,201.0,Turdus merula,Eurasian Blackbird,0.6970,C:/Users/malte/OneDrive/Uni/Studium/Master Bonn/4 SoSe24/Soundscape Ecology/field report/bird net analyzer/site8_A030/A030\20250427_110000.WAV
201.0,204.0,Cyanistes caeruleus,Eurasian Blue Tit,0.5958,C:/Users/malte/OneDrive/Uni/Studium/Master Bonn/4 SoSe24/Soundscape Ecology/field report/bird net analyzer/site8_A030/A030\20250427_110000.WAV
252.0,255.0,Turdus merula,Eurasian Blackbird,0.5110,C:/Users/malte/OneDrive/Uni/Studium/Master Bonn/4 SoSe24/Soundscape Ecology/field report/bird net analyzer/site8_A030/A030\20250427_110000.WAV
303.0,306.0,Turdus merula,Eurasian Blackbird,0.5535,C:/Users/malte/OneDrive/Uni/Studium/Master Bonn/4 SoSe24/Soundscape Ecology/field report/bird net analyzer/site8_A030/A030\20250427_110000.WAV
315.0,318.0,Turdus merula,Eurasian Blackbird,0.7668,C:/Users/malte/OneDrive/Uni/Studium/Master Bonn/4 SoSe24/Soundscape Ecology/field report/bird net analyzer/site8_A030/A030\20250427_110000.WAV
327.0,330.0,Turdus merula,Eurasian Blackbird,0.7502,C:/Users/malte/OneDrive/Uni/Studium/Master Bonn/4 SoSe24/Soundscape Ecology/field report/bird net analyzer/site8_A030/A030\20250427_110000.WAV
342.0,345.0,Turdus merula,Eurasian Blackbird,0.6761,C:/Users/malte/OneDrive/Uni/Studium/Master Bonn/4 SoSe24/Soundscape Ecology/field report/bird net analyzer/site8_A030/A030\20250427_110000.WAV
351.0,354.0,Turdus merula,Eurasian Blackbird,0.5559,C:/Users/malte/OneDrive/Uni/Studium/Master Bonn/4 SoSe24/Soundscape Ecology/field report/bird net analyzer/site8_A030/A030\20250427_110000.WAV
357.0,360.0,Turdus merula,Eurasian Blackbird,0.5262,C:/Users/malte/OneDrive/Uni/Studium/Master Bonn/4 SoSe24/Soundscape Ecology/field report/bird net analyzer/site8_A030/A030\20250427_110000.WAV
477.0,480.0,Parus major,Great Tit,0.7901,C:/Users/malte/OneDrive/Uni/Studium/Master Bonn/4 SoSe24/Soundscape Ecology/field report/bird net analyzer/site8_A030/A030\20250427_110000.WAV
507.0,510.0,Cyanistes caeruleus,Eurasian Blue Tit,0.5335,C:/Users/malte/OneDrive/Uni/Studium/Master Bonn/4 SoSe24/Soundscape Ecology/field report/bird net analyzer/site8_A030/A030\20250427_110000.WAV
555.0,558.0,Phylloscopus collybita,Common Chiffchaff,0.6295,C:/Users/malte/OneDrive/Uni/Studium/Master Bonn/4 SoSe24/Soundscape Ecology/field report/bird net analyzer/site8_A030/A030\20250427_110000.WAV
51.0,54.0,Turdus merula,Eurasian Blackbird,0.8969,C:/Users/malte/OneDrive/Uni/Studium/Master Bonn/4 SoSe24/Soundscape Ecology/field report/bird net analyzer/site8_A030/A030\20250427_120000.WAV
57.0,60.0,Turdus merula,Eurasian Blackbird,0.8252,C:/Users/malte/OneDrive/Uni/Studium/Master Bonn/4 SoSe24/Soundscape Ecology/field report/bird net analyzer/site8_A030/A030\20250427_120000.WAV
72.0,75.0,Turdus merula,Eurasian Blackbird,0.8630,C:/Users/malte/OneDrive/Uni/Studium/Master Bonn/4 SoSe24/Soundscape Ecology/field report/bird net analyzer/site8_A030/A030\20250427_120000.WAV
84.0,87.0,Turdus merula,Eurasian Blackbird,0.7622,C:/Users/malte/OneDrive/Uni/Studium/Master Bonn/4 SoSe24/Soundscape Ecology/field report/bird net analyzer/site8_A030/A030\20250427_120000.WAV
87.0,90.0,Turdus merula,Eurasian Blackbird,0.8308,C:/Users/malte/OneDrive/Uni/Studium/Master Bonn/4 SoSe24/Soundscape Ecology/field report/bird net analyzer/site8_A030/A030\20250427_120000.WAV
93.0,96.0,Turdus merula,Eurasian Blackbird,0.9234,C:/Users/malte/OneDrive/Uni/Studium/Master Bonn/4 SoSe24/Soundscape Ecology/field report/bird net analyzer/site8_A030/A030\20250427_120000.WAV
108.0,111.0,Turdus merula,Eurasian Blackbird,0.8662,C:/Users/malte/OneDrive/Uni/Studium/Master Bonn/4 SoSe24/Soundscape Ecology/field report/bird net analyzer/site8_A030/A030\20250427_120000.WAV
114.0,117.0,Turdus merula,Eurasian Blackbird,0.5216,C:/Users/malte/OneDrive/Uni/Studium/Master Bonn/4 SoSe24/Soundscape Ecology/field report/bird net analyzer/site8_A030/A030\20250427_120000.WAV
117.0,120.0,Turdus merula,Eurasian Blackbird,0.9124,C:/Users/malte/OneDrive/Uni/Studium/Master Bonn/4 SoSe24/Soundscape Ecology/field report/bird net analyzer/site8_A030/A030\20250427_120000.WAV
129.0,132.0,Turdus merula,Eurasian Blackbird,0.8180,C:/Users/malte/OneDrive/Uni/Studium/Master Bonn/4 SoSe24/Soundscape Ecology/field report/bird net analyzer/site8_A030/A030\20250427_120000.WAV
162.0,165.0,Turdus merula,Eurasian Blackbird,0.5329,C:/Users/malte/OneDrive/Uni/Studium/Master Bonn/4 SoSe24/Soundscape Ecology/field report/bird net analyzer/site8_A030/A030\20250427_120000.WAV
165.0,168.0,Turdus merula,Eurasian Blackbird,0.5074,C:/Users/malte/OneDrive/Uni/Studium/Master Bonn/4 SoSe24/Soundscape Ecology/field report/bird net analyzer/site8_A030/A030\20250427_120000.WAV
180.0,183.0,Turdus merula,Eurasian Blackbird,0.6696,C:/Users/malte/OneDrive/Uni/Studium/Master Bonn/4 SoSe24/Soundscape Ecology/field report/bird net analyzer/site8_A030/A030\20250427_120000.WAV
183.0,186.0,Turdus merula,Eurasian Blackbird,0.6494,C:/Users/malte/OneDrive/Uni/Studium/Master Bonn/4 SoSe24/Soundscape Ecology/field report/bird net analyzer/site8_A030/A030\20250427_120000.WAV
189.0,192.0,Turdus merula,Eurasian Blackbird,0.7376,C:/Users/malte/OneDrive/Uni/Studium/Master Bonn/4 SoSe24/Soundscape Ecology/field report/bird net analyzer/site8_A030/A030\20250427_120000.WAV
201.0,204.0,Turdus merula,Eurasian Blackbird,0.9074,C:/Users/malte/OneDrive/Uni/Studium/Master Bonn/4 SoSe24/Soundscape Ecology/field report/bird net analyzer/site8_A030/A030\20250427_120000.WAV
210.0,213.0,Turdus merula,Eurasian Blackbird,0.6976,C:/Users/malte/OneDrive/Uni/Studium/Master Bonn/4 SoSe24/Soundscape Ecology/field report/bird net analyzer/site8_A030/A030\20250427_120000.WAV
228.0,231.0,Turdus merula,Eurasian Blackbird,0.6586,C:/Users/malte/OneDrive/Uni/Studium/Master Bonn/4 SoSe24/Soundscape Ecology/field report/bird net analyzer/site8_A030/A030\20250427_120000.WAV
234.0,237.0,Turdus merula,Eurasian Blackbird,0.7708,C:/Users/malte/OneDrive/Uni/Studium/Master Bonn/4 SoSe24/Soundscape Ecology/field report/bird net analyzer/site8_A030/A030\20250427_120000.WAV
237.0,240.0,Certhia brachydactyla,Short-toed Treecreeper,0.7427,C:/Users/malte/OneDrive/Uni/Studium/Master Bonn/4 SoSe24/Soundscape Ecology/field report/bird net analyzer/site8_A030/A030\20250427_120000.WAV
246.0,249.0,Certhia brachydactyla,Short-toed Treecreeper,0.5409,C:/Users/malte/OneDrive/Uni/Studium/Master Bonn/4 SoSe24/Soundscape Ecology/field report/bird net analyzer/site8_A030/A030\20250427_120000.WAV
264.0,267.0,Certhia brachydactyla,Short-toed Treecreeper,0.5373,C:/Users/malte/OneDrive/Uni/Studium/Master Bonn/4 SoSe24/Soundscape Ecology/field report/bird net analyzer/site8_A030/A030\20250427_120000.WAV
267.0,270.0,Parus major,Great Tit,0.6425,C:/Users/malte/OneDrive/Uni/Studium/Master Bonn/4 SoSe24/Soundscape Ecology/field report/bird net analyzer/site8_A030/A030\20250427_120000.WAV
291.0,294.0,Certhia brachydactyla,Short-toed Treecreeper,0.6538,C:/Users/malte/OneDrive/Uni/Studium/Master Bonn/4 SoSe24/Soundscape Ecology/field report/bird net analyzer/site8_A030/A030\20250427_120000.WAV
318.0,321.0,Certhia brachydactyla,Short-toed Treecreeper,0.6186,C:/Users/malte/OneDrive/Uni/Studium/Master Bonn/4 SoSe24/Soundscape Ecology/field report/bird net analyzer/site8_A030/A030\20250427_120000.WAV
330.0,333.0,Turdus merula,Eurasian Blackbird,0.6349,C:/Users/malte/OneDrive/Uni/Studium/Master Bonn/4 SoSe24/Soundscape Ecology/field report/bird net analyzer/site8_A030/A030\20250427_120000.WAV
354.0,357.0,Turdus merula,Eurasian Blackbird,0.6777,C:/Users/malte/OneDrive/Uni/Studium/Master Bonn/4 SoSe24/Soundscape Ecology/field report/bird net analyzer/site8_A030/A030\20250427_120000.WAV
381.0,384.0,Turdus merula,Eurasian Blackbird,0.7229,C:/Users/malte/OneDrive/Uni/Studium/Master Bonn/4 SoSe24/Soundscape Ecology/field report/bird net analyzer/site8_A030/A030\20250427_120000.WAV
414.0,417.0,Turdus merula,Eurasian Blackbird,0.5332,C:/Users/malte/OneDrive/Uni/Studium/Master Bonn/4 SoSe24/Soundscape Ecology/field report/bird net analyzer/site8_A030/A030\20250427_120000.WAV
420.0,423.0,Turdus merula,Eurasian Blackbird,0.5603,C:/Users/malte/OneDrive/Uni/Studium/Master Bonn/4 SoSe24/Soundscape Ecology/field report/bird net analyzer/site8_A030/A030\20250427_120000.WAV
432.0,435.0,Certhia brachydactyla,Short-toed Treecreeper,0.8041,C:/Users/malte/OneDrive/Uni/Studium/Master Bonn/4 SoSe24/Soundscape Ecology/field report/bird net analyzer/site8_A030/A030\20250427_120000.WAV
444.0,447.0,Turdus merula,Eurasian Blackbird,0.5695,C:/Users/malte/OneDrive/Uni/Studium/Master Bonn/4 SoSe24/Soundscape Ecology/field report/bird net analyzer/site8_A030/A030\20250427_120000.WAV
456.0,459.0,Certhia brachydactyla,Short-toed Treecreeper,0.6350,C:/Users/malte/OneDrive/Uni/Studium/Master Bonn/4 SoSe24/Soundscape Ecology/field report/bird net analyzer/site8_A030/A030\20250427_120000.WAV
465.0,468.0,Certhia brachydactyla,Short-toed Treecreeper,0.5784,C:/Users/malte/OneDrive/Uni/Studium/Master Bonn/4 SoSe24/Soundscape Ecology/field report/bird net analyzer/site8_A030/A030\20250427_120000.WAV
492.0,495.0,Certhia brachydactyla,Short-toed Treecreeper,0.9813,C:/Users/malte/OneDrive/Uni/Studium/Master Bonn/4 SoSe24/Soundscape Ecology/field report/bird net analyzer/site8_A030/A030\20250427_120000.WAV
531.0,534.0,Certhia brachydactyla,Short-toed Treecreeper,0.5777,C:/Users/malte/OneDrive/Uni/Studium/Master Bonn/4 SoSe24/Soundscape Ecology/field report/bird net analyzer/site8_A030/A030\20250427_120000.WAV
531.0,534.0,Turdus merula,Eurasian Blackbird,0.5751,C:/Users/malte/OneDrive/Uni/Studium/Master Bonn/4 SoSe24/Soundscape Ecology/field report/bird net analyzer/site8_A030/A030\20250427_120000.WAV
546.0,549.0,Turdus merula,Eurasian Blackbird,0.6231,C:/Users/malte/OneDrive/Uni/Studium/Master Bonn/4 SoSe24/Soundscape Ecology/field report/bird net analyzer/site8_A030/A030\20250427_120000.WAV
552.0,555.0,Turdus merula,Eurasian Blackbird,0.8076,C:/Users/malte/OneDrive/Uni/Studium/Master Bonn/4 SoSe24/Soundscape Ecology/field report/bird net analyzer/site8_A030/A030\20250427_120000.WAV
567.0,570.0,Turdus merula,Eurasian Blackbird,0.7442,C:/Users/malte/OneDrive/Uni/Studium/Master Bonn/4 SoSe24/Soundscape Ecology/field report/bird net analyzer/site8_A030/A030\20250427_120000.WAV
573.0,576.0,Turdus merula,Eurasian Blackbird,0.7024,C:/Users/malte/OneDrive/Uni/Studium/Master Bonn/4 SoSe24/Soundscape Ecology/field report/bird net analyzer/site8_A030/A030\20250427_120000.WAV
576.0,579.0,Turdus merula,Eurasian Blackbird,0.8150,C:/Users/malte/OneDrive/Uni/Studium/Master Bonn/4 SoSe24/Soundscape Ecology/field report/bird net analyzer/site8_A030/A030\20250427_120000.WAV
597.0,600.0,Turdus merula,Eurasian Blackbird,0.6523,C:/Users/malte/OneDrive/Uni/Studium/Master Bonn/4 SoSe24/Soundscape Ecology/field report/bird net analyzer/site8_A030/A030\20250427_120000.WAV
177.0,180.0,Certhia brachydactyla,Short-toed Treecreeper,0.8705,C:/Users/malte/OneDrive/Uni/Studium/Master Bonn/4 SoSe24/Soundscape Ecology/field report/bird net analyzer/site8_A030/A030\20250427_130000.WAV
201.0,204.0,Certhia brachydactyla,Short-toed Treecreeper,0.8343,C:/Users/malte/OneDrive/Uni/Studium/Master Bonn/4 SoSe24/Soundscape Ecology/field report/bird net analyzer/site8_A030/A030\20250427_130000.WAV
216.0,219.0,Certhia brachydactyla,Short-toed Treecreeper,0.5408,C:/Users/malte/OneDrive/Uni/Studium/Master Bonn/4 SoSe24/Soundscape Ecology/field report/bird net analyzer/site8_A030/A030\20250427_130000.WAV
264.0,267.0,Certhia brachydactyla,Short-toed Treecreeper,0.8271,C:/Users/malte/OneDrive/Uni/Studium/Master Bonn/4 SoSe24/Soundscape Ecology/field report/bird net analyzer/site8_A030/A030\20250427_130000.WAV
276.0,279.0,Certhia brachydactyla,Short-toed Treecreeper,0.6467,C:/Users/malte/OneDrive/Uni/Studium/Master Bonn/4 SoSe24/Soundscape Ecology/field report/bird net analyzer/site8_A030/A030\20250427_130000.WAV
285.0,288.0,Certhia brachydactyla,Short-toed Treecreeper,0.7367,C:/Users/malte/OneDrive/Uni/Studium/Master Bonn/4 SoSe24/Soundscape Ecology/field report/bird net analyzer/site8_A030/A030\20250427_130000.WAV
309.0,312.0,Turdus merula,Eurasian Blackbird,0.6443,C:/Users/malte/OneDrive/Uni/Studium/Master Bonn/4 SoSe24/Soundscape Ecology/field report/bird net analyzer/site8_A030/A030\20250427_130000.WAV
336.0,339.0,Parus major,Great Tit,0.6658,C:/Users/malte/OneDrive/Uni/Studium/Master Bonn/4 SoSe24/Soundscape Ecology/field report/bird net analyzer/site8_A030/A030\20250427_130000.WAV
339.0,342.0,Parus major,Great Tit,0.7159,C:/Users/malte/OneDrive/Uni/Studium/Master Bonn/4 SoSe24/Soundscape Ecology/field report/bird net analyzer/site8_A030/A030\20250427_130000.WAV
