Start (s),End (s),Scientific name,Common name,Confidence,File
0.0,3.0,Corvus frugilegus,Rook,0.2436,/Users/robbieleahy/Desktop/A034/20250427_030000.WAV
3.0,6.0,Corvus frugilegus,Rook,0.4461,/Users/robbieleahy/Desktop/A034/20250427_030000.WAV
6.0,9.0,Corvus frugilegus,Rook,0.4305,/Users/robbieleahy/Desktop/A034/20250427_030000.WAV
45.0,48.0,Corvus frugilegus,Rook,0.1071,/Users/robbieleahy/Desktop/A034/20250427_030000.WAV
120.0,123.0,Rallus aquaticus,Water Rail,0.1122,/Users/robbieleahy/Desktop/A034/20250427_030000.WAV
213.0,216.0,Branta canadensis,Canada Goose,0.1696,/Users/robbieleahy/Desktop/A034/20250427_030000.WAV
375.0,378.0,Fulica atra,Eurasian Coot,0.1109,/Users/robbieleahy/Desktop/A034/20250427_030000.WAV
378.0,381.0,Corvus frugilegus,Rook,0.2611,/Users/robbieleahy/Desktop/A034/20250427_030000.WAV
387.0,390.0,Corvus frugilegus,Rook,0.3225,/Users/robbieleahy/Desktop/A034/20250427_030000.WAV
453.0,456.0,Branta canadensis,Canada Goose,0.2445,/Users/robbieleahy/Desktop/A034/20250427_030000.WAV
483.0,486.0,Corvus frugilegus,Rook,0.1766,/Users/robbieleahy/Desktop/A034/20250427_030000.WAV
486.0,489.0,Corvus frugilegus,Rook,0.1604,/Users/robbieleahy/Desktop/A034/20250427_030000.WAV
525.0,528.0,Corvus frugilegus,Rook,0.1566,/Users/robbieleahy/Desktop/A034/20250427_030000.WAV
552.0,555.0,Fulica atra,Eurasian Coot,0.1010,/Users/robbieleahy/Desktop/A034/20250427_030000.WAV
576.0,579.0,Corvus frugilegus,Rook,0.1108,/Users/robbieleahy/Desktop/A034/20250427_030000.WAV
594.0,597.0,Corvus frugilegus,Rook,0.2018,/Users/robbieleahy/Desktop/A034/20250427_030000.WAV
