Start (s),End (s),Scientific name,Common name,Confidence,File
3.0,6.0,Fulica atra,Eurasian Coot,0.2565,A:/data/audio/25042025_09052025_wiesengut/25042025_30042025_10m1h/A023\20250426_030000.WAV
6.0,9.0,Fulica atra,Eurasian Coot,0.2563,A:/data/audio/25042025_09052025_wiesengut/25042025_30042025_10m1h/A023\20250426_030000.WAV
9.0,12.0,Fulica atra,Eurasian Coot,0.1637,A:/data/audio/25042025_09052025_wiesengut/25042025_30042025_10m1h/A023\20250426_030000.WAV
12.0,15.0,Rallus aquaticus,Water Rail,0.2160,A:/data/audio/25042025_09052025_wiesengut/25042025_30042025_10m1h/A023\20250426_030000.WAV
12.0,15.0,Fulica atra,Eurasian Coot,0.1633,A:/data/audio/25042025_09052025_wiesengut/25042025_30042025_10m1h/A023\20250426_030000.WAV
12.0,15.0,Gallinula chloropus,Eurasian Moorhen,0.1229,A:/data/audio/25042025_09052025_wiesengut/25042025_30042025_10m1h/A023\20250426_030000.WAV
15.0,18.0,Fulica atra,Eurasian Coot,0.1652,A:/data/audio/25042025_09052025_wiesengut/25042025_30042025_10m1h/A023\20250426_030000.WAV
18.0,21.0,Fulica atra,Eurasian Coot,0.2753,A:/data/audio/25042025_09052025_wiesengut/25042025_30042025_10m1h/A023\20250426_030000.WAV
21.0,24.0,Rallus aquaticus,Water Rail,0.1483,A:/data/audio/25042025_09052025_wiesengut/25042025_30042025_10m1h/A023\20250426_030000.WAV
21.0,24.0,Fulica atra,Eurasian Coot,0.1446,A:/data/audio/25042025_09052025_wiesengut/25042025_30042025_10m1h/A023\20250426_030000.WAV
24.0,27.0,Rallus aquaticus,Water Rail,0.1729,A:/data/audio/25042025_09052025_wiesengut/25042025_30042025_10m1h/A023\20250426_030000.WAV
24.0,27.0,Anas platyrhynchos,Mallard,0.1328,A:/data/audio/25042025_09052025_wiesengut/25042025_30042025_10m1h/A023\20250426_030000.WAV
24.0,27.0,Fulica atra,Eurasian Coot,0.1040,A:/data/audio/25042025_09052025_wiesengut/25042025_30042025_10m1h/A023\20250426_030000.WAV
27.0,30.0,Fulica atra,Eurasian Coot,0.1667,A:/data/audio/25042025_09052025_wiesengut/25042025_30042025_10m1h/A023\20250426_030000.WAV
30.0,33.0,Rallus aquaticus,Water Rail,0.1949,A:/data/audio/25042025_09052025_wiesengut/25042025_30042025_10m1h/A023\20250426_030000.WAV
33.0,36.0,Rallus aquaticus,Water Rail,0.2545,A:/data/audio/25042025_09052025_wiesengut/25042025_30042025_10m1h/A023\20250426_030000.WAV
33.0,36.0,Fulica atra,Eurasian Coot,0.1887,A:/data/audio/25042025_09052025_wiesengut/25042025_30042025_10m1h/A023\20250426_030000.WAV
36.0,39.0,Rallus aquaticus,Water Rail,0.3152,A:/data/audio/25042025_09052025_wiesengut/25042025_30042025_10m1h/A023\20250426_030000.WAV
36.0,39.0,Fulica atra,Eurasian Coot,0.1524,A:/data/audio/25042025_09052025_wiesengut/25042025_30042025_10m1h/A023\20250426_030000.WAV
39.0,42.0,Fulica atra,Eurasian Coot,0.2762,A:/data/audio/25042025_09052025_wiesengut/25042025_30042025_10m1h/A023\20250426_030000.WAV
39.0,42.0,Rallus aquaticus,Water Rail,0.1258,A:/data/audio/25042025_09052025_wiesengut/25042025_30042025_10m1h/A023\20250426_030000.WAV
42.0,45.0,Rallus aquaticus,Water Rail,0.1958,A:/data/audio/25042025_09052025_wiesengut/25042025_30042025_10m1h/A023\20250426_030000.WAV
42.0,45.0,Fulica atra,Eurasian Coot,0.1640,A:/data/audio/25042025_09052025_wiesengut/25042025_30042025_10m1h/A023\20250426_030000.WAV
48.0,51.0,Rallus aquaticus,Water Rail,0.2363,A:/data/audio/25042025_09052025_wiesengut/25042025_30042025_10m1h/A023\20250426_030000.WAV
57.0,60.0,Fulica atra,Eurasian Coot,0.1422,A:/data/audio/25042025_09052025_wiesengut/25042025_30042025_10m1h/A023\20250426_030000.WAV
57.0,60.0,Anas platyrhynchos,Mallard,0.1245,A:/data/audio/25042025_09052025_wiesengut/25042025_30042025_10m1h/A023\20250426_030000.WAV
57.0,60.0,Gallinula chloropus,Eurasian Moorhen,0.1071,A:/data/audio/25042025_09052025_wiesengut/25042025_30042025_10m1h/A023\20250426_030000.WAV
60.0,63.0,Rallus aquaticus,Water Rail,0.2076,A:/data/audio/25042025_09052025_wiesengut/25042025_30042025_10m1h/A023\20250426_030000.WAV
63.0,66.0,Anas platyrhynchos,Mallard,0.2550,A:/data/audio/25042025_09052025_wiesengut/25042025_30042025_10m1h/A023\20250426_030000.WAV
66.0,69.0,Rallus aquaticus,Water Rail,0.1467,A:/data/audio/25042025_09052025_wiesengut/25042025_30042025_10m1h/A023\20250426_030000.WAV
69.0,72.0,Fulica atra,Eurasian Coot,0.2253,A:/data/audio/25042025_09052025_wiesengut/25042025_30042025_10m1h/A023\20250426_030000.WAV
72.0,75.0,Fulica atra,Eurasian Coot,0.2889,A:/data/audio/25042025_09052025_wiesengut/25042025_30042025_10m1h/A023\20250426_030000.WAV
75.0,78.0,Fulica atra,Eurasian Coot,0.2193,A:/data/audio/25042025_09052025_wiesengut/25042025_30042025_10m1h/A023\20250426_030000.WAV
78.0,81.0,Fulica atra,Eurasian Coot,0.1496,A:/data/audio/25042025_09052025_wiesengut/25042025_30042025_10m1h/A023\20250426_030000.WAV
81.0,84.0,Fulica atra,Eurasian Coot,0.1638,A:/data/audio/25042025_09052025_wiesengut/25042025_30042025_10m1h/A023\20250426_030000.WAV
84.0,87.0,Fulica atra,Eurasian Coot,0.1877,A:/data/audio/25042025_09052025_wiesengut/25042025_30042025_10m1h/A023\20250426_030000.WAV
84.0,87.0,Rallus aquaticus,Water Rail,0.1262,A:/data/audio/25042025_09052025_wiesengut/25042025_30042025_10m1h/A023\20250426_030000.WAV
87.0,90.0,Fulica atra,Eurasian Coot,0.2734,A:/data/audio/25042025_09052025_wiesengut/25042025_30042025_10m1h/A023\20250426_030000.WAV
87.0,90.0,Rallus aquaticus,Water Rail,0.1282,A:/data/audio/25042025_09052025_wiesengut/25042025_30042025_10m1h/A023\20250426_030000.WAV
90.0,93.0,Fulica atra,Eurasian Coot,0.2786,A:/data/audio/25042025_09052025_wiesengut/25042025_30042025_10m1h/A023\20250426_030000.WAV
90.0,93.0,Rallus aquaticus,Water Rail,0.1353,A:/data/audio/25042025_09052025_wiesengut/25042025_30042025_10m1h/A023\20250426_030000.WAV
90.0,93.0,Gallinula chloropus,Eurasian Moorhen,0.1352,A:/data/audio/25042025_09052025_wiesengut/25042025_30042025_10m1h/A023\20250426_030000.WAV
93.0,96.0,Fulica atra,Eurasian Coot,0.1996,A:/data/audio/25042025_09052025_wiesengut/25042025_30042025_10m1h/A023\20250426_030000.WAV
96.0,99.0,Fulica atra,Eurasian Coot,0.3485,A:/data/audio/25042025_09052025_wiesengut/25042025_30042025_10m1h/A023\20250426_030000.WAV
99.0,102.0,Fulica atra,Eurasian Coot,0.1756,A:/data/audio/25042025_09052025_wiesengut/25042025_30042025_10m1h/A023\20250426_030000.WAV
102.0,105.0,Fulica atra,Eurasian Coot,0.2283,A:/data/audio/25042025_09052025_wiesengut/25042025_30042025_10m1h/A023\20250426_030000.WAV
105.0,108.0,Fulica atra,Eurasian Coot,0.2301,A:/data/audio/25042025_09052025_wiesengut/25042025_30042025_10m1h/A023\20250426_030000.WAV
108.0,111.0,Fulica atra,Eurasian Coot,0.2124,A:/data/audio/25042025_09052025_wiesengut/25042025_30042025_10m1h/A023\20250426_030000.WAV
108.0,111.0,Rallus aquaticus,Water Rail,0.1848,A:/data/audio/25042025_09052025_wiesengut/25042025_30042025_10m1h/A023\20250426_030000.WAV
111.0,114.0,Fulica atra,Eurasian Coot,0.4533,A:/data/audio/25042025_09052025_wiesengut/25042025_30042025_10m1h/A023\20250426_030000.WAV
111.0,114.0,Anas platyrhynchos,Mallard,0.1503,A:/data/audio/25042025_09052025_wiesengut/25042025_30042025_10m1h/A023\20250426_030000.WAV
111.0,114.0,Gallinula chloropus,Eurasian Moorhen,0.1309,A:/data/audio/25042025_09052025_wiesengut/25042025_30042025_10m1h/A023\20250426_030000.WAV
111.0,114.0,Rallus aquaticus,Water Rail,0.1077,A:/data/audio/25042025_09052025_wiesengut/25042025_30042025_10m1h/A023\20250426_030000.WAV
114.0,117.0,Fulica atra,Eurasian Coot,0.2783,A:/data/audio/25042025_09052025_wiesengut/25042025_30042025_10m1h/A023\20250426_030000.WAV
117.0,120.0,Fulica atra,Eurasian Coot,0.4204,A:/data/audio/25042025_09052025_wiesengut/25042025_30042025_10m1h/A023\20250426_030000.WAV
117.0,120.0,Rallus aquaticus,Water Rail,0.1243,A:/data/audio/25042025_09052025_wiesengut/25042025_30042025_10m1h/A023\20250426_030000.WAV
117.0,120.0,Gallinula chloropus,Eurasian Moorhen,0.1170,A:/data/audio/25042025_09052025_wiesengut/25042025_30042025_10m1h/A023\20250426_030000.WAV
120.0,123.0,Rallus aquaticus,Water Rail,0.1959,A:/data/audio/25042025_09052025_wiesengut/25042025_30042025_10m1h/A023\20250426_030000.WAV
120.0,123.0,Fulica atra,Eurasian Coot,0.1226,A:/data/audio/25042025_09052025_wiesengut/25042025_30042025_10m1h/A023\20250426_030000.WAV
123.0,126.0,Fulica atra,Eurasian Coot,0.4136,A:/data/audio/25042025_09052025_wiesengut/25042025_30042025_10m1h/A023\20250426_030000.WAV
123.0,126.0,Rallus aquaticus,Water Rail,0.1050,A:/data/audio/25042025_09052025_wiesengut/25042025_30042025_10m1h/A023\20250426_030000.WAV
126.0,129.0,Fulica atra,Eurasian Coot,0.2098,A:/data/audio/25042025_09052025_wiesengut/25042025_30042025_10m1h/A023\20250426_030000.WAV
129.0,132.0,Fulica atra,Eurasian Coot,0.1227,A:/data/audio/25042025_09052025_wiesengut/25042025_30042025_10m1h/A023\20250426_030000.WAV
132.0,135.0,Fulica atra,Eurasian Coot,0.1345,A:/data/audio/25042025_09052025_wiesengut/25042025_30042025_10m1h/A023\20250426_030000.WAV
135.0,138.0,Fulica atra,Eurasian Coot,0.2724,A:/data/audio/25042025_09052025_wiesengut/25042025_30042025_10m1h/A023\20250426_030000.WAV
138.0,141.0,Fulica atra,Eurasian Coot,0.1245,A:/data/audio/25042025_09052025_wiesengut/25042025_30042025_10m1h/A023\20250426_030000.WAV
141.0,144.0,Fulica atra,Eurasian Coot,0.2135,A:/data/audio/25042025_09052025_wiesengut/25042025_30042025_10m1h/A023\20250426_030000.WAV
