Start (s),End (s),Scientific name,Common name,Confidence,File
0.0,3.0,Alauda arvensis,Eurasian Skylark,0.1576,A:/data/audio/25042025_09052025_wiesengut/25042025_30042025_10m1h/A023\20250426_150000.WAV
9.0,12.0,Alauda arvensis,Eurasian Skylark,0.1734,A:/data/audio/25042025_09052025_wiesengut/25042025_30042025_10m1h/A023\20250426_150000.WAV
12.0,15.0,Alauda arvensis,Eurasian Skylark,0.8479,A:/data/audio/25042025_09052025_wiesengut/25042025_30042025_10m1h/A023\20250426_150000.WAV
18.0,21.0,Alauda arvensis,Eurasian Skylark,0.2176,A:/data/audio/25042025_09052025_wiesengut/25042025_30042025_10m1h/A023\20250426_150000.WAV
24.0,27.0,Alauda arvensis,Eurasian Skylark,0.3026,A:/data/audio/25042025_09052025_wiesengut/25042025_30042025_10m1h/A023\20250426_150000.WAV
24.0,27.0,Numenius arquata,Eurasian Curlew,0.1146,A:/data/audio/25042025_09052025_wiesengut/25042025_30042025_10m1h/A023\20250426_150000.WAV
42.0,45.0,Turdus merula,Eurasian Blackbird,0.1164,A:/data/audio/25042025_09052025_wiesengut/25042025_30042025_10m1h/A023\20250426_150000.WAV
48.0,51.0,Numenius arquata,Eurasian Curlew,0.3384,A:/data/audio/25042025_09052025_wiesengut/25042025_30042025_10m1h/A023\20250426_150000.WAV
51.0,54.0,Alauda arvensis,Eurasian Skylark,0.1486,A:/data/audio/25042025_09052025_wiesengut/25042025_30042025_10m1h/A023\20250426_150000.WAV
54.0,57.0,Alauda arvensis,Eurasian Skylark,0.1179,A:/data/audio/25042025_09052025_wiesengut/25042025_30042025_10m1h/A023\20250426_150000.WAV
60.0,63.0,Turdus merula,Eurasian Blackbird,0.1337,A:/data/audio/25042025_09052025_wiesengut/25042025_30042025_10m1h/A023\20250426_150000.WAV
66.0,69.0,Turdus merula,Eurasian Blackbird,0.1419,A:/data/audio/25042025_09052025_wiesengut/25042025_30042025_10m1h/A023\20250426_150000.WAV
72.0,75.0,Turdus merula,Eurasian Blackbird,0.6309,A:/data/audio/25042025_09052025_wiesengut/25042025_30042025_10m1h/A023\20250426_150000.WAV
78.0,81.0,Turdus merula,Eurasian Blackbird,0.4566,A:/data/audio/25042025_09052025_wiesengut/25042025_30042025_10m1h/A023\20250426_150000.WAV
84.0,87.0,Tringa totanus,Common Redshank,0.1546,A:/data/audio/25042025_09052025_wiesengut/25042025_30042025_10m1h/A023\20250426_150000.WAV
84.0,87.0,Numenius phaeopus,Whimbrel,0.1401,A:/data/audio/25042025_09052025_wiesengut/25042025_30042025_10m1h/A023\20250426_150000.WAV
87.0,90.0,Turdus merula,Eurasian Blackbird,0.4717,A:/data/audio/25042025_09052025_wiesengut/25042025_30042025_10m1h/A023\20250426_150000.WAV
96.0,99.0,Turdus merula,Eurasian Blackbird,0.4884,A:/data/audio/25042025_09052025_wiesengut/25042025_30042025_10m1h/A023\20250426_150000.WAV
105.0,108.0,Turdus merula,Eurasian Blackbird,0.5014,A:/data/audio/25042025_09052025_wiesengut/25042025_30042025_10m1h/A023\20250426_150000.WAV
144.0,147.0,Turdus merula,Eurasian Blackbird,0.5292,A:/data/audio/25042025_09052025_wiesengut/25042025_30042025_10m1h/A023\20250426_150000.WAV
156.0,159.0,Turdus merula,Eurasian Blackbird,0.1584,A:/data/audio/25042025_09052025_wiesengut/25042025_30042025_10m1h/A023\20250426_150000.WAV
171.0,174.0,Anas crecca,Green-winged Teal,0.1459,A:/data/audio/25042025_09052025_wiesengut/25042025_30042025_10m1h/A023\20250426_150000.WAV
171.0,174.0,Turdus merula,Eurasian Blackbird,0.1277,A:/data/audio/25042025_09052025_wiesengut/25042025_30042025_10m1h/A023\20250426_150000.WAV
171.0,174.0,Rallus aquaticus,Water Rail,0.1079,A:/data/audio/25042025_09052025_wiesengut/25042025_30042025_10m1h/A023\20250426_150000.WAV
