Start (s),End (s),Scientific name,Common name,Confidence,File
9.0,12.0,Emberiza schoeniclus,Reed Bunting,0.1209,A:/data/audio/25042025_09052025_wiesengut/25042025_30042025_10m1h/A023\20250428_090000.WAV
15.0,18.0,Emberiza schoeniclus,Reed Bunting,0.1015,A:/data/audio/25042025_09052025_wiesengut/25042025_30042025_10m1h/A023\20250428_090000.WAV
18.0,21.0,Emberiza schoeniclus,Reed Bunting,0.1239,A:/data/audio/25042025_09052025_wiesengut/25042025_30042025_10m1h/A023\20250428_090000.WAV
27.0,30.0,Emberiza schoeniclus,Reed Bunting,0.1082,A:/data/audio/25042025_09052025_wiesengut/25042025_30042025_10m1h/A023\20250428_090000.WAV
39.0,42.0,Phoenicurus phoenicurus,Common Redstart,0.1650,A:/data/audio/25042025_09052025_wiesengut/25042025_30042025_10m1h/A023\20250428_090000.WAV
45.0,48.0,Emberiza schoeniclus,Reed Bunting,0.1157,A:/data/audio/25042025_09052025_wiesengut/25042025_30042025_10m1h/A023\20250428_090000.WAV
48.0,51.0,Alauda arvensis,Eurasian Skylark,0.1825,A:/data/audio/25042025_09052025_wiesengut/25042025_30042025_10m1h/A023\20250428_090000.WAV
48.0,51.0,Emberiza calandra,Corn Bunting,0.1031,A:/data/audio/25042025_09052025_wiesengut/25042025_30042025_10m1h/A023\20250428_090000.WAV
60.0,63.0,Emberiza schoeniclus,Reed Bunting,0.1216,A:/data/audio/25042025_09052025_wiesengut/25042025_30042025_10m1h/A023\20250428_090000.WAV
69.0,72.0,Spinus spinus,Eurasian Siskin,0.1107,A:/data/audio/25042025_09052025_wiesengut/25042025_30042025_10m1h/A023\20250428_090000.WAV
72.0,75.0,Spinus spinus,Eurasian Siskin,0.2630,A:/data/audio/25042025_09052025_wiesengut/25042025_30042025_10m1h/A023\20250428_090000.WAV
78.0,81.0,Spinus spinus,Eurasian Siskin,0.2632,A:/data/audio/25042025_09052025_wiesengut/25042025_30042025_10m1h/A023\20250428_090000.WAV
81.0,84.0,Emberiza schoeniclus,Reed Bunting,0.2042,A:/data/audio/25042025_09052025_wiesengut/25042025_30042025_10m1h/A023\20250428_090000.WAV
81.0,84.0,Phylloscopus collybita,Common Chiffchaff,0.1187,A:/data/audio/25042025_09052025_wiesengut/25042025_30042025_10m1h/A023\20250428_090000.WAV
84.0,87.0,Curruca communis,Greater Whitethroat,0.3318,A:/data/audio/25042025_09052025_wiesengut/25042025_30042025_10m1h/A023\20250428_090000.WAV
90.0,93.0,Emberiza schoeniclus,Reed Bunting,0.2996,A:/data/audio/25042025_09052025_wiesengut/25042025_30042025_10m1h/A023\20250428_090000.WAV
90.0,93.0,Phylloscopus collybita,Common Chiffchaff,0.2546,A:/data/audio/25042025_09052025_wiesengut/25042025_30042025_10m1h/A023\20250428_090000.WAV
93.0,96.0,Emberiza schoeniclus,Reed Bunting,0.1004,A:/data/audio/25042025_09052025_wiesengut/25042025_30042025_10m1h/A023\20250428_090000.WAV
105.0,108.0,Cyanistes caeruleus,Eurasian Blue Tit,0.1803,A:/data/audio/25042025_09052025_wiesengut/25042025_30042025_10m1h/A023\20250428_090000.WAV
105.0,108.0,Emberiza schoeniclus,Reed Bunting,0.1034,A:/data/audio/25042025_09052025_wiesengut/25042025_30042025_10m1h/A023\20250428_090000.WAV
108.0,111.0,Regulus regulus,Goldcrest,0.1270,A:/data/audio/25042025_09052025_wiesengut/25042025_30042025_10m1h/A023\20250428_090000.WAV
111.0,114.0,Emberiza schoeniclus,Reed Bunting,0.1215,A:/data/audio/25042025_09052025_wiesengut/25042025_30042025_10m1h/A023\20250428_090000.WAV
117.0,120.0,Curruca communis,Greater Whitethroat,0.1662,A:/data/audio/25042025_09052025_wiesengut/25042025_30042025_10m1h/A023\20250428_090000.WAV
117.0,120.0,Emberiza schoeniclus,Reed Bunting,0.1113,A:/data/audio/25042025_09052025_wiesengut/25042025_30042025_10m1h/A023\20250428_090000.WAV
120.0,123.0,Spinus spinus,Eurasian Siskin,0.1181,A:/data/audio/25042025_09052025_wiesengut/25042025_30042025_10m1h/A023\20250428_090000.WAV
123.0,126.0,Emberiza schoeniclus,Reed Bunting,0.1884,A:/data/audio/25042025_09052025_wiesengut/25042025_30042025_10m1h/A023\20250428_090000.WAV
126.0,129.0,Cyanistes caeruleus,Eurasian Blue Tit,0.2787,A:/data/audio/25042025_09052025_wiesengut/25042025_30042025_10m1h/A023\20250428_090000.WAV
129.0,132.0,Emberiza schoeniclus,Reed Bunting,0.2076,A:/data/audio/25042025_09052025_wiesengut/25042025_30042025_10m1h/A023\20250428_090000.WAV
132.0,135.0,Phylloscopus collybita,Common Chiffchaff,0.1058,A:/data/audio/25042025_09052025_wiesengut/25042025_30042025_10m1h/A023\20250428_090000.WAV
135.0,138.0,Emberiza schoeniclus,Reed Bunting,0.1597,A:/data/audio/25042025_09052025_wiesengut/25042025_30042025_10m1h/A023\20250428_090000.WAV
138.0,141.0,Curruca communis,Greater Whitethroat,0.2483,A:/data/audio/25042025_09052025_wiesengut/25042025_30042025_10m1h/A023\20250428_090000.WAV
138.0,141.0,Phylloscopus collybita,Common Chiffchaff,0.1819,A:/data/audio/25042025_09052025_wiesengut/25042025_30042025_10m1h/A023\20250428_090000.WAV
138.0,141.0,Curruca curruca,Lesser Whitethroat,0.1050,A:/data/audio/25042025_09052025_wiesengut/25042025_30042025_10m1h/A023\20250428_090000.WAV
144.0,147.0,Emberiza schoeniclus,Reed Bunting,0.1908,A:/data/audio/25042025_09052025_wiesengut/25042025_30042025_10m1h/A023\20250428_090000.WAV
144.0,147.0,Phylloscopus collybita,Common Chiffchaff,0.1154,A:/data/audio/25042025_09052025_wiesengut/25042025_30042025_10m1h/A023\20250428_090000.WAV
147.0,150.0,Phylloscopus collybita,Common Chiffchaff,0.1386,A:/data/audio/25042025_09052025_wiesengut/25042025_30042025_10m1h/A023\20250428_090000.WAV
150.0,153.0,Emberiza schoeniclus,Reed Bunting,0.2092,A:/data/audio/25042025_09052025_wiesengut/25042025_30042025_10m1h/A023\20250428_090000.WAV
156.0,159.0,Phylloscopus collybita,Common Chiffchaff,0.2957,A:/data/audio/25042025_09052025_wiesengut/25042025_30042025_10m1h/A023\20250428_090000.WAV
156.0,159.0,Phoenicurus phoenicurus,Common Redstart,0.1410,A:/data/audio/25042025_09052025_wiesengut/25042025_30042025_10m1h/A023\20250428_090000.WAV
162.0,165.0,Phylloscopus collybita,Common Chiffchaff,0.1142,A:/data/audio/25042025_09052025_wiesengut/25042025_30042025_10m1h/A023\20250428_090000.WAV
162.0,165.0,Sylvia atricapilla,Eurasian Blackcap,0.1037,A:/data/audio/25042025_09052025_wiesengut/25042025_30042025_10m1h/A023\20250428_090000.WAV
165.0,168.0,Phylloscopus collybita,Common Chiffchaff,0.3661,A:/data/audio/25042025_09052025_wiesengut/25042025_30042025_10m1h/A023\20250428_090000.WAV
180.0,183.0,Phylloscopus collybita,Common Chiffchaff,0.2944,A:/data/audio/25042025_09052025_wiesengut/25042025_30042025_10m1h/A023\20250428_090000.WAV
183.0,186.0,Phylloscopus collybita,Common Chiffchaff,0.1267,A:/data/audio/25042025_09052025_wiesengut/25042025_30042025_10m1h/A023\20250428_090000.WAV
192.0,195.0,Parus major,Great Tit,0.1325,A:/data/audio/25042025_09052025_wiesengut/25042025_30042025_10m1h/A023\20250428_090000.WAV
192.0,195.0,Emberiza schoeniclus,Reed Bunting,0.1074,A:/data/audio/25042025_09052025_wiesengut/25042025_30042025_10m1h/A023\20250428_090000.WAV
195.0,198.0,Phylloscopus collybita,Common Chiffchaff,0.3258,A:/data/audio/25042025_09052025_wiesengut/25042025_30042025_10m1h/A023\20250428_090000.WAV
195.0,198.0,Emberiza schoeniclus,Reed Bunting,0.1692,A:/data/audio/25042025_09052025_wiesengut/25042025_30042025_10m1h/A023\20250428_090000.WAV
201.0,204.0,Emberiza schoeniclus,Reed Bunting,0.1798,A:/data/audio/25042025_09052025_wiesengut/25042025_30042025_10m1h/A023\20250428_090000.WAV
204.0,207.0,Phylloscopus collybita,Common Chiffchaff,0.3028,A:/data/audio/25042025_09052025_wiesengut/25042025_30042025_10m1h/A023\20250428_090000.WAV
204.0,207.0,Emberiza schoeniclus,Reed Bunting,0.1194,A:/data/audio/25042025_09052025_wiesengut/25042025_30042025_10m1h/A023\20250428_090000.WAV
213.0,216.0,Phylloscopus collybita,Common Chiffchaff,0.3034,A:/data/audio/25042025_09052025_wiesengut/25042025_30042025_10m1h/A023\20250428_090000.WAV
216.0,219.0,Emberiza schoeniclus,Reed Bunting,0.1275,A:/data/audio/25042025_09052025_wiesengut/25042025_30042025_10m1h/A023\20250428_090000.WAV
216.0,219.0,Rallus aquaticus,Water Rail,0.1064,A:/data/audio/25042025_09052025_wiesengut/25042025_30042025_10m1h/A023\20250428_090000.WAV
219.0,222.0,Spinus spinus,Eurasian Siskin,0.4029,A:/data/audio/25042025_09052025_wiesengut/25042025_30042025_10m1h/A023\20250428_090000.WAV
222.0,225.0,Emberiza schoeniclus,Reed Bunting,0.1489,A:/data/audio/25042025_09052025_wiesengut/25042025_30042025_10m1h/A023\20250428_090000.WAV
