"Scientific.name","Common.name","Confidence","Audio_ID","Site_ID"
"Lullula arborea","Wood Lark",0.1114,"A021",1
"Turdus merula","Eurasian Blackbird",0.3878,"A021",1
"Fulica atra","Eurasian Coot",0.121,"A021",1
"Falco tinnunculus","Eurasian Kestrel",0.4022,"A021",1
"Sylvia atricapilla","Eurasian Blackcap",0.2651,"A021",1
"Corvus frugilegus","Rook",0.2855,"A021",1
"Motacilla alba","White Wagtail",0.3152,"A021",1
"Phylloscopus collybita","Common Chiffchaff",0.1669,"A021",1
"Phoenicurus phoenicurus","Common Redstart",0.1486,"A021",1
"Phylloscopus trochilus","Willow Warbler",0.1207,"A021",1
"Picus viridis","Eurasian Green Woodpecker",0.9478,"A021",1
"Troglodytes troglodytes","Eurasian Wren",0.4937,"A021",1
"Rallus aquaticus","Water Rail",0.1171,"A021",1
"Poecile palustris","Marsh Tit",0.1008,"A021",1
"Sylvia borin","Garden Warbler",0.1153,"A021",1
"Corvus corone","Carrion Crow",0.1692,"A021",1
"Parus major","Great Tit",0.1174,"A021",1
"Curruca communis","Greater Whitethroat",0.2526,"A021",1
"Carduelis carduelis","European Goldfinch",0.8708,"A021",1
"Delichon urbicum","Common House-Martin",0.8733,"A021",1
"Columba palumbus","Common Wood-Pigeon",0.1827,"A021",1
"Emberiza schoeniclus","Reed Bunting",0.1257,"A021",1
"Spinus spinus","Eurasian Siskin",0.3502,"A021",1
"Streptopelia decaocto","Eurasian Collared-Dove",0.305,"A021",1
"Streptopelia turtur","European Turtle-Dove",0.1557,"A021",1
"Alauda arvensis","Eurasian Skylark",0.113,"A021",1
"Phoenicurus ochruros","Black Redstart",0.1066,"A021",1
"Anthus trivialis","Tree Pipit",0.1488,"A021",1
"Dendrocoptes medius","Middle Spotted Woodpecker",0.7768,"A021",1
"Serinus serinus","European Serin",0.1603,"A021",1
"Certhia brachydactyla","Short-toed Treecreeper",0.307,"A021",1
"Hirundo rustica","Barn Swallow",0.645,"A021",1
"Numenius arquata","Eurasian Curlew",0.1339,"A021",1
"Acrocephalus palustris","Marsh Warbler",0.2219,"A021",1
"Erithacus rubecula","European Robin",0.1008,"A021",1
"Buteo buteo","Common Buzzard",0.2719,"A021",1
"Oriolus oriolus","Eurasian Golden Oriole",0.1014,"A021",1
"Cyanistes caeruleus","Eurasian Blue Tit",0.1675,"A021",1
"Cuculus canorus","Common Cuckoo",0.6825,"A021",1
"Curruca curruca","Lesser Whitethroat",0.1493,"A021",1
"Acrocephalus arundinaceus","Great Reed Warbler",0.1544,"A021",1
"Locustella naevia","Common Grasshopper-Warbler",0.1125,"A021",1
"Turdus philomelos","Song Thrush",0.2184,"A021",1
"Chloris chloris","European Greenfinch",0.1048,"A021",1
"Turdus viscivorus","Mistle Thrush",0.179,"A021",1
"Dendrocopos major","Great Spotted Woodpecker",0.3635,"A021",1
"Sturnus vulgaris","European Starling",0.1154,"A021",1
"Apus apus","Common Swift",0.2584,"A021",1
"Motacilla flava","Western Yellow Wagtail",0.6056,"A021",1
"Luscinia megarhynchos","Common Nightingale",0.1023,"A021",1
"Psittacula krameri","Rose-ringed Parakeet",0.2084,"A021",1
"Pyrrhula pyrrhula","Eurasian Bullfinch",0.1453,"A021",1
"Tringa ochropus","Green Sandpiper",0.1181,"A021",1
"Prunella modularis","Dunnock",0.212,"A021",1
"Jynx torquilla","Eurasian Wryneck",0.1122,"A021",1
"Hippolais polyglotta","Melodious Warbler",0.1094,"A021",1
"Cettia cetti","Cetti's Warbler",0.1793,"A021",1
"Haematopus ostralegus","Eurasian Oystercatcher",0.2913,"A021",1
"Milvus milvus","Red Kite",0.1717,"A021",1
"Acrocephalus schoenobaenus","Sedge Warbler",0.1347,"A021",1
"Regulus ignicapilla","Common Firecrest",0.1509,"A021",1
"Sitta europaea","Eurasian Nuthatch",0.181,"A021",1
"Acrocephalus scirpaceus","Eurasian Reed Warbler",0.1023,"A021",1
"Anas crecca","Green-winged Teal",0.1187,"A021",1
"Gallinago gallinago","Common Snipe",0.1067,"A021",1
"Podiceps cristatus","Great Crested Grebe",0.2314,"A021",1
"Locustella luscinioides","Savi's Warbler",0.1192,"A021",1
"Charadrius dubius","Little Ringed Plover",0.1076,"A021",1
"Periparus ater","Coal Tit",0.1518,"A021",1
"Luscinia svecica","Bluethroat",0.3138,"A021",1
