Scientific.name,Common.name,Confidence,Audio_IDs,Site_IDs
Sylvia borin,Garden Warbler,"0.12,   0.13,   0.2,   0.14,   0.37,   0.15,   0.1,   0.26,   0.1,   0.1,   0.1,   0.11,   0.11,   0.65,   0.13,   0.17","A021,   A022,   A023,   A026,   A029,   A032,   A033,   A034,   A035,   A036,   A037,   A027,   A024,   A030,   A025,   xa23","1,   15,   16,   19,   17,   18,   13,   12,   2,   3,   14,   6,   7,   8,   10,   11"
Corvus corone,Carrion Crow,"0.17,   0.12,   0.16,   0.17,   0.13,   0.17,   0.51,   0.11,   0.51,   0.11,   0.21,   0.27,   0.22,   0.55,   0.27","A021,   A022,   A023,   A026,   A029,   A032,   A033,   A034,   A035,   A036,   A037,   A027,   A024,   A030,   A025,   xa23","1,   15,   16,   19,   17,   18,   13,   12,   2,   3,   14,   6,   7,   8,   10,   11"
Parus major,Great Tit,"0.12,   0.15,   0.25,   0.46,   0.1,   0.17,   0.31,   0.16,   0.13,   0.62,   0.79,   0.27,   0.11,   0.56,   0.58,   0.38","A021,   A022,   A023,   A026,   A029,   A032,   A033,   A034,   A035,   A036,   A037,   A027,   A024,   A030,   A025,   xa23","1,   15,   16,   19,   17,   18,   13,   12,   2,   3,   14,   6,   7,   8,   10,   11"
Curruca communis,Greater Whitethroat,"0.25,   0.17,   0.13,   0.13,   0.28,   0.23,   0.12,   0.11,   0.13,   0.1,   0.16,   0.12,   0.18,   0.55,   0.25,   0.31","A021,   A022,   A023,   A026,   A029,   A032,   A033,   A034,   A035,   A036,   A037,   A027,   A024,   A030,   A025,   xa23","1,   15,   16,   19,   17,   18,   13,   12,   2,   3,   14,   6,   7,   8,   10,   11"
Carduelis carduelis,European Goldfinch,"0.87,   0.26,   0.21,   0.28,   0.13,   0.37,   0.3,   0.56,   0.13,   0.86,   0.15,   0.12,   0.1,   0.93,   0.16,   0.7","A021,   A022,   A023,   A026,   A029,   A032,   A033,   A034,   A035,   A036,   A037,   A027,   A024,   A030,   A025,   xa23","1,   15,   16,   19,   17,   18,   13,   12,   2,   3,   14,   6,   7,   8,   10,   11"
Delichon urbicum,Common House-Martin,"0.87,   0.1,   0.25,   0.23,   0.13,   0.12,   0.11,   0.2,   0.38,   0.26,   0.12,   0.11","A021,   A022,   A023,   A026,   A032,   A034,   A035,   A036,   A037,   A024,   A025,   xa23","1,   15,   16,   19,   18,   12,   2,   3,   14,   7,   10,   11"
Columba palumbus,Common Wood-Pigeon,"0.18,   0.1,   0.12,   0.19,   0.12,   0.51,   0.24,   0.11,   0.1,   0.28,   0.13,   0.55,   0.1,   0.76","A021,   A022,   A023,   A026,   A029,   A033,   A034,   A035,   A036,   A037,   A027,   A024,   A030,   A025,   xa23","1,   15,   16,   19,   17,   13,   12,   2,   3,   14,   6,   7,   8,   10,   11"
Emberiza schoeniclus,Reed Bunting,"0.13,   0.16,   0.11,   0.11,   0.2,   0.14,   0.13,   0.13,   0.11,   0.12,   0.15,   0.12,   0.17,   0.16,   0.14","A021,   A022,   A023,   A026,   A029,   A032,   A033,   A034,   A035,   A036,   A037,   A027,   A024,   A025,   xa23","1,   15,   16,   19,   17,   18,   13,   12,   2,   3,   14,   6,   7,   10,   11"
Spinus spinus,Eurasian Siskin,"0.35,   0.17,   0.2,   0.31,   0.17,   0.24,   0.11,   0.16,   0.2,   0.11,   0.11,   0.13,   0.12,   0.1,   0.25","A021,   A022,   A023,   A026,   A029,   A032,   A033,   A034,   A035,   A036,   A037,   A027,   A024,   A025,   xa23","1,   15,   16,   19,   17,   18,   13,   12,   2,   3,   14,   6,   7,   10,   11"
Streptopelia decaocto,Eurasian Collared-Dove,"0.3,   0.21,   0.11,   0.22,   0.33,   0.33,   0.13,   0.32,   0.24,   0.24,   0.13,   0.5,   0.23,   0.15","A021,   A023,   A026,   A029,   A033,   A034,   A035,   A036,   A037,   A027,   A024,   A030,   A025,   xa23","1,   16,   19,   17,   13,   12,   2,   3,   14,   6,   7,   8,   10,   11"
Streptopelia turtur,European Turtle-Dove,"0.16,   0.11,   0.11,   0.62,   0.18,   0.12,   0.15,   0.1,   0.37,   0.16,   0.35,   0.16,   0.11","A021,   A022,   A023,   A026,   A029,   A032,   A035,   A036,   A037,   A027,   A024,   A025,   xa23","1,   15,   16,   19,   17,   18,   2,   3,   14,   6,   7,   10,   11"
Alauda arvensis,Eurasian Skylark,"0.11,   0.12,   0.12,   0.29,   0.13,   0.36,   0.35,   0.19,   0.13,   0.53,   0.43,   0.11,   0.41,   0.14","A021,   A022,   A023,   A026,   A029,   A032,   A033,   A034,   A035,   A036,   A037,   A027,   A025,   xa23","1,   15,   16,   19,   17,   18,   13,   12,   2,   3,   14,   6,   10,   11"
Phoenicurus ochruros,Black Redstart,"0.11,   0.28,   0.16,   0.11,   0.11,   0.36,   0.23,   0.16,   0.1,   0.42,   0.23,   0.13,   0.14,   0.1","A021,   A022,   A023,   A026,   A029,   A032,   A033,   A034,   A035,   A037,   A027,   A024,   A025,   xa23","1,   15,   16,   19,   17,   18,   13,   12,   2,   14,   6,   7,   10,   11"
Anthus trivialis,Tree Pipit,"0.15,   0.23,   0.13,   0.18,   0.11,   0.22,   0.12,   0.12,   0.13,   0.14,   0.24,   0.11,   0.11,   0.54,   0.11","A021,   A022,   A023,   A026,   A029,   A032,   A033,   A034,   A035,   A036,   A037,   A027,   A024,   A030,   A025,   xa23","1,   15,   16,   19,   17,   18,   13,   12,   2,   3,   14,   6,   7,   8,   10,   11"
Dendrocoptes medius,Middle Spotted Woodpecker,"0.78,   0.24,   0.17,   0.21,   0.11,   0.12,   0.2,   0.12,   0.15,   0.1","A021,   A022,   A023,   A029,   A036,   A037,   A027,   A024,   A025,   xa23","1,   15,   16,   17,   3,   14,   6,   7,   10,   11"
Serinus serinus,European Serin,"0.16,   0.15,   0.13,   0.12,   0.12,   0.12,   0.26,   0.19,   0.12","A021,   A029,   A032,   A033,   A036,   A027,   A024,   A025,   xa23","1,   17,   18,   13,   3,   6,   7,   10,   11"
Certhia brachydactyla,Short-toed Treecreeper,"0.31,   0.17,   0.12,   0.17,   0.1,   0.12,   0.54,   0.13,   0.51,   0.12,   0.58,   0.66,   0.11,   0.15","A021,   A022,   A023,   A026,   A033,   A034,   A035,   A036,   A037,   A027,   A024,   A030,   A025,   xa23","1,   15,   16,   19,   13,   12,   2,   3,   14,   6,   7,   8,   10,   11"
Hirundo rustica,Barn Swallow,"0.64,   0.26,   0.14,   0.62,   0.29,   0.15,   0.18,   0.21,   0.55,   0.15,   0.22,   0.11,   0.93,   0.59,   0.54,   0.16","A021,   A022,   A023,   A026,   A029,   A032,   A033,   A034,   A035,   A036,   A037,   A027,   A024,   A030,   A025,   xa23","1,   15,   16,   19,   17,   18,   13,   12,   2,   3,   14,   6,   7,   8,   10,   11"
Numenius arquata,Eurasian Curlew,"0.13,   0.1,   0.29,   0.28,   0.18,   0.15,   0.11,   0.1,   0.15,   0.5,   0.1,   0.11,   0.83,   0.15,   0.12","A021,   A022,   A023,   A026,   A029,   A032,   A033,   A034,   A035,   A036,   A037,   A027,   A024,   A030,   A025,   xa23","1,   15,   16,   19,   17,   18,   13,   12,   2,   3,   14,   6,   7,   8,   10,   11"
Acrocephalus palustris,Marsh Warbler,"0.22,   0.19,   0.13,   0.12,   0.2,   0.11,   0.13,   0.23,   0.22,   0.1,   0.11,   0.15,   0.12,   0.11","A021,   A022,   A023,   A026,   A029,   A033,   A034,   A035,   A036,   A037,   A027,   A024,   A025,   xa23","1,   15,   16,   19,   17,   13,   12,   2,   3,   14,   6,   7,   10,   11"
Erithacus rubecula,European Robin,"0.1,   0.12,   0.14,   0.1,   0.24,   0.16,   0.11,   0.11,   0.1,   0.1,   0.3,   0.18,   0.12,   0.62,   0.13,   0.13","A021,   A022,   A023,   A026,   A029,   A032,   A033,   A034,   A035,   A036,   A037,   A027,   A024,   A030,   A025,   xa23","1,   15,   16,   19,   17,   18,   13,   12,   2,   3,   14,   6,   7,   8,   10,   11"
Buteo buteo,Common Buzzard,"0.27,   0.12,   0.13,   0.14,   0.75,   0.44,   0.1,   0.18,   0.12,   0.12,   0.43,   0.15,   0.16,   0.53,   0.45,   0.12","A021,   A022,   A023,   A026,   A029,   A032,   A033,   A034,   A035,   A036,   A037,   A027,   A024,   A030,   A025,   xa23","1,   15,   16,   19,   17,   18,   13,   12,   2,   3,   14,   6,   7,   8,   10,   11"
Oriolus oriolus,Eurasian Golden Oriole,"0.1,   0.11,   0.12,   0.28,   0.1,   0.13,   0.1,   0.2,   0.22,   0.17,   0.37,   0.14,   0.1,   0.69,   0.17,   0.1","A021,   A022,   A023,   A026,   A029,   A032,   A033,   A034,   A035,   A036,   A037,   A027,   A024,   A030,   A025,   xa23","1,   15,   16,   19,   17,   18,   13,   12,   2,   3,   14,   6,   7,   8,   10,   11"
Cyanistes caeruleus,Eurasian Blue Tit,"0.17,   0.26,   0.1,   0.22,   0.14,   0.3,   0.24,   0.13,   0.13,   0.19,   0.28,   0.37,   0.96,   0.19,   0.26","A021,   A022,   A023,   A026,   A029,   A032,   A033,   A034,   A036,   A037,   A027,   A024,   A030,   A025,   xa23","1,   15,   16,   19,   17,   18,   13,   12,   3,   14,   6,   7,   8,   10,   11"
Cuculus canorus,Common Cuckoo,"0.68,   0.15,   0.32,   0.18,   0.14,   0.24,   0.18,   0.1,   0.25,   0.11,   0.49,   0.11,   0.73,   0.15,   0.1","A021,   A022,   A026,   A029,   A032,   A033,   A034,   A035,   A036,   A037,   A027,   A024,   A030,   A025,   xa23","1,   15,   19,   17,   18,   13,   12,   2,   3,   14,   6,   7,   8,   10,   11"
Curruca curruca,Lesser Whitethroat,"0.15,   0.19,   0.22,   0.12,   0.11,   0.21,   0.12,   0.1,   0.4,   0.1,   0.21,   0.11,   0.14,   0.11,   0.18","A021,   A022,   A023,   A026,   A029,   A032,   A033,   A034,   A035,   A036,   A037,   A027,   A024,   A025,   xa23","1,   15,   16,   19,   17,   18,   13,   12,   2,   3,   14,   6,   7,   10,   11"
Acrocephalus arundinaceus,Great Reed Warbler,"0.15,   0.18,   0.11,   0.1,   0.13,   0.18,   0.13,   0.12,   0.1,   0.13,   0.12,   0.3","A021,   A022,   A023,   A029,   A032,   A033,   A034,   A035,   A036,   A037,   A024,   A025,   xa23","1,   15,   16,   17,   18,   13,   12,   2,   3,   14,   7,   10,   11"
Locustella naevia,Common Grasshopper-Warbler,"0.11,   0.19,   0.13,   0.12,   0.14,   0.26,   0.12,   0.26,   0.13,   0.11,   0.14,   0.19,   0.29,   0.11,   0.13","A021,   A022,   A023,   A026,   A029,   A032,   A033,   A034,   A035,   A036,   A037,   A027,   A024,   A025,   xa23","1,   15,   16,   19,   17,   18,   13,   12,   2,   3,   14,   6,   7,   10,   11"
Turdus philomelos,Song Thrush,"0.22,   0.16,   0.13,   0.11,   0.23,   0.15,   0.1,   0.25,   0.13,   0.14,   0.12,   0.19,   0.1,   0.66,   0.16,   0.11","A021,   A022,   A023,   A026,   A029,   A032,   A033,   A034,   A035,   A036,   A037,   A027,   A024,   A030,   A025,   xa23","1,   15,   16,   19,   17,   18,   13,   12,   2,   3,   14,   6,   7,   8,   10,   11"
Chloris chloris,European Greenfinch,"0.1,   0.14,   0.62,   0.14,   0.1,   0.15,   0.43,   0.26,   0.15,   0.1,   0.13,   0.21,   0.13,   0.83,   0.26,   0.39","A021,   A022,   A023,   A026,   A029,   A032,   A033,   A034,   A035,   A036,   A037,   A027,   A024,   A030,   A025,   xa23","1,   15,   16,   19,   17,   18,   13,   12,   2,   3,   14,   6,   7,   8,   10,   11"
Turdus viscivorus,Mistle Thrush,"0.18,   0.11,   0.11,   0.12,   0.27,   0.11,   0.16,   0.16,   0.15,   0.27,   0.13,   0.12,   0.14,   0.55,   0.12,   0.23","A021,   A022,   A023,   A026,   A029,   A032,   A033,   A034,   A035,   A036,   A037,   A027,   A024,   A030,   A025,   xa23","1,   15,   16,   19,   17,   18,   13,   12,   2,   3,   14,   6,   7,   8,   10,   11"
Dendrocopos major,Great Spotted Woodpecker,"0.36,   0.36,   0.17,   0.2,   0.11,   0.23,   0.22,   0.24,   0.13,   0.12,   0.11,   0.14,   0.75,   0.3,   0.12","A021,   A022,   A023,   A026,   A029,   A032,   A033,   A034,   A036,   A037,   A027,   A024,   A030,   A025,   xa23","1,   15,   16,   19,   17,   18,   13,   12,   3,   14,   6,   7,   8,   10,   11"
Sturnus vulgaris,European Starling,"0.12,   0.1,   0.17,   0.13,   0.19,   0.21,   0.18,   0.18,   0.13,   0.4,   0.12","A021,   A022,   A026,   A029,   A034,   A035,   A036,   A037,   A027,   A024,   A025","1,   15,   19,   17,   12,   2,   3,   14,   6,   7,   10"
Apus apus,Common Swift,"0.26,   0.28,   0.33,   0.94,   0.32,   0.17,   0.1,   0.1,   0.14,   0.93,   0.29,   0.36,   0.11,   0.1,   0.13","A021,   A022,   A023,   A026,   A029,   A032,   A033,   A034,   A035,   A036,   A037,   A027,   A024,   A025,   xa23","1,   15,   16,   19,   17,   18,   13,   12,   2,   3,   14,   6,   7,   10,   11"
Motacilla flava,Western Yellow Wagtail,"0.61,   0.11,   0.14,   0.77,   0.15,   0.16,   0.58,   0.66,   0.16,   0.12,   0.19,   0.12,   0.1,   0.15,   0.15","A021,   A022,   A023,   A026,   A029,   A032,   A033,   A034,   A035,   A036,   A037,   A027,   A024,   A025,   xa23","1,   15,   16,   19,   17,   18,   13,   12,   2,   3,   14,   6,   7,   10,   11"
Luscinia megarhynchos,Common Nightingale,"0.1,   0.11,   0.12,   0.12,   0.26,   0.1,   0.14,   0.11,   0.13,   0.31,   0.18,   0.15,   0.19,   0.8,   0.22,   0.1","A021,   A022,   A023,   A026,   A029,   A032,   A033,   A034,   A035,   A036,   A037,   A027,   A024,   A030,   A025,   xa23","1,   15,   16,   19,   17,   18,   13,   12,   2,   3,   14,   6,   7,   8,   10,   11"
Psittacula krameri,Rose-ringed Parakeet,"0.21,   0.33,   0.86,   0.52,   0.26,   0.35,   0.13,   0.42,   0.74,   0.89,   0.2,   0.19,   0.21","A021,   A022,   A023,   A026,   A029,   A032,   A035,   A036,   A037,   A027,   A024,   A025,   xa23","1,   15,   16,   19,   17,   18,   2,   3,   14,   6,   7,   10,   11"
Pyrrhula pyrrhula,Eurasian Bullfinch,"0.15,   0.1,   0.12,   0.12,   0.29,   0.26,   0.27,   0.18,   0.13,   0.26,   0.1,   0.11,   0.11,   0.12,   0.19","A021,   A022,   A023,   A026,   A029,   A032,   A033,   A034,   A035,   A036,   A037,   A027,   A024,   A025,   xa23","1,   15,   16,   19,   17,   18,   13,   12,   2,   3,   14,   6,   7,   10,   11"
Tringa ochropus,Green Sandpiper,"0.12,   0.15,   0.48,   0.11,   0.11,   0.17,   0.34,   0.19,   0.11,   0.24,   0.16,   0.1,   0.61,   0.28,   0.11","A021,   A022,   A023,   A029,   A032,   A033,   A034,   A035,   A036,   A037,   A027,   A024,   A030,   A025,   xa23","1,   15,   16,   17,   18,   13,   12,   2,   3,   14,   6,   7,   8,   10,   11"
Prunella modularis,Dunnock,"0.21,   0.11,   0.27,   0.25,   0.31,   0.13,   0.95,   0.15,   0.16,   0.6,   0.82,   0.1,   0.35,   0.77,   0.1,   0.16","A021,   A022,   A023,   A026,   A029,   A032,   A033,   A034,   A035,   A036,   A037,   A027,   A024,   A030,   A025,   xa23","1,   15,   16,   19,   17,   18,   13,   12,   2,   3,   14,   6,   7,   8,   10,   11"
Jynx torquilla,Eurasian Wryneck,"0.11,   0.22,   0.11,   0.1,   0.16,   0.6,   0.13,   0.13,   0.1,   0.14,   0.11,   0.1,   0.1","A021,   A022,   A023,   A026,   A032,   A033,   A034,   A035,   A036,   A027,   A024,   A025,   xa23","1,   15,   16,   19,   18,   13,   12,   2,   3,   6,   7,   10,   11"
Hippolais polyglotta,Melodious Warbler,"0.11,   0.18,   0.23,   0.1,   0.12,   0.13,   0.15,   0.1,   0.22,   0.52,   0.19,   0.15,   0.25","A021,   A022,   A023,   A026,   A029,   A032,   A035,   A036,   A037,   A027,   A024,   A025,   xa23","1,   15,   16,   19,   17,   18,   2,   3,   14,   6,   7,   10,   11"
Cettia cetti,Cetti's Warbler,"0.18,   0.2,   0.13,   0.17,   0.12,   0.12","A021,   A029,   A037,   A027,   A024,   xa23","1,   17,   14,   6,   7,   11"
Haematopus ostralegus,Eurasian Oystercatcher,"0.29,   0.2,   0.14,   0.16,   0.21,   0.24,   0.18,   0.13,   0.19,   0.15,   0.15,   0.13","A021,   A022,   A023,   A026,   A029,   A032,   A035,   A036,   A037,   A024,   A025,   xa23","1,   15,   16,   19,   17,   18,   2,   3,   14,   7,   10,   11"
Milvus milvus,Red Kite,"0.17,   0.11,   0.1,   0.13,   0.1,   0.14,   0.11,   0.1,   0.25,   0.13,   0.11,   0.12,   0.18,   0.13,   0.14","A021,   A022,   A023,   A026,   A029,   A032,   A033,   A034,   A035,   A036,   A037,   A027,   A024,   A025,   xa23","1,   15,   16,   19,   17,   18,   13,   12,   2,   3,   14,   6,   7,   10,   11"
Acrocephalus schoenobaenus,Sedge Warbler,"0.13,   0.1,   0.13,   0.1,   0.21,   0.14,   0.16,   0.1,   0.17,   0.12","A021,   A023,   A026,   A029,   A033,   A035,   A036,   A027,   A024,   xa23","1,   16,   19,   17,   13,   2,   3,   6,   7,   11"
Regulus ignicapilla,Common Firecrest,"0.15,   0.16,   0.14,   0.19,   0.42,   0.16,   0.25,   0.96,   0.18,   0.12","A021,   A033,   A034,   A035,   A037,   A027,   A024,   A030,   A025,   xa23","1,   13,   12,   2,   14,   6,   7,   8,   10,   11"
Sitta europaea,Eurasian Nuthatch,"0.18,   0.64,   0.15,   0.3,   0.3,   0.12,   0.12,   0.59,   0.15,   0.14","A021,   A023,   A029,   A032,   A036,   A027,   A024,   A030,   A025,   xa23","1,   16,   17,   18,   3,   6,   7,   8,   10,   11"
Acrocephalus scirpaceus,Eurasian Reed Warbler,"0.1,   0.1,   0.1,   0.11,   0.11,   0.13,   0.11,   0.13,   0.12,   0.14,   0.14,   0.18,   0.13,   0.12,   0.27","A021,   A022,   A023,   A026,   A029,   A032,   A033,   A034,   A035,   A036,   A037,   A027,   A024,   A025,   xa23","1,   15,   16,   19,   17,   18,   13,   12,   2,   3,   14,   6,   7,   10,   11"
Anas crecca,Green-winged Teal,"0.12,   0.1,   0.2,   0.13,   0.15,   0.18,   0.18,   0.32,   0.17,   0.1,   0.2,   0.29,   0.11,   0.52,   0.12,   0.12","A021,   A022,   A023,   A026,   A029,   A032,   A033,   A034,   A035,   A036,   A037,   A027,   A024,   A030,   A025,   xa23","1,   15,   16,   19,   17,   18,   13,   12,   2,   3,   14,   6,   7,   8,   10,   11"
Gallinago gallinago,Common Snipe,"0.11,   0.13,   0.1,   0.15,   0.1,   0.12,   0.17,   0.11,   0.12,   0.14,   0.81,   0.17","A021,   A022,   A026,   A029,   A032,   A033,   A034,   A035,   A036,   A037,   A024,   A025","1,   15,   19,   17,   18,   13,   12,   2,   3,   14,   7,   10"
Podiceps cristatus,Great Crested Grebe,"0.23,   0.17,   0.16,   0.17,   0.11,   0.14,   0.12","A021,   A022,   A026,   A029,   A032,   A035,   A036","1,   15,   19,   17,   18,   2,   3"
Locustella luscinioides,Savi's Warbler,"0.12,   0.1,   0.37,   0.17,   0.13,   0.15,   0.16,   0.11,   0.12,   0.12,   0.1,   0.12,   0.13,   0.23","A021,   A022,   A023,   A026,   A029,   A032,   A033,   A034,   A035,   A036,   A037,   A024,   A025,   xa23","1,   15,   16,   19,   17,   18,   13,   12,   2,   3,   14,   7,   10,   11"
Charadrius dubius,Little Ringed Plover,"0.11,   0.2,   0.12,   0.12,   0.15,   0.18,   0.1,   0.17,   0.1,   0.14,   0.11,   0.21,   0.23,   0.19,   0.22","A021,   A022,   A023,   A026,   A029,   A032,   A033,   A034,   A035,   A036,   A037,   A027,   A024,   A025,   xa23","1,   15,   16,   19,   17,   18,   13,   12,   2,   3,   14,   6,   7,   10,   11"
Periparus ater,Coal Tit,"0.15,   0.14,   0.11,   0.1,   0.18,   0.17,   0.18,   0.16,   0.16,   0.15,   0.3","A021,   A023,   A026,   A029,   A033,   A035,   A037,   A027,   A024,   A025,   xa23","1,   16,   19,   17,   13,   2,   14,   6,   7,   10,   11"
Luscinia svecica,Bluethroat,"0.31,   0.11,   0.1,   0.16,   0.16,   0.23,   0.13,   0.14,   0.1,   0.13,   0.11,   0.13,   0.13,   0.31","A021,   A022,   A023,   A026,   A029,   A032,   A033,   A034,   A035,   A036,   A037,   A027,   A024,   A025,   xa23","1,   15,   16,   19,   17,   18,   13,   12,   2,   3,   14,   6,   7,   10,   11"
Gallinula chloropus,Eurasian Moorhen,"0.2,   0.1,   0.13,   0.11,   0.11,   0.1,   0.13,   0.11,   0.12,   0.11,   0.23,   0.2,   0.1,   0.9,   0.11,   0.24","A021,   A022,   A023,   A026,   A029,   A032,   A033,   A034,   A035,   A036,   A037,   A027,   A024,   A030,   A025,   xa23","1,   15,   16,   19,   17,   18,   13,   12,   2,   3,   14,   6,   7,   8,   10,   11"
Tachybaptus ruficollis,Little Grebe,"0.43,   0.24,   0.1,   0.11,   0.37,   0.27,   0.11,   0.1,   0.12,   0.29,   0.12,   0.16","A021,   A022,   A023,   A029,   A032,   A033,   A034,   A035,   A036,   A037,   A025,   xa23","1,   15,   16,   17,   18,   13,   12,   2,   3,   14,   10,   11"
Anas platyrhynchos,Mallard,"0.12,   0.15,   0.14,   0.21,   0.14,   0.24,   0.11,   0.13,   0.12,   0.17,   0.15,   0.39,   0.17,   0.52,   0.16,   0.1","A021,   A022,   A023,   A026,   A029,   A032,   A033,   A034,   A035,   A036,   A037,   A027,   A024,   A030,   A025,   xa23","1,   15,   16,   19,   17,   18,   13,   12,   2,   3,   14,   6,   7,   8,   10,   11"
Chroicocephalus ridibundus,Black-headed Gull,"0.12,   0.11,   0.16,   0.18,   0.15,   0.11,   0.17,   0.14,   0.24,   0.12,   0.12,   0.16,   0.52,   0.13,   0.11","A021,   A022,   A023,   A026,   A029,   A032,   A033,   A034,   A035,   A036,   A037,   A024,   A030,   A025,   xa23","1,   15,   16,   19,   17,   18,   13,   12,   2,   3,   14,   7,   8,   10,   11"
