"Scientific.name","Common.name","Confidence","Audio_ID","Site_ID"
"Alauda arvensis","Eurasian Skylark",0.3613,"A032","18"
"Tringa nebularia","Common Greenshank",0.2332,"A032","18"
"Cygnus olor","Mute Swan",0.2052,"A032","18"
"Actitis hypoleucos","Common Sandpiper",0.107,"A032","18"
"Sylvia atricapilla","Eurasian Blackcap",0.1876,"A032","18"
"Phasianus colchicus","Ring-necked Pheasant",0.174,"A032","18"
"Prunella modularis","Dunnock",0.1264,"A032","18"
"Emberiza citrinella","Yellowhammer",0.1166,"A032","18"
"Serinus serinus","European Serin",0.1285,"A032","18"
"Lullula arborea","Wood Lark",0.1913,"A032","18"
"Saxicola rubicola","European Stonechat",0.1689,"A032","18"
"Turdus merula","Eurasian Blackbird",0.1141,"A032","18"
"Phylloscopus collybita","Common Chiffchaff",0.6533,"A032","18"
"Emberiza calandra","Corn Bunting",0.1466,"A032","18"
"Saxicola rubetra","Whinchat",0.1309,"A032","18"
"Picus viridis","Eurasian Green Woodpecker",0.2299,"A032","18"
"Pyrrhula pyrrhula","Eurasian Bullfinch",0.2553,"A032","18"
"Curruca communis","Greater Whitethroat",0.2278,"A032","18"
"Hirundo rustica","Barn Swallow",0.1471,"A032","18"
"Carduelis carduelis","European Goldfinch",0.3703,"A032","18"
"Mareca penelope","Eurasian Wigeon",0.6214,"A032","18"
"Anthus trivialis","Tree Pipit",0.2158,"A032","18"
"Curruca curruca","Lesser Whitethroat",0.2118,"A032","18"
"Numenius arquata","Eurasian Curlew",0.1528,"A032","18"
"Chloris chloris","European Greenfinch",0.1499,"A032","18"
"Emberiza schoeniclus","Reed Bunting",0.1429,"A032","18"
"Rallus aquaticus","Water Rail",0.1801,"A032","18"
"Corvus monedula","Eurasian Jackdaw",0.1235,"A032","18"
"Fulica atra","Eurasian Coot",0.117,"A032","18"
"Oriolus oriolus","Eurasian Golden Oriole",0.1315,"A032","18"
"Tringa totanus","Common Redshank",0.1134,"A032","18"
"Cyanistes caeruleus","Eurasian Blue Tit",0.2971,"A032","18"
"Turdus philomelos","Song Thrush",0.1458,"A032","18"
"Phylloscopus trochilus","Willow Warbler",0.1153,"A032","18"
"Milvus milvus","Red Kite",0.1438,"A032","18"
"Haematopus ostralegus","Eurasian Oystercatcher",0.2351,"A032","18"
"Charadrius dubius","Little Ringed Plover",0.1799,"A032","18"
"Numenius phaeopus","Whimbrel",0.1485,"A032","18"
"Buteo buteo","Common Buzzard",0.4401,"A032","18"
"Sitta europaea","Eurasian Nuthatch",0.2963,"A032","18"
"Tringa glareola","Wood Sandpiper",0.1042,"A032","18"
"Anas crecca","Green-winged Teal",0.1757,"A032","18"
"Motacilla cinerea","Gray Wagtail",0.2896,"A032","18"
"Vanellus vanellus","Northern Lapwing",0.1232,"A032","18"
"Anas platyrhynchos","Mallard",0.2431,"A032","18"
"Corvus corone","Carrion Crow",0.1727,"A032","18"
"Locustella naevia","Common Grasshopper-Warbler",0.258,"A032","18"
"Branta canadensis","Canada Goose",0.1386,"A032","18"
"Anthus spinoletta","Water Pipit",0.1094,"A032","18"
"Motacilla flava","Western Yellow Wagtail",0.1616,"A032","18"
"Parus major","Great Tit",0.1706,"A032","18"
"Hippolais polyglotta","Melodious Warbler",0.128,"A032","18"
"Apus apus","Common Swift",0.1675,"A032","18"
"Tachybaptus ruficollis","Little Grebe",0.3683,"A032","18"
"Columba oenas","Stock Dove",0.1176,"A032","18"
"Falco subbuteo","Eurasian Hobby",0.1358,"A032","18"
"Ardea cinerea","Gray Heron",0.2748,"A032","18"
"Spinus spinus","Eurasian Siskin",0.2402,"A032","18"
"Jynx torquilla","Eurasian Wryneck",0.1632,"A032","18"
"Motacilla alba","White Wagtail",0.2765,"A032","18"
"Phoenicurus ochruros","Black Redstart",0.3632,"A032","18"
"Dendrocopos major","Great Spotted Woodpecker",0.2283,"A032","18"
"Locustella luscinioides","Savi's Warbler",0.1481,"A032","18"
"Corvus frugilegus","Rook",0.1619,"A032","18"
"Delichon urbicum","Common House-Martin",0.1274,"A032","18"
"Riparia riparia","Bank Swallow",0.2907,"A032","18"
"Acrocephalus scirpaceus","Eurasian Reed Warbler",0.1252,"A032","18"
"Acrocephalus arundinaceus","Great Reed Warbler",0.1024,"A032","18"
"Cuculus canorus","Common Cuckoo",0.1365,"A032","18"
"Oenanthe oenanthe","Northern Wheatear",0.1091,"A032","18"
"Fringilla coelebs","Common Chaffinch",0.2434,"A032","18"
"Anthus pratensis","Meadow Pipit",0.1057,"A032","18"
"Recurvirostra avosetta","Pied Avocet",0.1696,"A032","18"
"Charadrius hiaticula","Common Ringed Plover",0.1252,"A032","18"
"Tringa ochropus","Green Sandpiper",0.1121,"A032","18"
"Luscinia svecica","Bluethroat",0.2255,"A032","18"
"Corvus corax","Common Raven",0.1507,"A032","18"
"Sterna hirundo","Common Tern",0.3345,"A032","18"
"Alopochen aegyptiaca","Egyptian Goose",0.7896,"A032","18"
"Bubulcus ibis","Cattle Egret",0.1777,"A032","18"
"Anser anser","Graylag Goose",0.1137,"A032","18"
"Chlidonias niger","Black Tern",0.1153,"A032","18"
"Gallinago gallinago","Common Snipe",0.1043,"A032","18"
"Lanius collurio","Red-backed Shrike",0.1105,"A032","18"
"Himantopus himantopus","Black-winged Stilt",0.3746,"A032","18"
"Larus argentatus","Herring Gull",0.2505,"A032","18"
"Sylvia borin","Garden Warbler",0.1544,"A032","18"
"Phalacrocorax carbo","Great Cormorant",0.1001,"A032","18"
"Turdus viscivorus","Mistle Thrush",0.1062,"A032","18"
"Milvus migrans","Black Kite",0.6058,"A032","18"
"Chroicocephalus ridibundus","Black-headed Gull",0.1121,"A032","18"
"Linaria cannabina","Eurasian Linnet",0.6872,"A032","18"
"Aythya ferina","Common Pochard",0.1761,"A032","18"
"Mareca strepera","Gadwall",0.1116,"A032","18"
"Psittacula krameri","Rose-ringed Parakeet",0.3492,"A032","18"
"Podiceps cristatus","Great Crested Grebe",0.1056,"A032","18"
"Luscinia megarhynchos","Common Nightingale",0.1021,"A032","18"
"Gallinula chloropus","Eurasian Moorhen",0.1005,"A032","18"
"Erithacus rubecula","European Robin",0.163,"A032","18"
"Pica pica","Eurasian Magpie",0.1623,"A032","18"
"Aegithalos caudatus","Long-tailed Tit",0.1892,"A032","18"
"Lophophanes cristatus","Crested Tit",0.2899,"A032","18"
"Passer domesticus","House Sparrow",0.1946,"A032","18"
"Mergus merganser","Common Merganser",0.1954,"A032","18"
"Circus aeruginosus","Eurasian Marsh-Harrier",0.2554,"A032","18"
"Streptopelia turtur","European Turtle-Dove",0.1244,"A032","18"
"Larus fuscus","Lesser Black-backed Gull",0.1658,"A032","18"
"Dryocopus martius","Black Woodpecker",0.2173,"A032","18"
"Coccothraustes coccothraustes","Hawfinch",0.9432,"A032","18"
"Larus michahellis","Yellow-legged Gull",0.1041,"A032","18"
"Grus grus","Common Crane",0.1513,"A032","18"
"Muscicapa striata","Spotted Flycatcher",0.1949,"A032","18"
