"Scientific.name","Common.name","Confidence","Audio_ID","Site_ID"
"Alauda arvensis","Eurasian Skylark",0.4338,"A037","14"
"Emberiza citrinella","Yellowhammer",0.1082,"A037","14"
"Lullula arborea","Wood Lark",0.1262,"A037","14"
"Parus major","Great Tit",0.7868,"A037","14"
"Corvus corone","Carrion Crow",0.2108,"A037","14"
"Tringa nebularia","Common Greenshank",0.1089,"A037","14"
"Turdus merula","Eurasian Blackbird",0.1439,"A037","14"
"Cyanistes caeruleus","Eurasian Blue Tit",0.1862,"A037","14"
"Curruca curruca","Lesser Whitethroat",0.2133,"A037","14"
"Numenius arquata","Eurasian Curlew",0.5017,"A037","14"
"Spinus spinus","Eurasian Siskin",0.1139,"A037","14"
"Corvus monedula","Eurasian Jackdaw",0.5238,"A037","14"
"Corvus frugilegus","Rook",0.1413,"A037","14"
"Emberiza schoeniclus","Reed Bunting",0.1494,"A037","14"
"Phylloscopus collybita","Common Chiffchaff",0.7485,"A037","14"
"Fulica atra","Eurasian Coot",0.1598,"A037","14"
"Pica pica","Eurasian Magpie",0.6029,"A037","14"
"Oriolus oriolus","Eurasian Golden Oriole",0.3657,"A037","14"
"Haematopus ostralegus","Eurasian Oystercatcher",0.1867,"A037","14"
"Charadrius dubius","Little Ringed Plover",0.1125,"A037","14"
"Anas crecca","Green-winged Teal",0.1969,"A037","14"
"Numenius phaeopus","Whimbrel",0.1416,"A037","14"
"Tringa totanus","Common Redshank",0.1174,"A037","14"
"Streptopelia decaocto","Eurasian Collared-Dove",0.2371,"A037","14"
"Columba palumbus","Common Wood-Pigeon",0.2784,"A037","14"
"Streptopelia turtur","European Turtle-Dove",0.3651,"A037","14"
"Luscinia svecica","Bluethroat",0.1255,"A037","14"
"Rallus aquaticus","Water Rail",0.1962,"A037","14"
"Charadrius hiaticula","Common Ringed Plover",0.2466,"A037","14"
"Buteo buteo","Common Buzzard",0.4281,"A037","14"
"Fringilla coelebs","Common Chaffinch",0.255,"A037","14"
"Chloris chloris","European Greenfinch",0.1312,"A037","14"
"Tringa glareola","Wood Sandpiper",0.4007,"A037","14"
"Apus apus","Common Swift",0.2914,"A037","14"
"Mareca penelope","Eurasian Wigeon",0.1412,"A037","14"
"Chroicocephalus ridibundus","Black-headed Gull",0.1194,"A037","14"
"Prunella modularis","Dunnock",0.8215,"A037","14"
"Picus viridis","Eurasian Green Woodpecker",0.927,"A037","14"
"Turdus viscivorus","Mistle Thrush",0.1307,"A037","14"
"Milvus milvus","Red Kite",0.1119,"A037","14"
"Saxicola rubicola","European Stonechat",0.2063,"A037","14"
"Sylvia atricapilla","Eurasian Blackcap",0.2247,"A037","14"
"Tringa ochropus","Green Sandpiper",0.2385,"A037","14"
"Mareca strepera","Gadwall",0.1528,"A037","14"
"Locustella naevia","Common Grasshopper-Warbler",0.1373,"A037","14"
"Gallinula chloropus","Eurasian Moorhen",0.2254,"A037","14"
"Hippolais polyglotta","Melodious Warbler",0.2198,"A037","14"
"Phylloscopus trochilus","Willow Warbler",0.1577,"A037","14"
"Acrocephalus palustris","Marsh Warbler",0.101,"A037","14"
"Falco tinnunculus","Eurasian Kestrel",0.1106,"A037","14"
