"Scientific.name","Common.name","Confidence","Audio_ID","Site_ID"
"Alauda arvensis","Eurasian Skylark",0.134,"A029","17"
"Sylvia atricapilla","Eurasian Blackcap",0.3971,"A029","17"
"Phylloscopus collybita","Common Chiffchaff",0.2526,"A029","17"
"Apus apus","Common Swift",0.3219,"A029","17"
"Cygnus olor","Mute Swan",0.1536,"A029","17"
"Turdus merula","Eurasian Blackbird",0.165,"A029","17"
"Emberiza schoeniclus","Reed Bunting",0.1968,"A029","17"
"Sylvia borin","Garden Warbler",0.3707,"A029","17"
"Luscinia megarhynchos","Common Nightingale",0.2599,"A029","17"
"Emberiza citrinella","Yellowhammer",0.1049,"A029","17"
"Anthus trivialis","Tree Pipit",0.1064,"A029","17"
"Chloris chloris","European Greenfinch",0.1034,"A029","17"
"Numenius phaeopus","Whimbrel",0.1872,"A029","17"
"Prunella modularis","Dunnock",0.3137,"A029","17"
"Buteo buteo","Common Buzzard",0.7475,"A029","17"
"Hippolais polyglotta","Melodious Warbler",0.1201,"A029","17"
"Curruca communis","Greater Whitethroat",0.2775,"A029","17"
"Actitis hypoleucos","Common Sandpiper",0.1899,"A029","17"
"Curruca curruca","Lesser Whitethroat",0.1074,"A029","17"
"Pyrrhula pyrrhula","Eurasian Bullfinch",0.2901,"A029","17"
"Lullula arborea","Wood Lark",0.1062,"A029","17"
"Tringa nebularia","Common Greenshank",0.1006,"A029","17"
"Numenius arquata","Eurasian Curlew",0.1768,"A029","17"
"Spinus spinus","Eurasian Siskin",0.1722,"A029","17"
"Streptopelia turtur","European Turtle-Dove",0.1815,"A029","17"
"Cettia cetti","Cetti's Warbler",0.1983,"A029","17"
"Acrocephalus arundinaceus","Great Reed Warbler",0.1024,"A029","17"
"Parus major","Great Tit",0.1017,"A029","17"
"Carduelis carduelis","European Goldfinch",0.1259,"A029","17"
"Picus viridis","Eurasian Green Woodpecker",0.2171,"A029","17"
"Fringilla coelebs","Common Chaffinch",0.2127,"A029","17"
"Turdus viscivorus","Mistle Thrush",0.2732,"A029","17"
"Phylloscopus trochilus","Willow Warbler",0.1073,"A029","17"
"Milvus milvus","Red Kite",0.1031,"A029","17"
"Saxicola rubicola","European Stonechat",0.1942,"A029","17"
"Rallus aquaticus","Water Rail",0.1263,"A029","17"
"Anas crecca","Green-winged Teal",0.1462,"A029","17"
"Acrocephalus scirpaceus","Eurasian Reed Warbler",0.1057,"A029","17"
"Fulica atra","Eurasian Coot",0.1285,"A029","17"
"Oriolus oriolus","Eurasian Golden Oriole",0.1016,"A029","17"
"Turdus philomelos","Song Thrush",0.2252,"A029","17"
"Locustella luscinioides","Savi's Warbler",0.129,"A029","17"
"Serinus serinus","European Serin",0.1501,"A029","17"
"Hirundo rustica","Barn Swallow",0.2904,"A029","17"
"Haematopus ostralegus","Eurasian Oystercatcher",0.2054,"A029","17"
"Charadrius dubius","Little Ringed Plover",0.154,"A029","17"
"Erithacus rubecula","European Robin",0.2377,"A029","17"
"Emberiza calandra","Corn Bunting",0.1103,"A029","17"
"Gallinula chloropus","Eurasian Moorhen",0.1118,"A029","17"
"Anas platyrhynchos","Mallard",0.1405,"A029","17"
