"Scientific.name","Common.name","Confidence","Audio_ID","Site_ID"
"Turdus merula","Eurasian Blackbird",0.3532,"A036","3"
"Delichon urbicum","Common House-Martin",0.2016,"A036","3"
"Buteo buteo","Common Buzzard",0.1179,"A036","3"
"Dendrocopos major","Great Spotted Woodpecker",0.126,"A036","3"
"Tringa nebularia","Common Greenshank",0.2171,"A036","3"
"Tringa totanus","Common Redshank",0.1001,"A036","3"
"Rallus aquaticus","Water Rail",0.1162,"A036","3"
"Alauda arvensis","Eurasian Skylark",0.5297,"A036","3"
"Lullula arborea","Wood Lark",0.1236,"A036","3"
"Streptopelia decaocto","Eurasian Collared-Dove",0.3161,"A036","3"
"Saxicola rubetra","Whinchat",0.2274,"A036","3"
"Curruca communis","Greater Whitethroat",0.1044,"A036","3"
"Phylloscopus collybita","Common Chiffchaff",0.193,"A036","3"
"Hippolais polyglotta","Melodious Warbler",0.1036,"A036","3"
"Picus viridis","Eurasian Green Woodpecker",0.8129,"A036","3"
"Carduelis carduelis","European Goldfinch",0.8587,"A036","3"
"Parus major","Great Tit",0.6176,"A036","3"
"Emberiza schoeniclus","Reed Bunting",0.1166,"A036","3"
"Sylvia atricapilla","Eurasian Blackcap",0.148,"A036","3"
"Corvus corone","Carrion Crow",0.1055,"A036","3"
"Emberiza citrinella","Yellowhammer",0.1391,"A036","3"
"Phylloscopus trochilus","Willow Warbler",0.1159,"A036","3"
"Jynx torquilla","Eurasian Wryneck",0.1008,"A036","3"
"Prunella modularis","Dunnock",0.6014,"A036","3"
"Troglodytes troglodytes","Eurasian Wren",0.3229,"A036","3"
"Certhia brachydactyla","Short-toed Treecreeper",0.1259,"A036","3"
"Motacilla flava","Western Yellow Wagtail",0.1177,"A036","3"
"Locustella naevia","Common Grasshopper-Warbler",0.1073,"A036","3"
"Acrocephalus scirpaceus","Eurasian Reed Warbler",0.1418,"A036","3"
"Serinus serinus","European Serin",0.1208,"A036","3"
"Acrocephalus palustris","Marsh Warbler",0.2236,"A036","3"
"Milvus milvus","Red Kite",0.1328,"A036","3"
"Numenius arquata","Eurasian Curlew",0.148,"A036","3"
"Chloris chloris","European Greenfinch",0.1029,"A036","3"
"Acrocephalus arundinaceus","Great Reed Warbler",0.1245,"A036","3"
"Hirundo rustica","Barn Swallow",0.1545,"A036","3"
"Corvus frugilegus","Rook",0.1701,"A036","3"
"Phoenicurus phoenicurus","Common Redstart",0.248,"A036","3"
"Anthus trivialis","Tree Pipit",0.1391,"A036","3"
"Charadrius dubius","Little Ringed Plover",0.1422,"A036","3"
"Sitta europaea","Eurasian Nuthatch",0.3003,"A036","3"
"Erithacus rubecula","European Robin",0.1028,"A036","3"
"Turdus philomelos","Song Thrush",0.1373,"A036","3"
"Anas platyrhynchos","Mallard",0.1673,"A036","3"
"Mareca strepera","Gadwall",0.1306,"A036","3"
"Pyrrhula pyrrhula","Eurasian Bullfinch",0.2574,"A036","3"
"Haematopus ostralegus","Eurasian Oystercatcher",0.1284,"A036","3"
"Actitis hypoleucos","Common Sandpiper",0.4331,"A036","3"
"Phasianus colchicus","Ring-necked Pheasant",0.323,"A036","3"
"Psittacula krameri","Rose-ringed Parakeet",0.4184,"A036","3"
"Corvus monedula","Eurasian Jackdaw",0.4907,"A036","3"
"Apus apus","Common Swift",0.9296,"A036","3"
"Spinus spinus","Eurasian Siskin",0.1092,"A036","3"
"Locustella luscinioides","Savi's Warbler",0.1152,"A036","3"
"Tringa glareola","Wood Sandpiper",0.3966,"A036","3"
"Acrocephalus schoenobaenus","Sedge Warbler",0.1572,"A036","3"
"Luscinia svecica","Bluethroat",0.1019,"A036","3"
"Grus grus","Common Crane",0.1025,"A036","3"
"Tringa ochropus","Green Sandpiper",0.1102,"A036","3"
"Falco tinnunculus","Eurasian Kestrel",0.2547,"A036","3"
"Thalasseus sandvicensis","Sandwich Tern",0.1297,"A036","3"
"Oriolus oriolus","Eurasian Golden Oriole",0.1677,"A036","3"
"Anas crecca","Green-winged Teal",0.1023,"A036","3"
"Branta canadensis","Canada Goose",0.178,"A036","3"
"Dendrocoptes medius","Middle Spotted Woodpecker",0.1094,"A036","3"
"Fulica atra","Eurasian Coot",0.1548,"A036","3"
"Emberiza calandra","Corn Bunting",0.1267,"A036","3"
"Gallinula chloropus","Eurasian Moorhen",0.1074,"A036","3"
"Chroicocephalus ridibundus","Black-headed Gull",0.1212,"A036","3"
