"Scientific.name","Common.name","Confidence","Audio_ID","Site_ID"
"Corvus frugilegus","Rook",0.3332,"A034","12"
"Prunella modularis","Dunnock",0.1525,"A034","12"
"Hirundo rustica","Barn Swallow",0.2109,"A034","12"
"Lullula arborea","Wood Lark",0.2448,"A034","12"
"Sylvia atricapilla","Eurasian Blackcap",0.1712,"A034","12"
"Corvus monedula","Eurasian Jackdaw",0.8706,"A034","12"
"Cygnus olor","Mute Swan",0.7019,"A034","12"
"Botaurus stellaris","Great Bittern",0.2204,"A034","12"
"Motacilla alba","White Wagtail",0.2718,"A034","12"
"Buteo buteo","Common Buzzard",0.1823,"A034","12"
"Pica pica","Eurasian Magpie",0.1119,"A034","12"
"Motacilla flava","Western Yellow Wagtail",0.658,"A034","12"
"Parus major","Great Tit",0.1554,"A034","12"
"Emberiza citrinella","Yellowhammer",0.11,"A034","12"
"Rallus aquaticus","Water Rail",0.176,"A034","12"
"Turdus merula","Eurasian Blackbird",0.1342,"A034","12"
"Curruca communis","Greater Whitethroat",0.1123,"A034","12"
"Streptopelia decaocto","Eurasian Collared-Dove",0.3333,"A034","12"
"Columba palumbus","Common Wood-Pigeon",0.2394,"A034","12"
"Carduelis carduelis","European Goldfinch",0.5636,"A034","12"
"Ardea cinerea","Gray Heron",0.1125,"A034","12"
"Branta canadensis","Canada Goose",0.1803,"A034","12"
"Charadrius hiaticula","Common Ringed Plover",0.2278,"A034","12"
"Oenanthe oenanthe","Northern Wheatear",0.1043,"A034","12"
"Phylloscopus collybita","Common Chiffchaff",0.1095,"A034","12"
"Cyanistes caeruleus","Eurasian Blue Tit",0.1349,"A034","12"
"Fringilla coelebs","Common Chaffinch",0.1242,"A034","12"
"Phoenicurus phoenicurus","Common Redstart",0.1759,"A034","12"
"Alauda arvensis","Eurasian Skylark",0.1946,"A034","12"
"Charadrius dubius","Little Ringed Plover",0.1686,"A034","12"
"Cuculus canorus","Common Cuckoo",0.1799,"A034","12"
"Chroicocephalus ridibundus","Black-headed Gull",0.1399,"A034","12"
"Milvus milvus","Red Kite",0.101,"A034","12"
"Corvus cornix","Hooded Crow",0.2596,"A034","12"
"Corvus corone","Carrion Crow",0.1073,"A034","12"
"Picus viridis","Eurasian Green Woodpecker",0.5704,"A034","12"
"Tringa totanus","Common Redshank",0.2472,"A034","12"
"Anas platyrhynchos","Mallard",0.1251,"A034","12"
"Tringa ochropus","Green Sandpiper",0.3378,"A034","12"
"Turdus viscivorus","Mistle Thrush",0.1644,"A034","12"
"Pyrrhula pyrrhula","Eurasian Bullfinch",0.1802,"A034","12"
"Chloris chloris","European Greenfinch",0.2619,"A034","12"
"Phylloscopus trochilus","Willow Warbler",0.1077,"A034","12"
"Sterna hirundo","Common Tern",0.2472,"A034","12"
"Mareca penelope","Eurasian Wigeon",0.1473,"A034","12"
"Locustella naevia","Common Grasshopper-Warbler",0.2629,"A034","12"
"Fulica atra","Eurasian Coot",0.1524,"A034","12"
"Numenius arquata","Eurasian Curlew",0.1339,"A034","12"
"Erithacus rubecula","European Robin",0.1056,"A034","12"
"Anas crecca","Green-winged Teal",0.3159,"A034","12"
"Jynx torquilla","Eurasian Wryneck",0.1315,"A034","12"
"Turdus philomelos","Song Thrush",0.2542,"A034","12"
"Sylvia borin","Garden Warbler",0.2563,"A034","12"
"Emberiza schoeniclus","Reed Bunting",0.1337,"A034","12"
"Anthus trivialis","Tree Pipit",0.1219,"A034","12"
"Spinus spinus","Eurasian Siskin",0.1619,"A034","12"
"Certhia brachydactyla","Short-toed Treecreeper",0.1247,"A034","12"
"Vanellus vanellus","Northern Lapwing",0.218,"A034","12"
"Acrocephalus arundinaceus","Great Reed Warbler",0.1761,"A034","12"
"Gallinago gallinago","Common Snipe",0.1666,"A034","12"
"Columba oenas","Stock Dove",0.1054,"A034","12"
"Coccothraustes coccothraustes","Hawfinch",0.341,"A034","12"
"Motacilla cinerea","Gray Wagtail",0.1,"A034","12"
"Saxicola rubetra","Whinchat",0.1575,"A034","12"
"Linaria cannabina","Eurasian Linnet",0.1123,"A034","12"
"Curruca curruca","Lesser Whitethroat",0.1003,"A034","12"
"Passer domesticus","House Sparrow",0.109,"A034","12"
"Phoenicurus ochruros","Black Redstart",0.1617,"A034","12"
"Oriolus oriolus","Eurasian Golden Oriole",0.2024,"A034","12"
"Pandion haliaetus","Osprey",0.2829,"A034","12"
"Saxicola rubicola","European Stonechat",0.1055,"A034","12"
"Calidris alpina","Dunlin",0.4412,"A034","12"
"Recurvirostra avosetta","Pied Avocet",0.1463,"A034","12"
"Tringa nebularia","Common Greenshank",0.1303,"A034","12"
"Falco tinnunculus","Eurasian Kestrel",0.2491,"A034","12"
"Dendrocopos major","Great Spotted Woodpecker",0.2378,"A034","12"
"Mareca strepera","Gadwall",0.1178,"A034","12"
"Gallinula chloropus","Eurasian Moorhen",0.106,"A034","12"
"Anser anser","Graylag Goose",0.1043,"A034","12"
"Luscinia svecica","Bluethroat",0.1423,"A034","12"
"Acrocephalus palustris","Marsh Warbler",0.1267,"A034","12"
"Grus grus","Common Crane",0.2565,"A034","12"
"Emberiza calandra","Corn Bunting",0.117,"A034","12"
"Aythya ferina","Common Pochard",0.1246,"A034","12"
"Delichon urbicum","Common House-Martin",0.1231,"A034","12"
"Alopochen aegyptiaca","Egyptian Goose",0.2549,"A034","12"
"Apus apus","Common Swift",0.1049,"A034","12"
"Actitis hypoleucos","Common Sandpiper",0.3713,"A034","12"
"Tringa glareola","Wood Sandpiper",0.2055,"A034","12"
"Riparia riparia","Bank Swallow",0.1059,"A034","12"
"Acrocephalus scirpaceus","Eurasian Reed Warbler",0.1295,"A034","12"
"Falco subbuteo","Eurasian Hobby",0.1069,"A034","12"
"Phasianus colchicus","Ring-necked Pheasant",0.1551,"A034","12"
"Phalacrocorax carbo","Great Cormorant",0.1828,"A034","12"
"Locustella luscinioides","Savi's Warbler",0.1069,"A034","12"
"Milvus migrans","Black Kite",0.2623,"A034","12"
"Sturnus vulgaris","European Starling",0.1908,"A034","12"
"Luscinia megarhynchos","Common Nightingale",0.1087,"A034","12"
"Regulus ignicapilla","Common Firecrest",0.1391,"A034","12"
"Dryocopus martius","Black Woodpecker",0.2568,"A034","12"
"Alcedo atthis","Common Kingfisher",0.1004,"A034","12"
"Loxia curvirostra","Red Crossbill",0.2615,"A034","12"
"Tachybaptus ruficollis","Little Grebe",0.1146,"A034","12"
"Mergus merganser","Common Merganser",0.3382,"A034","12"
"Anthus pratensis","Meadow Pipit",0.1198,"A034","12"
"Certhia familiaris","Eurasian Treecreeper",0.2264,"A034","12"
"Troglodytes troglodytes","Eurasian Wren",0.5439,"A034","12"
"Garrulus glandarius","Eurasian Jay",0.2981,"A034","12"
"Corvus corax","Common Raven",0.3249,"A034","12"
"Larus michahellis","Yellow-legged Gull",0.1883,"A034","12"
"Larus canus","Common Gull",0.1129,"A034","12"
