Start (s),End (s),Scientific name,Common name,Confidence,File
0.0,3.0,Alauda arvensis,Eurasian Skylark,0.8176,C:/Users/alfel/OneDrive/FELIX/Studium/Master/Soundscape Ecology/Report/Data processing/BirdNet analyzer/A032\20250426_120000.WAV
3.0,6.0,Alauda arvensis,Eurasian Skylark,0.7258,C:/Users/alfel/OneDrive/FELIX/Studium/Master/Soundscape Ecology/Report/Data processing/BirdNet analyzer/A032\20250426_120000.WAV
6.0,9.0,Alauda arvensis,Eurasian Skylark,0.8854,C:/Users/alfel/OneDrive/FELIX/Studium/Master/Soundscape Ecology/Report/Data processing/BirdNet analyzer/A032\20250426_120000.WAV
9.0,12.0,Alauda arvensis,Eurasian Skylark,0.1560,C:/Users/alfel/OneDrive/FELIX/Studium/Master/Soundscape Ecology/Report/Data processing/BirdNet analyzer/A032\20250426_120000.WAV
24.0,27.0,Alauda arvensis,Eurasian Skylark,0.1145,C:/Users/alfel/OneDrive/FELIX/Studium/Master/Soundscape Ecology/Report/Data processing/BirdNet analyzer/A032\20250426_120000.WAV
30.0,33.0,Alauda arvensis,Eurasian Skylark,0.8380,C:/Users/alfel/OneDrive/FELIX/Studium/Master/Soundscape Ecology/Report/Data processing/BirdNet analyzer/A032\20250426_120000.WAV
33.0,36.0,Alauda arvensis,Eurasian Skylark,0.3103,C:/Users/alfel/OneDrive/FELIX/Studium/Master/Soundscape Ecology/Report/Data processing/BirdNet analyzer/A032\20250426_120000.WAV
36.0,39.0,Alauda arvensis,Eurasian Skylark,0.5491,C:/Users/alfel/OneDrive/FELIX/Studium/Master/Soundscape Ecology/Report/Data processing/BirdNet analyzer/A032\20250426_120000.WAV
39.0,42.0,Alauda arvensis,Eurasian Skylark,0.9493,C:/Users/alfel/OneDrive/FELIX/Studium/Master/Soundscape Ecology/Report/Data processing/BirdNet analyzer/A032\20250426_120000.WAV
45.0,48.0,Alauda arvensis,Eurasian Skylark,0.6779,C:/Users/alfel/OneDrive/FELIX/Studium/Master/Soundscape Ecology/Report/Data processing/BirdNet analyzer/A032\20250426_120000.WAV
48.0,51.0,Alauda arvensis,Eurasian Skylark,0.4103,C:/Users/alfel/OneDrive/FELIX/Studium/Master/Soundscape Ecology/Report/Data processing/BirdNet analyzer/A032\20250426_120000.WAV
54.0,57.0,Alauda arvensis,Eurasian Skylark,0.9112,C:/Users/alfel/OneDrive/FELIX/Studium/Master/Soundscape Ecology/Report/Data processing/BirdNet analyzer/A032\20250426_120000.WAV
57.0,60.0,Alauda arvensis,Eurasian Skylark,0.7346,C:/Users/alfel/OneDrive/FELIX/Studium/Master/Soundscape Ecology/Report/Data processing/BirdNet analyzer/A032\20250426_120000.WAV
60.0,63.0,Alauda arvensis,Eurasian Skylark,0.1214,C:/Users/alfel/OneDrive/FELIX/Studium/Master/Soundscape Ecology/Report/Data processing/BirdNet analyzer/A032\20250426_120000.WAV
63.0,66.0,Alauda arvensis,Eurasian Skylark,0.4697,C:/Users/alfel/OneDrive/FELIX/Studium/Master/Soundscape Ecology/Report/Data processing/BirdNet analyzer/A032\20250426_120000.WAV
66.0,69.0,Alauda arvensis,Eurasian Skylark,0.2817,C:/Users/alfel/OneDrive/FELIX/Studium/Master/Soundscape Ecology/Report/Data processing/BirdNet analyzer/A032\20250426_120000.WAV
69.0,72.0,Alauda arvensis,Eurasian Skylark,0.1295,C:/Users/alfel/OneDrive/FELIX/Studium/Master/Soundscape Ecology/Report/Data processing/BirdNet analyzer/A032\20250426_120000.WAV
69.0,72.0,Anthus pratensis,Meadow Pipit,0.1057,C:/Users/alfel/OneDrive/FELIX/Studium/Master/Soundscape Ecology/Report/Data processing/BirdNet analyzer/A032\20250426_120000.WAV
72.0,75.0,Anthus trivialis,Tree Pipit,0.2747,C:/Users/alfel/OneDrive/FELIX/Studium/Master/Soundscape Ecology/Report/Data processing/BirdNet analyzer/A032\20250426_120000.WAV
75.0,78.0,Anthus trivialis,Tree Pipit,0.1967,C:/Users/alfel/OneDrive/FELIX/Studium/Master/Soundscape Ecology/Report/Data processing/BirdNet analyzer/A032\20250426_120000.WAV
78.0,81.0,Alauda arvensis,Eurasian Skylark,0.8446,C:/Users/alfel/OneDrive/FELIX/Studium/Master/Soundscape Ecology/Report/Data processing/BirdNet analyzer/A032\20250426_120000.WAV
81.0,84.0,Numenius arquata,Eurasian Curlew,0.1407,C:/Users/alfel/OneDrive/FELIX/Studium/Master/Soundscape Ecology/Report/Data processing/BirdNet analyzer/A032\20250426_120000.WAV
81.0,84.0,Alauda arvensis,Eurasian Skylark,0.1190,C:/Users/alfel/OneDrive/FELIX/Studium/Master/Soundscape Ecology/Report/Data processing/BirdNet analyzer/A032\20250426_120000.WAV
90.0,93.0,Alauda arvensis,Eurasian Skylark,0.1845,C:/Users/alfel/OneDrive/FELIX/Studium/Master/Soundscape Ecology/Report/Data processing/BirdNet analyzer/A032\20250426_120000.WAV
93.0,96.0,Alauda arvensis,Eurasian Skylark,0.1857,C:/Users/alfel/OneDrive/FELIX/Studium/Master/Soundscape Ecology/Report/Data processing/BirdNet analyzer/A032\20250426_120000.WAV
99.0,102.0,Alauda arvensis,Eurasian Skylark,0.1266,C:/Users/alfel/OneDrive/FELIX/Studium/Master/Soundscape Ecology/Report/Data processing/BirdNet analyzer/A032\20250426_120000.WAV
102.0,105.0,Alauda arvensis,Eurasian Skylark,0.1835,C:/Users/alfel/OneDrive/FELIX/Studium/Master/Soundscape Ecology/Report/Data processing/BirdNet analyzer/A032\20250426_120000.WAV
105.0,108.0,Alauda arvensis,Eurasian Skylark,0.1239,C:/Users/alfel/OneDrive/FELIX/Studium/Master/Soundscape Ecology/Report/Data processing/BirdNet analyzer/A032\20250426_120000.WAV
111.0,114.0,Alauda arvensis,Eurasian Skylark,0.2532,C:/Users/alfel/OneDrive/FELIX/Studium/Master/Soundscape Ecology/Report/Data processing/BirdNet analyzer/A032\20250426_120000.WAV
114.0,117.0,Alauda arvensis,Eurasian Skylark,0.4404,C:/Users/alfel/OneDrive/FELIX/Studium/Master/Soundscape Ecology/Report/Data processing/BirdNet analyzer/A032\20250426_120000.WAV
117.0,120.0,Alauda arvensis,Eurasian Skylark,0.5761,C:/Users/alfel/OneDrive/FELIX/Studium/Master/Soundscape Ecology/Report/Data processing/BirdNet analyzer/A032\20250426_120000.WAV
120.0,123.0,Alauda arvensis,Eurasian Skylark,0.3865,C:/Users/alfel/OneDrive/FELIX/Studium/Master/Soundscape Ecology/Report/Data processing/BirdNet analyzer/A032\20250426_120000.WAV
120.0,123.0,Numenius arquata,Eurasian Curlew,0.1858,C:/Users/alfel/OneDrive/FELIX/Studium/Master/Soundscape Ecology/Report/Data processing/BirdNet analyzer/A032\20250426_120000.WAV
123.0,126.0,Alauda arvensis,Eurasian Skylark,0.5589,C:/Users/alfel/OneDrive/FELIX/Studium/Master/Soundscape Ecology/Report/Data processing/BirdNet analyzer/A032\20250426_120000.WAV
129.0,132.0,Alauda arvensis,Eurasian Skylark,0.1660,C:/Users/alfel/OneDrive/FELIX/Studium/Master/Soundscape Ecology/Report/Data processing/BirdNet analyzer/A032\20250426_120000.WAV
138.0,141.0,Alauda arvensis,Eurasian Skylark,0.2350,C:/Users/alfel/OneDrive/FELIX/Studium/Master/Soundscape Ecology/Report/Data processing/BirdNet analyzer/A032\20250426_120000.WAV
144.0,147.0,Alauda arvensis,Eurasian Skylark,0.1745,C:/Users/alfel/OneDrive/FELIX/Studium/Master/Soundscape Ecology/Report/Data processing/BirdNet analyzer/A032\20250426_120000.WAV
174.0,177.0,Alauda arvensis,Eurasian Skylark,0.1199,C:/Users/alfel/OneDrive/FELIX/Studium/Master/Soundscape Ecology/Report/Data processing/BirdNet analyzer/A032\20250426_120000.WAV
189.0,192.0,Alauda arvensis,Eurasian Skylark,0.1226,C:/Users/alfel/OneDrive/FELIX/Studium/Master/Soundscape Ecology/Report/Data processing/BirdNet analyzer/A032\20250426_120000.WAV
