Start (s),End (s),Scientific name,Common name,Confidence,File
3.0,6.0,Fulica atra,Eurasian Coot,0.1491,C:/Users/Maike/Dropbox/Uni Bonn/4. Semester/soundscape ecology/bericht/audiomoth data birdnet analysis 10 min 1 h/A037\20250430_000000.WAV
3.0,6.0,Emberiza schoeniclus,Reed Bunting,0.1120,C:/Users/Maike/Dropbox/Uni Bonn/4. Semester/soundscape ecology/bericht/audiomoth data birdnet analysis 10 min 1 h/A037\20250430_000000.WAV
12.0,15.0,Fulica atra,Eurasian Coot,0.1287,C:/Users/Maike/Dropbox/Uni Bonn/4. Semester/soundscape ecology/bericht/audiomoth data birdnet analysis 10 min 1 h/A037\20250430_000000.WAV
12.0,15.0,Rallus aquaticus,Water Rail,0.1160,C:/Users/Maike/Dropbox/Uni Bonn/4. Semester/soundscape ecology/bericht/audiomoth data birdnet analysis 10 min 1 h/A037\20250430_000000.WAV
15.0,18.0,Fulica atra,Eurasian Coot,0.1141,C:/Users/Maike/Dropbox/Uni Bonn/4. Semester/soundscape ecology/bericht/audiomoth data birdnet analysis 10 min 1 h/A037\20250430_000000.WAV
21.0,24.0,Gallinula chloropus,Eurasian Moorhen,0.1503,C:/Users/Maike/Dropbox/Uni Bonn/4. Semester/soundscape ecology/bericht/audiomoth data birdnet analysis 10 min 1 h/A037\20250430_000000.WAV
30.0,33.0,Gallinula chloropus,Eurasian Moorhen,0.1318,C:/Users/Maike/Dropbox/Uni Bonn/4. Semester/soundscape ecology/bericht/audiomoth data birdnet analysis 10 min 1 h/A037\20250430_000000.WAV
30.0,33.0,Fulica atra,Eurasian Coot,0.1161,C:/Users/Maike/Dropbox/Uni Bonn/4. Semester/soundscape ecology/bericht/audiomoth data birdnet analysis 10 min 1 h/A037\20250430_000000.WAV
30.0,33.0,Chroicocephalus ridibundus,Black-headed Gull,0.1018,C:/Users/Maike/Dropbox/Uni Bonn/4. Semester/soundscape ecology/bericht/audiomoth data birdnet analysis 10 min 1 h/A037\20250430_000000.WAV
36.0,39.0,Fulica atra,Eurasian Coot,0.1034,C:/Users/Maike/Dropbox/Uni Bonn/4. Semester/soundscape ecology/bericht/audiomoth data birdnet analysis 10 min 1 h/A037\20250430_000000.WAV
39.0,42.0,Gallinula chloropus,Eurasian Moorhen,0.1255,C:/Users/Maike/Dropbox/Uni Bonn/4. Semester/soundscape ecology/bericht/audiomoth data birdnet analysis 10 min 1 h/A037\20250430_000000.WAV
39.0,42.0,Fulica atra,Eurasian Coot,0.1040,C:/Users/Maike/Dropbox/Uni Bonn/4. Semester/soundscape ecology/bericht/audiomoth data birdnet analysis 10 min 1 h/A037\20250430_000000.WAV
42.0,45.0,Fulica atra,Eurasian Coot,0.1467,C:/Users/Maike/Dropbox/Uni Bonn/4. Semester/soundscape ecology/bericht/audiomoth data birdnet analysis 10 min 1 h/A037\20250430_000000.WAV
48.0,51.0,Fulica atra,Eurasian Coot,0.1366,C:/Users/Maike/Dropbox/Uni Bonn/4. Semester/soundscape ecology/bericht/audiomoth data birdnet analysis 10 min 1 h/A037\20250430_000000.WAV
51.0,54.0,Fulica atra,Eurasian Coot,0.1615,C:/Users/Maike/Dropbox/Uni Bonn/4. Semester/soundscape ecology/bericht/audiomoth data birdnet analysis 10 min 1 h/A037\20250430_000000.WAV
60.0,63.0,Anas platyrhynchos,Mallard,0.1634,C:/Users/Maike/Dropbox/Uni Bonn/4. Semester/soundscape ecology/bericht/audiomoth data birdnet analysis 10 min 1 h/A037\20250430_000000.WAV
69.0,72.0,Corvus frugilegus,Rook,0.1047,C:/Users/Maike/Dropbox/Uni Bonn/4. Semester/soundscape ecology/bericht/audiomoth data birdnet analysis 10 min 1 h/A037\20250430_000000.WAV
78.0,81.0,Fulica atra,Eurasian Coot,0.1327,C:/Users/Maike/Dropbox/Uni Bonn/4. Semester/soundscape ecology/bericht/audiomoth data birdnet analysis 10 min 1 h/A037\20250430_000000.WAV
