Start (s),End (s),Scientific name,Common name,Confidence,File
0.0,3.0,Lullula arborea,Wood Lark,0.1818,C:/Users/alfel/OneDrive/FELIX/Studium/Master/Soundscape Ecology/Report/Data processing/BirdNet analyzer/A022\20250429_110000.WAV
0.0,3.0,Parus major,Great Tit,0.1083,C:/Users/alfel/OneDrive/FELIX/Studium/Master/Soundscape Ecology/Report/Data processing/BirdNet analyzer/A022\20250429_110000.WAV
3.0,6.0,Lullula arborea,Wood Lark,0.2288,C:/Users/alfel/OneDrive/FELIX/Studium/Master/Soundscape Ecology/Report/Data processing/BirdNet analyzer/A022\20250429_110000.WAV
6.0,9.0,Parus major,Great Tit,0.2907,C:/Users/alfel/OneDrive/FELIX/Studium/Master/Soundscape Ecology/Report/Data processing/BirdNet analyzer/A022\20250429_110000.WAV
12.0,15.0,Phylloscopus collybita,Common Chiffchaff,0.3954,C:/Users/alfel/OneDrive/FELIX/Studium/Master/Soundscape Ecology/Report/Data processing/BirdNet analyzer/A022\20250429_110000.WAV
21.0,24.0,Hirundo rustica,Barn Swallow,0.7797,C:/Users/alfel/OneDrive/FELIX/Studium/Master/Soundscape Ecology/Report/Data processing/BirdNet analyzer/A022\20250429_110000.WAV
24.0,27.0,Hirundo rustica,Barn Swallow,0.9629,C:/Users/alfel/OneDrive/FELIX/Studium/Master/Soundscape Ecology/Report/Data processing/BirdNet analyzer/A022\20250429_110000.WAV
27.0,30.0,Phylloscopus collybita,Common Chiffchaff,0.1971,C:/Users/alfel/OneDrive/FELIX/Studium/Master/Soundscape Ecology/Report/Data processing/BirdNet analyzer/A022\20250429_110000.WAV
30.0,33.0,Phylloscopus collybita,Common Chiffchaff,0.5703,C:/Users/alfel/OneDrive/FELIX/Studium/Master/Soundscape Ecology/Report/Data processing/BirdNet analyzer/A022\20250429_110000.WAV
33.0,36.0,Parus major,Great Tit,0.7959,C:/Users/alfel/OneDrive/FELIX/Studium/Master/Soundscape Ecology/Report/Data processing/BirdNet analyzer/A022\20250429_110000.WAV
39.0,42.0,Phylloscopus collybita,Common Chiffchaff,0.7944,C:/Users/alfel/OneDrive/FELIX/Studium/Master/Soundscape Ecology/Report/Data processing/BirdNet analyzer/A022\20250429_110000.WAV
42.0,45.0,Phylloscopus collybita,Common Chiffchaff,0.8519,C:/Users/alfel/OneDrive/FELIX/Studium/Master/Soundscape Ecology/Report/Data processing/BirdNet analyzer/A022\20250429_110000.WAV
45.0,48.0,Lullula arborea,Wood Lark,0.4625,C:/Users/alfel/OneDrive/FELIX/Studium/Master/Soundscape Ecology/Report/Data processing/BirdNet analyzer/A022\20250429_110000.WAV
45.0,48.0,Parus major,Great Tit,0.2114,C:/Users/alfel/OneDrive/FELIX/Studium/Master/Soundscape Ecology/Report/Data processing/BirdNet analyzer/A022\20250429_110000.WAV
48.0,51.0,Lullula arborea,Wood Lark,0.2439,C:/Users/alfel/OneDrive/FELIX/Studium/Master/Soundscape Ecology/Report/Data processing/BirdNet analyzer/A022\20250429_110000.WAV
51.0,54.0,Phylloscopus collybita,Common Chiffchaff,0.5851,C:/Users/alfel/OneDrive/FELIX/Studium/Master/Soundscape Ecology/Report/Data processing/BirdNet analyzer/A022\20250429_110000.WAV
51.0,54.0,Luscinia svecica,Bluethroat,0.1474,C:/Users/alfel/OneDrive/FELIX/Studium/Master/Soundscape Ecology/Report/Data processing/BirdNet analyzer/A022\20250429_110000.WAV
51.0,54.0,Emberiza schoeniclus,Reed Bunting,0.1392,C:/Users/alfel/OneDrive/FELIX/Studium/Master/Soundscape Ecology/Report/Data processing/BirdNet analyzer/A022\20250429_110000.WAV
54.0,57.0,Lullula arborea,Wood Lark,0.1805,C:/Users/alfel/OneDrive/FELIX/Studium/Master/Soundscape Ecology/Report/Data processing/BirdNet analyzer/A022\20250429_110000.WAV
54.0,57.0,Anthus pratensis,Meadow Pipit,0.1149,C:/Users/alfel/OneDrive/FELIX/Studium/Master/Soundscape Ecology/Report/Data processing/BirdNet analyzer/A022\20250429_110000.WAV
57.0,60.0,Phylloscopus collybita,Common Chiffchaff,0.1631,C:/Users/alfel/OneDrive/FELIX/Studium/Master/Soundscape Ecology/Report/Data processing/BirdNet analyzer/A022\20250429_110000.WAV
60.0,63.0,Phylloscopus collybita,Common Chiffchaff,0.8890,C:/Users/alfel/OneDrive/FELIX/Studium/Master/Soundscape Ecology/Report/Data processing/BirdNet analyzer/A022\20250429_110000.WAV
63.0,66.0,Parus major,Great Tit,0.6364,C:/Users/alfel/OneDrive/FELIX/Studium/Master/Soundscape Ecology/Report/Data processing/BirdNet analyzer/A022\20250429_110000.WAV
