Start (s),End (s),Scientific name,Common name,Confidence,File
0.0,3.0,Emberiza schoeniclus,Reed Bunting,0.1013,C:/Users/alfel/OneDrive/FELIX/Studium/Master/Soundscape Ecology/Report/Data processing/BirdNet analyzer/A022\20250426_070000.WAV
6.0,9.0,Phylloscopus collybita,Common Chiffchaff,0.2785,C:/Users/alfel/OneDrive/FELIX/Studium/Master/Soundscape Ecology/Report/Data processing/BirdNet analyzer/A022\20250426_070000.WAV
9.0,12.0,Turdus merula,Eurasian Blackbird,0.1324,C:/Users/alfel/OneDrive/FELIX/Studium/Master/Soundscape Ecology/Report/Data processing/BirdNet analyzer/A022\20250426_070000.WAV
12.0,15.0,Curruca communis,Greater Whitethroat,0.1130,C:/Users/alfel/OneDrive/FELIX/Studium/Master/Soundscape Ecology/Report/Data processing/BirdNet analyzer/A022\20250426_070000.WAV
15.0,18.0,Phylloscopus collybita,Common Chiffchaff,0.1027,C:/Users/alfel/OneDrive/FELIX/Studium/Master/Soundscape Ecology/Report/Data processing/BirdNet analyzer/A022\20250426_070000.WAV
33.0,36.0,Curruca communis,Greater Whitethroat,0.1105,C:/Users/alfel/OneDrive/FELIX/Studium/Master/Soundscape Ecology/Report/Data processing/BirdNet analyzer/A022\20250426_070000.WAV
42.0,45.0,Alauda arvensis,Eurasian Skylark,0.1473,C:/Users/alfel/OneDrive/FELIX/Studium/Master/Soundscape Ecology/Report/Data processing/BirdNet analyzer/A022\20250426_070000.WAV
45.0,48.0,Alauda arvensis,Eurasian Skylark,0.1045,C:/Users/alfel/OneDrive/FELIX/Studium/Master/Soundscape Ecology/Report/Data processing/BirdNet analyzer/A022\20250426_070000.WAV
60.0,63.0,Alauda arvensis,Eurasian Skylark,0.1293,C:/Users/alfel/OneDrive/FELIX/Studium/Master/Soundscape Ecology/Report/Data processing/BirdNet analyzer/A022\20250426_070000.WAV
63.0,66.0,Alauda arvensis,Eurasian Skylark,0.1203,C:/Users/alfel/OneDrive/FELIX/Studium/Master/Soundscape Ecology/Report/Data processing/BirdNet analyzer/A022\20250426_070000.WAV
66.0,69.0,Alauda arvensis,Eurasian Skylark,0.1375,C:/Users/alfel/OneDrive/FELIX/Studium/Master/Soundscape Ecology/Report/Data processing/BirdNet analyzer/A022\20250426_070000.WAV
69.0,72.0,Alauda arvensis,Eurasian Skylark,0.1761,C:/Users/alfel/OneDrive/FELIX/Studium/Master/Soundscape Ecology/Report/Data processing/BirdNet analyzer/A022\20250426_070000.WAV
72.0,75.0,Alauda arvensis,Eurasian Skylark,0.2209,C:/Users/alfel/OneDrive/FELIX/Studium/Master/Soundscape Ecology/Report/Data processing/BirdNet analyzer/A022\20250426_070000.WAV
75.0,78.0,Alauda arvensis,Eurasian Skylark,0.2518,C:/Users/alfel/OneDrive/FELIX/Studium/Master/Soundscape Ecology/Report/Data processing/BirdNet analyzer/A022\20250426_070000.WAV
75.0,78.0,Corvus frugilegus,Rook,0.1416,C:/Users/alfel/OneDrive/FELIX/Studium/Master/Soundscape Ecology/Report/Data processing/BirdNet analyzer/A022\20250426_070000.WAV
78.0,81.0,Alauda arvensis,Eurasian Skylark,0.2501,C:/Users/alfel/OneDrive/FELIX/Studium/Master/Soundscape Ecology/Report/Data processing/BirdNet analyzer/A022\20250426_070000.WAV
81.0,84.0,Alauda arvensis,Eurasian Skylark,0.1858,C:/Users/alfel/OneDrive/FELIX/Studium/Master/Soundscape Ecology/Report/Data processing/BirdNet analyzer/A022\20250426_070000.WAV
84.0,87.0,Alauda arvensis,Eurasian Skylark,0.1879,C:/Users/alfel/OneDrive/FELIX/Studium/Master/Soundscape Ecology/Report/Data processing/BirdNet analyzer/A022\20250426_070000.WAV
87.0,90.0,Alauda arvensis,Eurasian Skylark,0.2102,C:/Users/alfel/OneDrive/FELIX/Studium/Master/Soundscape Ecology/Report/Data processing/BirdNet analyzer/A022\20250426_070000.WAV
