Start (s),End (s),Scientific name,Common name,Confidence,File
3.0,6.0,Alauda arvensis,Eurasian Skylark,0.8292,C:/Users/alfel/OneDrive/FELIX/Studium/Master/Soundscape Ecology/Report/Data processing/BirdNet analyzer/A022\20250428_090000.WAV
9.0,12.0,Alauda arvensis,Eurasian Skylark,0.5821,C:/Users/alfel/OneDrive/FELIX/Studium/Master/Soundscape Ecology/Report/Data processing/BirdNet analyzer/A022\20250428_090000.WAV
12.0,15.0,Alauda arvensis,Eurasian Skylark,0.7908,C:/Users/alfel/OneDrive/FELIX/Studium/Master/Soundscape Ecology/Report/Data processing/BirdNet analyzer/A022\20250428_090000.WAV
15.0,18.0,Alauda arvensis,Eurasian Skylark,0.3550,C:/Users/alfel/OneDrive/FELIX/Studium/Master/Soundscape Ecology/Report/Data processing/BirdNet analyzer/A022\20250428_090000.WAV
15.0,18.0,Phylloscopus collybita,Common Chiffchaff,0.1153,C:/Users/alfel/OneDrive/FELIX/Studium/Master/Soundscape Ecology/Report/Data processing/BirdNet analyzer/A022\20250428_090000.WAV
18.0,21.0,Alauda arvensis,Eurasian Skylark,0.4531,C:/Users/alfel/OneDrive/FELIX/Studium/Master/Soundscape Ecology/Report/Data processing/BirdNet analyzer/A022\20250428_090000.WAV
21.0,24.0,Alauda arvensis,Eurasian Skylark,0.1200,C:/Users/alfel/OneDrive/FELIX/Studium/Master/Soundscape Ecology/Report/Data processing/BirdNet analyzer/A022\20250428_090000.WAV
27.0,30.0,Alauda arvensis,Eurasian Skylark,0.1622,C:/Users/alfel/OneDrive/FELIX/Studium/Master/Soundscape Ecology/Report/Data processing/BirdNet analyzer/A022\20250428_090000.WAV
30.0,33.0,Alauda arvensis,Eurasian Skylark,0.2128,C:/Users/alfel/OneDrive/FELIX/Studium/Master/Soundscape Ecology/Report/Data processing/BirdNet analyzer/A022\20250428_090000.WAV
33.0,36.0,Alauda arvensis,Eurasian Skylark,0.3144,C:/Users/alfel/OneDrive/FELIX/Studium/Master/Soundscape Ecology/Report/Data processing/BirdNet analyzer/A022\20250428_090000.WAV
36.0,39.0,Alauda arvensis,Eurasian Skylark,0.7471,C:/Users/alfel/OneDrive/FELIX/Studium/Master/Soundscape Ecology/Report/Data processing/BirdNet analyzer/A022\20250428_090000.WAV
39.0,42.0,Alauda arvensis,Eurasian Skylark,0.6844,C:/Users/alfel/OneDrive/FELIX/Studium/Master/Soundscape Ecology/Report/Data processing/BirdNet analyzer/A022\20250428_090000.WAV
42.0,45.0,Alauda arvensis,Eurasian Skylark,0.7991,C:/Users/alfel/OneDrive/FELIX/Studium/Master/Soundscape Ecology/Report/Data processing/BirdNet analyzer/A022\20250428_090000.WAV
45.0,48.0,Alauda arvensis,Eurasian Skylark,0.4134,C:/Users/alfel/OneDrive/FELIX/Studium/Master/Soundscape Ecology/Report/Data processing/BirdNet analyzer/A022\20250428_090000.WAV
48.0,51.0,Alauda arvensis,Eurasian Skylark,0.5800,C:/Users/alfel/OneDrive/FELIX/Studium/Master/Soundscape Ecology/Report/Data processing/BirdNet analyzer/A022\20250428_090000.WAV
51.0,54.0,Alauda arvensis,Eurasian Skylark,0.7645,C:/Users/alfel/OneDrive/FELIX/Studium/Master/Soundscape Ecology/Report/Data processing/BirdNet analyzer/A022\20250428_090000.WAV
54.0,57.0,Alauda arvensis,Eurasian Skylark,0.3006,C:/Users/alfel/OneDrive/FELIX/Studium/Master/Soundscape Ecology/Report/Data processing/BirdNet analyzer/A022\20250428_090000.WAV
57.0,60.0,Alauda arvensis,Eurasian Skylark,0.3491,C:/Users/alfel/OneDrive/FELIX/Studium/Master/Soundscape Ecology/Report/Data processing/BirdNet analyzer/A022\20250428_090000.WAV
60.0,63.0,Alauda arvensis,Eurasian Skylark,0.3686,C:/Users/alfel/OneDrive/FELIX/Studium/Master/Soundscape Ecology/Report/Data processing/BirdNet analyzer/A022\20250428_090000.WAV
63.0,66.0,Alauda arvensis,Eurasian Skylark,0.3326,C:/Users/alfel/OneDrive/FELIX/Studium/Master/Soundscape Ecology/Report/Data processing/BirdNet analyzer/A022\20250428_090000.WAV
66.0,69.0,Alauda arvensis,Eurasian Skylark,0.1914,C:/Users/alfel/OneDrive/FELIX/Studium/Master/Soundscape Ecology/Report/Data processing/BirdNet analyzer/A022\20250428_090000.WAV
69.0,72.0,Alauda arvensis,Eurasian Skylark,0.3439,C:/Users/alfel/OneDrive/FELIX/Studium/Master/Soundscape Ecology/Report/Data processing/BirdNet analyzer/A022\20250428_090000.WAV
72.0,75.0,Alauda arvensis,Eurasian Skylark,0.5674,C:/Users/alfel/OneDrive/FELIX/Studium/Master/Soundscape Ecology/Report/Data processing/BirdNet analyzer/A022\20250428_090000.WAV
75.0,78.0,Alauda arvensis,Eurasian Skylark,0.1461,C:/Users/alfel/OneDrive/FELIX/Studium/Master/Soundscape Ecology/Report/Data processing/BirdNet analyzer/A022\20250428_090000.WAV
78.0,81.0,Alauda arvensis,Eurasian Skylark,0.6297,C:/Users/alfel/OneDrive/FELIX/Studium/Master/Soundscape Ecology/Report/Data processing/BirdNet analyzer/A022\20250428_090000.WAV
81.0,84.0,Alauda arvensis,Eurasian Skylark,0.1037,C:/Users/alfel/OneDrive/FELIX/Studium/Master/Soundscape Ecology/Report/Data processing/BirdNet analyzer/A022\20250428_090000.WAV
84.0,87.0,Alauda arvensis,Eurasian Skylark,0.1315,C:/Users/alfel/OneDrive/FELIX/Studium/Master/Soundscape Ecology/Report/Data processing/BirdNet analyzer/A022\20250428_090000.WAV
90.0,93.0,Alauda arvensis,Eurasian Skylark,0.1725,C:/Users/alfel/OneDrive/FELIX/Studium/Master/Soundscape Ecology/Report/Data processing/BirdNet analyzer/A022\20250428_090000.WAV
93.0,96.0,Alauda arvensis,Eurasian Skylark,0.2749,C:/Users/alfel/OneDrive/FELIX/Studium/Master/Soundscape Ecology/Report/Data processing/BirdNet analyzer/A022\20250428_090000.WAV
102.0,105.0,Alauda arvensis,Eurasian Skylark,0.7442,C:/Users/alfel/OneDrive/FELIX/Studium/Master/Soundscape Ecology/Report/Data processing/BirdNet analyzer/A022\20250428_090000.WAV
105.0,108.0,Alauda arvensis,Eurasian Skylark,0.1682,C:/Users/alfel/OneDrive/FELIX/Studium/Master/Soundscape Ecology/Report/Data processing/BirdNet analyzer/A022\20250428_090000.WAV
108.0,111.0,Alauda arvensis,Eurasian Skylark,0.2042,C:/Users/alfel/OneDrive/FELIX/Studium/Master/Soundscape Ecology/Report/Data processing/BirdNet analyzer/A022\20250428_090000.WAV
111.0,114.0,Actitis hypoleucos,Common Sandpiper,0.4003,C:/Users/alfel/OneDrive/FELIX/Studium/Master/Soundscape Ecology/Report/Data processing/BirdNet analyzer/A022\20250428_090000.WAV
114.0,117.0,Alauda arvensis,Eurasian Skylark,0.3470,C:/Users/alfel/OneDrive/FELIX/Studium/Master/Soundscape Ecology/Report/Data processing/BirdNet analyzer/A022\20250428_090000.WAV
114.0,117.0,Actitis hypoleucos,Common Sandpiper,0.3220,C:/Users/alfel/OneDrive/FELIX/Studium/Master/Soundscape Ecology/Report/Data processing/BirdNet analyzer/A022\20250428_090000.WAV
117.0,120.0,Alauda arvensis,Eurasian Skylark,0.2272,C:/Users/alfel/OneDrive/FELIX/Studium/Master/Soundscape Ecology/Report/Data processing/BirdNet analyzer/A022\20250428_090000.WAV
117.0,120.0,Actitis hypoleucos,Common Sandpiper,0.1090,C:/Users/alfel/OneDrive/FELIX/Studium/Master/Soundscape Ecology/Report/Data processing/BirdNet analyzer/A022\20250428_090000.WAV
120.0,123.0,Alauda arvensis,Eurasian Skylark,0.1141,C:/Users/alfel/OneDrive/FELIX/Studium/Master/Soundscape Ecology/Report/Data processing/BirdNet analyzer/A022\20250428_090000.WAV
129.0,132.0,Alauda arvensis,Eurasian Skylark,0.1315,C:/Users/alfel/OneDrive/FELIX/Studium/Master/Soundscape Ecology/Report/Data processing/BirdNet analyzer/A022\20250428_090000.WAV
144.0,147.0,Sylvia atricapilla,Eurasian Blackcap,0.1841,C:/Users/alfel/OneDrive/FELIX/Studium/Master/Soundscape Ecology/Report/Data processing/BirdNet analyzer/A022\20250428_090000.WAV
144.0,147.0,Curruca communis,Greater Whitethroat,0.1336,C:/Users/alfel/OneDrive/FELIX/Studium/Master/Soundscape Ecology/Report/Data processing/BirdNet analyzer/A022\20250428_090000.WAV
159.0,162.0,Alauda arvensis,Eurasian Skylark,0.1839,C:/Users/alfel/OneDrive/FELIX/Studium/Master/Soundscape Ecology/Report/Data processing/BirdNet analyzer/A022\20250428_090000.WAV
165.0,168.0,Alauda arvensis,Eurasian Skylark,0.5747,C:/Users/alfel/OneDrive/FELIX/Studium/Master/Soundscape Ecology/Report/Data processing/BirdNet analyzer/A022\20250428_090000.WAV
168.0,171.0,Alauda arvensis,Eurasian Skylark,0.8521,C:/Users/alfel/OneDrive/FELIX/Studium/Master/Soundscape Ecology/Report/Data processing/BirdNet analyzer/A022\20250428_090000.WAV
180.0,183.0,Alauda arvensis,Eurasian Skylark,0.1002,C:/Users/alfel/OneDrive/FELIX/Studium/Master/Soundscape Ecology/Report/Data processing/BirdNet analyzer/A022\20250428_090000.WAV
186.0,189.0,Alauda arvensis,Eurasian Skylark,0.4891,C:/Users/alfel/OneDrive/FELIX/Studium/Master/Soundscape Ecology/Report/Data processing/BirdNet analyzer/A022\20250428_090000.WAV
189.0,192.0,Alauda arvensis,Eurasian Skylark,0.2937,C:/Users/alfel/OneDrive/FELIX/Studium/Master/Soundscape Ecology/Report/Data processing/BirdNet analyzer/A022\20250428_090000.WAV
192.0,195.0,Alauda arvensis,Eurasian Skylark,0.5257,C:/Users/alfel/OneDrive/FELIX/Studium/Master/Soundscape Ecology/Report/Data processing/BirdNet analyzer/A022\20250428_090000.WAV
195.0,198.0,Alauda arvensis,Eurasian Skylark,0.6804,C:/Users/alfel/OneDrive/FELIX/Studium/Master/Soundscape Ecology/Report/Data processing/BirdNet analyzer/A022\20250428_090000.WAV
198.0,201.0,Alauda arvensis,Eurasian Skylark,0.3925,C:/Users/alfel/OneDrive/FELIX/Studium/Master/Soundscape Ecology/Report/Data processing/BirdNet analyzer/A022\20250428_090000.WAV
