Start (s),End (s),Scientific name,Common name,Confidence,File
12.0,15.0,Cyanistes caeruleus,Eurasian Blue Tit,0.5498,F:/soundscape ecology/data/10m_1h/A027\20250426_170000.WAV
15.0,18.0,Cyanistes caeruleus,Eurasian Blue Tit,0.5492,F:/soundscape ecology/data/10m_1h/A027\20250426_170000.WAV
18.0,21.0,Cyanistes caeruleus,Eurasian Blue Tit,0.5949,F:/soundscape ecology/data/10m_1h/A027\20250426_170000.WAV
21.0,24.0,Cyanistes caeruleus,Eurasian Blue Tit,0.1817,F:/soundscape ecology/data/10m_1h/A027\20250426_170000.WAV
24.0,27.0,Cyanistes caeruleus,Eurasian Blue Tit,0.7537,F:/soundscape ecology/data/10m_1h/A027\20250426_170000.WAV
24.0,27.0,Certhia familiaris,Eurasian Treecreeper,0.1517,F:/soundscape ecology/data/10m_1h/A027\20250426_170000.WAV
27.0,30.0,Regulus ignicapilla,Common Firecrest,0.2598,F:/soundscape ecology/data/10m_1h/A027\20250426_170000.WAV
30.0,33.0,Cyanistes caeruleus,Eurasian Blue Tit,0.8647,F:/soundscape ecology/data/10m_1h/A027\20250426_170000.WAV
42.0,45.0,Cyanistes caeruleus,Eurasian Blue Tit,0.8679,F:/soundscape ecology/data/10m_1h/A027\20250426_170000.WAV
54.0,57.0,Cyanistes caeruleus,Eurasian Blue Tit,0.7138,F:/soundscape ecology/data/10m_1h/A027\20250426_170000.WAV
60.0,63.0,Cyanistes caeruleus,Eurasian Blue Tit,0.7253,F:/soundscape ecology/data/10m_1h/A027\20250426_170000.WAV
66.0,69.0,Cyanistes caeruleus,Eurasian Blue Tit,0.8692,F:/soundscape ecology/data/10m_1h/A027\20250426_170000.WAV
69.0,72.0,Cyanistes caeruleus,Eurasian Blue Tit,0.9881,F:/soundscape ecology/data/10m_1h/A027\20250426_170000.WAV
72.0,75.0,Cyanistes caeruleus,Eurasian Blue Tit,0.8748,F:/soundscape ecology/data/10m_1h/A027\20250426_170000.WAV
75.0,78.0,Cyanistes caeruleus,Eurasian Blue Tit,0.5258,F:/soundscape ecology/data/10m_1h/A027\20250426_170000.WAV
78.0,81.0,Cyanistes caeruleus,Eurasian Blue Tit,0.5471,F:/soundscape ecology/data/10m_1h/A027\20250426_170000.WAV
84.0,87.0,Sylvia atricapilla,Eurasian Blackcap,0.1162,F:/soundscape ecology/data/10m_1h/A027\20250426_170000.WAV
96.0,99.0,Turdus merula,Eurasian Blackbird,0.2557,F:/soundscape ecology/data/10m_1h/A027\20250426_170000.WAV
105.0,108.0,Cyanistes caeruleus,Eurasian Blue Tit,0.6450,F:/soundscape ecology/data/10m_1h/A027\20250426_170000.WAV
108.0,111.0,Cyanistes caeruleus,Eurasian Blue Tit,0.7227,F:/soundscape ecology/data/10m_1h/A027\20250426_170000.WAV
114.0,117.0,Cyanistes caeruleus,Eurasian Blue Tit,0.8412,F:/soundscape ecology/data/10m_1h/A027\20250426_170000.WAV
117.0,120.0,Cyanistes caeruleus,Eurasian Blue Tit,0.8015,F:/soundscape ecology/data/10m_1h/A027\20250426_170000.WAV
120.0,123.0,Cyanistes caeruleus,Eurasian Blue Tit,0.7346,F:/soundscape ecology/data/10m_1h/A027\20250426_170000.WAV
135.0,138.0,Cyanistes caeruleus,Eurasian Blue Tit,0.7583,F:/soundscape ecology/data/10m_1h/A027\20250426_170000.WAV
138.0,141.0,Cyanistes caeruleus,Eurasian Blue Tit,0.3100,F:/soundscape ecology/data/10m_1h/A027\20250426_170000.WAV
141.0,144.0,Cyanistes caeruleus,Eurasian Blue Tit,0.2365,F:/soundscape ecology/data/10m_1h/A027\20250426_170000.WAV
141.0,144.0,Picus viridis,Eurasian Green Woodpecker,0.1395,F:/soundscape ecology/data/10m_1h/A027\20250426_170000.WAV
144.0,147.0,Turdus merula,Eurasian Blackbird,0.2707,F:/soundscape ecology/data/10m_1h/A027\20250426_170000.WAV
150.0,153.0,Cyanistes caeruleus,Eurasian Blue Tit,0.7700,F:/soundscape ecology/data/10m_1h/A027\20250426_170000.WAV
153.0,156.0,Turdus merula,Eurasian Blackbird,0.1821,F:/soundscape ecology/data/10m_1h/A027\20250426_170000.WAV
159.0,162.0,Turdus merula,Eurasian Blackbird,0.1743,F:/soundscape ecology/data/10m_1h/A027\20250426_170000.WAV
168.0,171.0,Sylvia atricapilla,Eurasian Blackcap,0.5004,F:/soundscape ecology/data/10m_1h/A027\20250426_170000.WAV
171.0,174.0,Turdus merula,Eurasian Blackbird,0.3189,F:/soundscape ecology/data/10m_1h/A027\20250426_170000.WAV
174.0,177.0,Cyanistes caeruleus,Eurasian Blue Tit,0.8364,F:/soundscape ecology/data/10m_1h/A027\20250426_170000.WAV
177.0,180.0,Turdus merula,Eurasian Blackbird,0.2588,F:/soundscape ecology/data/10m_1h/A027\20250426_170000.WAV
177.0,180.0,Cyanistes caeruleus,Eurasian Blue Tit,0.1816,F:/soundscape ecology/data/10m_1h/A027\20250426_170000.WAV
180.0,183.0,Cyanistes caeruleus,Eurasian Blue Tit,0.8574,F:/soundscape ecology/data/10m_1h/A027\20250426_170000.WAV
186.0,189.0,Cyanistes caeruleus,Eurasian Blue Tit,0.5364,F:/soundscape ecology/data/10m_1h/A027\20250426_170000.WAV
195.0,198.0,Cyanistes caeruleus,Eurasian Blue Tit,0.9070,F:/soundscape ecology/data/10m_1h/A027\20250426_170000.WAV
201.0,204.0,Cyanistes caeruleus,Eurasian Blue Tit,0.3790,F:/soundscape ecology/data/10m_1h/A027\20250426_170000.WAV
204.0,207.0,Turdus merula,Eurasian Blackbird,0.3099,F:/soundscape ecology/data/10m_1h/A027\20250426_170000.WAV
210.0,213.0,Cyanistes caeruleus,Eurasian Blue Tit,0.1451,F:/soundscape ecology/data/10m_1h/A027\20250426_170000.WAV
