Start (s),End (s),Scientific name,Common name,Confidence,File
0.0,3.0,Troglodytes troglodytes,Eurasian Wren,0.1259,F:/soundscape ecology/data/10m_1h/A027\20250428_060000.WAV
3.0,6.0,Cyanistes caeruleus,Eurasian Blue Tit,0.1098,F:/soundscape ecology/data/10m_1h/A027\20250428_060000.WAV
6.0,9.0,Sylvia atricapilla,Eurasian Blackcap,0.1969,F:/soundscape ecology/data/10m_1h/A027\20250428_060000.WAV
9.0,12.0,Cyanistes caeruleus,Eurasian Blue Tit,0.1297,F:/soundscape ecology/data/10m_1h/A027\20250428_060000.WAV
12.0,15.0,Cyanistes caeruleus,Eurasian Blue Tit,0.1060,F:/soundscape ecology/data/10m_1h/A027\20250428_060000.WAV
15.0,18.0,Cyanistes caeruleus,Eurasian Blue Tit,0.1388,F:/soundscape ecology/data/10m_1h/A027\20250428_060000.WAV
18.0,21.0,Sylvia atricapilla,Eurasian Blackcap,0.1337,F:/soundscape ecology/data/10m_1h/A027\20250428_060000.WAV
21.0,24.0,Sylvia atricapilla,Eurasian Blackcap,0.1808,F:/soundscape ecology/data/10m_1h/A027\20250428_060000.WAV
27.0,30.0,Cyanistes caeruleus,Eurasian Blue Tit,0.6986,F:/soundscape ecology/data/10m_1h/A027\20250428_060000.WAV
33.0,36.0,Cyanistes caeruleus,Eurasian Blue Tit,0.2525,F:/soundscape ecology/data/10m_1h/A027\20250428_060000.WAV
39.0,42.0,Sylvia atricapilla,Eurasian Blackcap,0.1103,F:/soundscape ecology/data/10m_1h/A027\20250428_060000.WAV
42.0,45.0,Cyanistes caeruleus,Eurasian Blue Tit,0.1565,F:/soundscape ecology/data/10m_1h/A027\20250428_060000.WAV
45.0,48.0,Cyanistes caeruleus,Eurasian Blue Tit,0.1420,F:/soundscape ecology/data/10m_1h/A027\20250428_060000.WAV
48.0,51.0,Phylloscopus trochilus,Willow Warbler,0.1642,F:/soundscape ecology/data/10m_1h/A027\20250428_060000.WAV
51.0,54.0,Luscinia svecica,Bluethroat,0.1895,F:/soundscape ecology/data/10m_1h/A027\20250428_060000.WAV
