Start (s),End (s),Scientific name,Common name,Confidence,File
0.0,3.0,Psittacula krameri,Rose-ringed Parakeet,0.2561,C:/Users/Maike/Dropbox/Uni Bonn/4. Semester/soundscape ecology/bericht/audiomoth data birdnet analysis 10 min 1 h/A029\20250426_180000.WAV
18.0,21.0,Turdus merula,Eurasian Blackbird,0.4307,C:/Users/Maike/Dropbox/Uni Bonn/4. Semester/soundscape ecology/bericht/audiomoth data birdnet analysis 10 min 1 h/A029\20250426_180000.WAV
42.0,45.0,Turdus merula,Eurasian Blackbird,0.7164,C:/Users/Maike/Dropbox/Uni Bonn/4. Semester/soundscape ecology/bericht/audiomoth data birdnet analysis 10 min 1 h/A029\20250426_180000.WAV
48.0,51.0,Alauda arvensis,Eurasian Skylark,0.1019,C:/Users/Maike/Dropbox/Uni Bonn/4. Semester/soundscape ecology/bericht/audiomoth data birdnet analysis 10 min 1 h/A029\20250426_180000.WAV
51.0,54.0,Turdus merula,Eurasian Blackbird,0.1018,C:/Users/Maike/Dropbox/Uni Bonn/4. Semester/soundscape ecology/bericht/audiomoth data birdnet analysis 10 min 1 h/A029\20250426_180000.WAV
63.0,66.0,Sylvia borin,Garden Warbler,0.1355,C:/Users/Maike/Dropbox/Uni Bonn/4. Semester/soundscape ecology/bericht/audiomoth data birdnet analysis 10 min 1 h/A029\20250426_180000.WAV
63.0,66.0,Turdus merula,Eurasian Blackbird,0.1304,C:/Users/Maike/Dropbox/Uni Bonn/4. Semester/soundscape ecology/bericht/audiomoth data birdnet analysis 10 min 1 h/A029\20250426_180000.WAV
66.0,69.0,Emberiza schoeniclus,Reed Bunting,0.1741,C:/Users/Maike/Dropbox/Uni Bonn/4. Semester/soundscape ecology/bericht/audiomoth data birdnet analysis 10 min 1 h/A029\20250426_180000.WAV
87.0,90.0,Turdus merula,Eurasian Blackbird,0.2234,C:/Users/Maike/Dropbox/Uni Bonn/4. Semester/soundscape ecology/bericht/audiomoth data birdnet analysis 10 min 1 h/A029\20250426_180000.WAV
87.0,90.0,Phylloscopus trochilus,Willow Warbler,0.1576,C:/Users/Maike/Dropbox/Uni Bonn/4. Semester/soundscape ecology/bericht/audiomoth data birdnet analysis 10 min 1 h/A029\20250426_180000.WAV
90.0,93.0,Alauda arvensis,Eurasian Skylark,0.2851,C:/Users/Maike/Dropbox/Uni Bonn/4. Semester/soundscape ecology/bericht/audiomoth data birdnet analysis 10 min 1 h/A029\20250426_180000.WAV
93.0,96.0,Turdus merula,Eurasian Blackbird,0.1235,C:/Users/Maike/Dropbox/Uni Bonn/4. Semester/soundscape ecology/bericht/audiomoth data birdnet analysis 10 min 1 h/A029\20250426_180000.WAV
96.0,99.0,Emberiza schoeniclus,Reed Bunting,0.1316,C:/Users/Maike/Dropbox/Uni Bonn/4. Semester/soundscape ecology/bericht/audiomoth data birdnet analysis 10 min 1 h/A029\20250426_180000.WAV
