Start (s),End (s),Scientific name,Common name,Confidence,File
0.0,3.0,Anas platyrhynchos,Mallard,0.1121,C:/Users/Maike/Dropbox/Uni Bonn/4. Semester/soundscape ecology/bericht/audiomoth data birdnet analysis 10 min 1 h/A029\20250427_170000.WAV
3.0,6.0,Corvus corone,Carrion Crow,0.1354,C:/Users/Maike/Dropbox/Uni Bonn/4. Semester/soundscape ecology/bericht/audiomoth data birdnet analysis 10 min 1 h/A029\20250427_170000.WAV
6.0,9.0,Sylvia borin,Garden Warbler,0.7232,C:/Users/Maike/Dropbox/Uni Bonn/4. Semester/soundscape ecology/bericht/audiomoth data birdnet analysis 10 min 1 h/A029\20250427_170000.WAV
9.0,12.0,Turdus merula,Eurasian Blackbird,0.5565,C:/Users/Maike/Dropbox/Uni Bonn/4. Semester/soundscape ecology/bericht/audiomoth data birdnet analysis 10 min 1 h/A029\20250427_170000.WAV
15.0,18.0,Phylloscopus collybita,Common Chiffchaff,0.7470,C:/Users/Maike/Dropbox/Uni Bonn/4. Semester/soundscape ecology/bericht/audiomoth data birdnet analysis 10 min 1 h/A029\20250427_170000.WAV
24.0,27.0,Phylloscopus collybita,Common Chiffchaff,0.1771,C:/Users/Maike/Dropbox/Uni Bonn/4. Semester/soundscape ecology/bericht/audiomoth data birdnet analysis 10 min 1 h/A029\20250427_170000.WAV
24.0,27.0,Emberiza schoeniclus,Reed Bunting,0.1068,C:/Users/Maike/Dropbox/Uni Bonn/4. Semester/soundscape ecology/bericht/audiomoth data birdnet analysis 10 min 1 h/A029\20250427_170000.WAV
33.0,36.0,Phylloscopus collybita,Common Chiffchaff,0.7583,C:/Users/Maike/Dropbox/Uni Bonn/4. Semester/soundscape ecology/bericht/audiomoth data birdnet analysis 10 min 1 h/A029\20250427_170000.WAV
36.0,39.0,Turdus merula,Eurasian Blackbird,0.3099,C:/Users/Maike/Dropbox/Uni Bonn/4. Semester/soundscape ecology/bericht/audiomoth data birdnet analysis 10 min 1 h/A029\20250427_170000.WAV
42.0,45.0,Emberiza schoeniclus,Reed Bunting,0.1587,C:/Users/Maike/Dropbox/Uni Bonn/4. Semester/soundscape ecology/bericht/audiomoth data birdnet analysis 10 min 1 h/A029\20250427_170000.WAV
