Start (s),End (s),Scientific name,Common name,Confidence,File
18.0,21.0,Riparia riparia,Bank Swallow,0.1312,C:/Users/Maike/Dropbox/Uni Bonn/4. Semester/soundscape ecology/bericht/audiomoth data birdnet analysis 10 min 1 h/A029\20250427_090000.WAV
21.0,24.0,Alauda arvensis,Eurasian Skylark,0.2333,C:/Users/Maike/Dropbox/Uni Bonn/4. Semester/soundscape ecology/bericht/audiomoth data birdnet analysis 10 min 1 h/A029\20250427_090000.WAV
24.0,27.0,Alauda arvensis,Eurasian Skylark,0.1253,C:/Users/Maike/Dropbox/Uni Bonn/4. Semester/soundscape ecology/bericht/audiomoth data birdnet analysis 10 min 1 h/A029\20250427_090000.WAV
27.0,30.0,Alauda arvensis,Eurasian Skylark,0.1092,C:/Users/Maike/Dropbox/Uni Bonn/4. Semester/soundscape ecology/bericht/audiomoth data birdnet analysis 10 min 1 h/A029\20250427_090000.WAV
30.0,33.0,Emberiza schoeniclus,Reed Bunting,0.1040,C:/Users/Maike/Dropbox/Uni Bonn/4. Semester/soundscape ecology/bericht/audiomoth data birdnet analysis 10 min 1 h/A029\20250427_090000.WAV
33.0,36.0,Phylloscopus collybita,Common Chiffchaff,0.1066,C:/Users/Maike/Dropbox/Uni Bonn/4. Semester/soundscape ecology/bericht/audiomoth data birdnet analysis 10 min 1 h/A029\20250427_090000.WAV
60.0,63.0,Alauda arvensis,Eurasian Skylark,0.1024,C:/Users/Maike/Dropbox/Uni Bonn/4. Semester/soundscape ecology/bericht/audiomoth data birdnet analysis 10 min 1 h/A029\20250427_090000.WAV
69.0,72.0,Alauda arvensis,Eurasian Skylark,0.1328,C:/Users/Maike/Dropbox/Uni Bonn/4. Semester/soundscape ecology/bericht/audiomoth data birdnet analysis 10 min 1 h/A029\20250427_090000.WAV
75.0,78.0,Turdus merula,Eurasian Blackbird,0.2293,C:/Users/Maike/Dropbox/Uni Bonn/4. Semester/soundscape ecology/bericht/audiomoth data birdnet analysis 10 min 1 h/A029\20250427_090000.WAV
78.0,81.0,Picus viridis,Eurasian Green Woodpecker,0.9684,C:/Users/Maike/Dropbox/Uni Bonn/4. Semester/soundscape ecology/bericht/audiomoth data birdnet analysis 10 min 1 h/A029\20250427_090000.WAV
81.0,84.0,Turdus merula,Eurasian Blackbird,0.5409,C:/Users/Maike/Dropbox/Uni Bonn/4. Semester/soundscape ecology/bericht/audiomoth data birdnet analysis 10 min 1 h/A029\20250427_090000.WAV
81.0,84.0,Corvus corone,Carrion Crow,0.1249,C:/Users/Maike/Dropbox/Uni Bonn/4. Semester/soundscape ecology/bericht/audiomoth data birdnet analysis 10 min 1 h/A029\20250427_090000.WAV
84.0,87.0,Corvus corone,Carrion Crow,0.2659,C:/Users/Maike/Dropbox/Uni Bonn/4. Semester/soundscape ecology/bericht/audiomoth data birdnet analysis 10 min 1 h/A029\20250427_090000.WAV
87.0,90.0,Turdus merula,Eurasian Blackbird,0.1808,C:/Users/Maike/Dropbox/Uni Bonn/4. Semester/soundscape ecology/bericht/audiomoth data birdnet analysis 10 min 1 h/A029\20250427_090000.WAV
93.0,96.0,Alauda arvensis,Eurasian Skylark,0.1073,C:/Users/Maike/Dropbox/Uni Bonn/4. Semester/soundscape ecology/bericht/audiomoth data birdnet analysis 10 min 1 h/A029\20250427_090000.WAV
96.0,99.0,Turdus merula,Eurasian Blackbird,0.3959,C:/Users/Maike/Dropbox/Uni Bonn/4. Semester/soundscape ecology/bericht/audiomoth data birdnet analysis 10 min 1 h/A029\20250427_090000.WAV
96.0,99.0,Alauda arvensis,Eurasian Skylark,0.2580,C:/Users/Maike/Dropbox/Uni Bonn/4. Semester/soundscape ecology/bericht/audiomoth data birdnet analysis 10 min 1 h/A029\20250427_090000.WAV
99.0,102.0,Saxicola rubetra,Whinchat,0.1753,C:/Users/Maike/Dropbox/Uni Bonn/4. Semester/soundscape ecology/bericht/audiomoth data birdnet analysis 10 min 1 h/A029\20250427_090000.WAV
99.0,102.0,Alauda arvensis,Eurasian Skylark,0.1596,C:/Users/Maike/Dropbox/Uni Bonn/4. Semester/soundscape ecology/bericht/audiomoth data birdnet analysis 10 min 1 h/A029\20250427_090000.WAV
102.0,105.0,Alauda arvensis,Eurasian Skylark,0.7796,C:/Users/Maike/Dropbox/Uni Bonn/4. Semester/soundscape ecology/bericht/audiomoth data birdnet analysis 10 min 1 h/A029\20250427_090000.WAV
105.0,108.0,Alauda arvensis,Eurasian Skylark,0.7685,C:/Users/Maike/Dropbox/Uni Bonn/4. Semester/soundscape ecology/bericht/audiomoth data birdnet analysis 10 min 1 h/A029\20250427_090000.WAV
108.0,111.0,Alauda arvensis,Eurasian Skylark,0.8707,C:/Users/Maike/Dropbox/Uni Bonn/4. Semester/soundscape ecology/bericht/audiomoth data birdnet analysis 10 min 1 h/A029\20250427_090000.WAV
111.0,114.0,Alauda arvensis,Eurasian Skylark,0.8455,C:/Users/Maike/Dropbox/Uni Bonn/4. Semester/soundscape ecology/bericht/audiomoth data birdnet analysis 10 min 1 h/A029\20250427_090000.WAV
114.0,117.0,Alauda arvensis,Eurasian Skylark,0.7952,C:/Users/Maike/Dropbox/Uni Bonn/4. Semester/soundscape ecology/bericht/audiomoth data birdnet analysis 10 min 1 h/A029\20250427_090000.WAV
120.0,123.0,Alauda arvensis,Eurasian Skylark,0.2746,C:/Users/Maike/Dropbox/Uni Bonn/4. Semester/soundscape ecology/bericht/audiomoth data birdnet analysis 10 min 1 h/A029\20250427_090000.WAV
123.0,126.0,Alauda arvensis,Eurasian Skylark,0.5067,C:/Users/Maike/Dropbox/Uni Bonn/4. Semester/soundscape ecology/bericht/audiomoth data birdnet analysis 10 min 1 h/A029\20250427_090000.WAV
126.0,129.0,Alauda arvensis,Eurasian Skylark,0.6501,C:/Users/Maike/Dropbox/Uni Bonn/4. Semester/soundscape ecology/bericht/audiomoth data birdnet analysis 10 min 1 h/A029\20250427_090000.WAV
129.0,132.0,Alauda arvensis,Eurasian Skylark,0.5790,C:/Users/Maike/Dropbox/Uni Bonn/4. Semester/soundscape ecology/bericht/audiomoth data birdnet analysis 10 min 1 h/A029\20250427_090000.WAV
