Start (s),End (s),Scientific name,Common name,Confidence,File
0.0,3.0,Sylvia borin,Garden Warbler,0.9763,C:/Users/Maike/Dropbox/Uni Bonn/4. Semester/soundscape ecology/bericht/audiomoth data birdnet analysis 10 min 1 h/A029\20250426_110000.WAV
0.0,3.0,Curruca communis,Greater Whitethroat,0.1661,C:/Users/Maike/Dropbox/Uni Bonn/4. Semester/soundscape ecology/bericht/audiomoth data birdnet analysis 10 min 1 h/A029\20250426_110000.WAV
0.0,3.0,Sylvia atricapilla,Eurasian Blackcap,0.1446,C:/Users/Maike/Dropbox/Uni Bonn/4. Semester/soundscape ecology/bericht/audiomoth data birdnet analysis 10 min 1 h/A029\20250426_110000.WAV
3.0,6.0,Curruca communis,Greater Whitethroat,0.6342,C:/Users/Maike/Dropbox/Uni Bonn/4. Semester/soundscape ecology/bericht/audiomoth data birdnet analysis 10 min 1 h/A029\20250426_110000.WAV
3.0,6.0,Sylvia borin,Garden Warbler,0.2629,C:/Users/Maike/Dropbox/Uni Bonn/4. Semester/soundscape ecology/bericht/audiomoth data birdnet analysis 10 min 1 h/A029\20250426_110000.WAV
3.0,6.0,Hippolais polyglotta,Melodious Warbler,0.1195,C:/Users/Maike/Dropbox/Uni Bonn/4. Semester/soundscape ecology/bericht/audiomoth data birdnet analysis 10 min 1 h/A029\20250426_110000.WAV
6.0,9.0,Spinus spinus,Eurasian Siskin,0.1105,C:/Users/Maike/Dropbox/Uni Bonn/4. Semester/soundscape ecology/bericht/audiomoth data birdnet analysis 10 min 1 h/A029\20250426_110000.WAV
12.0,15.0,Curruca communis,Greater Whitethroat,0.7653,C:/Users/Maike/Dropbox/Uni Bonn/4. Semester/soundscape ecology/bericht/audiomoth data birdnet analysis 10 min 1 h/A029\20250426_110000.WAV
12.0,15.0,Sylvia borin,Garden Warbler,0.5622,C:/Users/Maike/Dropbox/Uni Bonn/4. Semester/soundscape ecology/bericht/audiomoth data birdnet analysis 10 min 1 h/A029\20250426_110000.WAV
15.0,18.0,Curruca communis,Greater Whitethroat,0.3018,C:/Users/Maike/Dropbox/Uni Bonn/4. Semester/soundscape ecology/bericht/audiomoth data birdnet analysis 10 min 1 h/A029\20250426_110000.WAV
15.0,18.0,Hippolais polyglotta,Melodious Warbler,0.2809,C:/Users/Maike/Dropbox/Uni Bonn/4. Semester/soundscape ecology/bericht/audiomoth data birdnet analysis 10 min 1 h/A029\20250426_110000.WAV
15.0,18.0,Sylvia borin,Garden Warbler,0.1332,C:/Users/Maike/Dropbox/Uni Bonn/4. Semester/soundscape ecology/bericht/audiomoth data birdnet analysis 10 min 1 h/A029\20250426_110000.WAV
24.0,27.0,Spinus spinus,Eurasian Siskin,0.1940,C:/Users/Maike/Dropbox/Uni Bonn/4. Semester/soundscape ecology/bericht/audiomoth data birdnet analysis 10 min 1 h/A029\20250426_110000.WAV
30.0,33.0,Sylvia borin,Garden Warbler,0.3429,C:/Users/Maike/Dropbox/Uni Bonn/4. Semester/soundscape ecology/bericht/audiomoth data birdnet analysis 10 min 1 h/A029\20250426_110000.WAV
33.0,36.0,Sylvia borin,Garden Warbler,0.8454,C:/Users/Maike/Dropbox/Uni Bonn/4. Semester/soundscape ecology/bericht/audiomoth data birdnet analysis 10 min 1 h/A029\20250426_110000.WAV
33.0,36.0,Luscinia megarhynchos,Common Nightingale,0.1812,C:/Users/Maike/Dropbox/Uni Bonn/4. Semester/soundscape ecology/bericht/audiomoth data birdnet analysis 10 min 1 h/A029\20250426_110000.WAV
36.0,39.0,Sylvia borin,Garden Warbler,0.9927,C:/Users/Maike/Dropbox/Uni Bonn/4. Semester/soundscape ecology/bericht/audiomoth data birdnet analysis 10 min 1 h/A029\20250426_110000.WAV
