Start (s),End (s),Scientific name,Common name,Confidence,File
0.0,3.0,Turdus merula,Eurasian Blackbird,0.1199,C:/Users/alfel/OneDrive/FELIX/Studium/Master/Soundscape Ecology/Report/Data processing/BirdNet analyzer/A036\20250428_180000.WAV
3.0,6.0,Rallus aquaticus,Water Rail,0.2478,C:/Users/alfel/OneDrive/FELIX/Studium/Master/Soundscape Ecology/Report/Data processing/BirdNet analyzer/A036\20250428_180000.WAV
3.0,6.0,Emberiza schoeniclus,Reed Bunting,0.2324,C:/Users/alfel/OneDrive/FELIX/Studium/Master/Soundscape Ecology/Report/Data processing/BirdNet analyzer/A036\20250428_180000.WAV
6.0,9.0,Rallus aquaticus,Water Rail,0.1167,C:/Users/alfel/OneDrive/FELIX/Studium/Master/Soundscape Ecology/Report/Data processing/BirdNet analyzer/A036\20250428_180000.WAV
18.0,21.0,Phylloscopus collybita,Common Chiffchaff,0.1844,C:/Users/alfel/OneDrive/FELIX/Studium/Master/Soundscape Ecology/Report/Data processing/BirdNet analyzer/A036\20250428_180000.WAV
33.0,36.0,Phylloscopus collybita,Common Chiffchaff,0.4501,C:/Users/alfel/OneDrive/FELIX/Studium/Master/Soundscape Ecology/Report/Data processing/BirdNet analyzer/A036\20250428_180000.WAV
39.0,42.0,Emberiza schoeniclus,Reed Bunting,0.1652,C:/Users/alfel/OneDrive/FELIX/Studium/Master/Soundscape Ecology/Report/Data processing/BirdNet analyzer/A036\20250428_180000.WAV
39.0,42.0,Rallus aquaticus,Water Rail,0.1071,C:/Users/alfel/OneDrive/FELIX/Studium/Master/Soundscape Ecology/Report/Data processing/BirdNet analyzer/A036\20250428_180000.WAV
42.0,45.0,Rallus aquaticus,Water Rail,0.2715,C:/Users/alfel/OneDrive/FELIX/Studium/Master/Soundscape Ecology/Report/Data processing/BirdNet analyzer/A036\20250428_180000.WAV
45.0,48.0,Carduelis carduelis,European Goldfinch,0.6388,C:/Users/alfel/OneDrive/FELIX/Studium/Master/Soundscape Ecology/Report/Data processing/BirdNet analyzer/A036\20250428_180000.WAV
48.0,51.0,Carduelis carduelis,European Goldfinch,0.6583,C:/Users/alfel/OneDrive/FELIX/Studium/Master/Soundscape Ecology/Report/Data processing/BirdNet analyzer/A036\20250428_180000.WAV
54.0,57.0,Emberiza schoeniclus,Reed Bunting,0.1617,C:/Users/alfel/OneDrive/FELIX/Studium/Master/Soundscape Ecology/Report/Data processing/BirdNet analyzer/A036\20250428_180000.WAV
54.0,57.0,Rallus aquaticus,Water Rail,0.1151,C:/Users/alfel/OneDrive/FELIX/Studium/Master/Soundscape Ecology/Report/Data processing/BirdNet analyzer/A036\20250428_180000.WAV
60.0,63.0,Rallus aquaticus,Water Rail,0.1406,C:/Users/alfel/OneDrive/FELIX/Studium/Master/Soundscape Ecology/Report/Data processing/BirdNet analyzer/A036\20250428_180000.WAV
63.0,66.0,Turdus merula,Eurasian Blackbird,0.1744,C:/Users/alfel/OneDrive/FELIX/Studium/Master/Soundscape Ecology/Report/Data processing/BirdNet analyzer/A036\20250428_180000.WAV
72.0,75.0,Rallus aquaticus,Water Rail,0.2577,C:/Users/alfel/OneDrive/FELIX/Studium/Master/Soundscape Ecology/Report/Data processing/BirdNet analyzer/A036\20250428_180000.WAV
78.0,81.0,Rallus aquaticus,Water Rail,0.1108,C:/Users/alfel/OneDrive/FELIX/Studium/Master/Soundscape Ecology/Report/Data processing/BirdNet analyzer/A036\20250428_180000.WAV
84.0,87.0,Jynx torquilla,Eurasian Wryneck,0.1658,C:/Users/alfel/OneDrive/FELIX/Studium/Master/Soundscape Ecology/Report/Data processing/BirdNet analyzer/A036\20250428_180000.WAV
93.0,96.0,Rallus aquaticus,Water Rail,0.1120,C:/Users/alfel/OneDrive/FELIX/Studium/Master/Soundscape Ecology/Report/Data processing/BirdNet analyzer/A036\20250428_180000.WAV
102.0,105.0,Curruca communis,Greater Whitethroat,0.1344,C:/Users/alfel/OneDrive/FELIX/Studium/Master/Soundscape Ecology/Report/Data processing/BirdNet analyzer/A036\20250428_180000.WAV
108.0,111.0,Rallus aquaticus,Water Rail,0.2557,C:/Users/alfel/OneDrive/FELIX/Studium/Master/Soundscape Ecology/Report/Data processing/BirdNet analyzer/A036\20250428_180000.WAV
111.0,114.0,Rallus aquaticus,Water Rail,0.1362,C:/Users/alfel/OneDrive/FELIX/Studium/Master/Soundscape Ecology/Report/Data processing/BirdNet analyzer/A036\20250428_180000.WAV
114.0,117.0,Sylvia atricapilla,Eurasian Blackcap,0.1742,C:/Users/alfel/OneDrive/FELIX/Studium/Master/Soundscape Ecology/Report/Data processing/BirdNet analyzer/A036\20250428_180000.WAV
117.0,120.0,Acrocephalus arundinaceus,Great Reed Warbler,0.1474,C:/Users/alfel/OneDrive/FELIX/Studium/Master/Soundscape Ecology/Report/Data processing/BirdNet analyzer/A036\20250428_180000.WAV
120.0,123.0,Sylvia atricapilla,Eurasian Blackcap,0.1395,C:/Users/alfel/OneDrive/FELIX/Studium/Master/Soundscape Ecology/Report/Data processing/BirdNet analyzer/A036\20250428_180000.WAV
126.0,129.0,Phylloscopus collybita,Common Chiffchaff,0.3169,C:/Users/alfel/OneDrive/FELIX/Studium/Master/Soundscape Ecology/Report/Data processing/BirdNet analyzer/A036\20250428_180000.WAV
126.0,129.0,Rallus aquaticus,Water Rail,0.1504,C:/Users/alfel/OneDrive/FELIX/Studium/Master/Soundscape Ecology/Report/Data processing/BirdNet analyzer/A036\20250428_180000.WAV
129.0,132.0,Rallus aquaticus,Water Rail,0.1220,C:/Users/alfel/OneDrive/FELIX/Studium/Master/Soundscape Ecology/Report/Data processing/BirdNet analyzer/A036\20250428_180000.WAV
132.0,135.0,Acrocephalus arundinaceus,Great Reed Warbler,0.1053,C:/Users/alfel/OneDrive/FELIX/Studium/Master/Soundscape Ecology/Report/Data processing/BirdNet analyzer/A036\20250428_180000.WAV
144.0,147.0,Acrocephalus arundinaceus,Great Reed Warbler,0.1356,C:/Users/alfel/OneDrive/FELIX/Studium/Master/Soundscape Ecology/Report/Data processing/BirdNet analyzer/A036\20250428_180000.WAV
144.0,147.0,Emberiza schoeniclus,Reed Bunting,0.1086,C:/Users/alfel/OneDrive/FELIX/Studium/Master/Soundscape Ecology/Report/Data processing/BirdNet analyzer/A036\20250428_180000.WAV
153.0,156.0,Rallus aquaticus,Water Rail,0.1474,C:/Users/alfel/OneDrive/FELIX/Studium/Master/Soundscape Ecology/Report/Data processing/BirdNet analyzer/A036\20250428_180000.WAV
