Start (s),End (s),Scientific name,Common name,Confidence,File
0.0,3.0,Corvus monedula,Eurasian Jackdaw,0.3970,C:/Users/alfel/OneDrive/FELIX/Studium/Master/Soundscape Ecology/Report/Data processing/BirdNet analyzer/A026\20250430_100000.WAV
0.0,3.0,Corvus corone,Carrion Crow,0.3269,C:/Users/alfel/OneDrive/FELIX/Studium/Master/Soundscape Ecology/Report/Data processing/BirdNet analyzer/A026\20250430_100000.WAV
3.0,6.0,Corvus corone,Carrion Crow,0.2960,C:/Users/alfel/OneDrive/FELIX/Studium/Master/Soundscape Ecology/Report/Data processing/BirdNet analyzer/A026\20250430_100000.WAV
9.0,12.0,Corvus monedula,Eurasian Jackdaw,0.3532,C:/Users/alfel/OneDrive/FELIX/Studium/Master/Soundscape Ecology/Report/Data processing/BirdNet analyzer/A026\20250430_100000.WAV
12.0,15.0,Corvus monedula,Eurasian Jackdaw,0.3120,C:/Users/alfel/OneDrive/FELIX/Studium/Master/Soundscape Ecology/Report/Data processing/BirdNet analyzer/A026\20250430_100000.WAV
15.0,18.0,Alauda arvensis,Eurasian Skylark,0.7074,C:/Users/alfel/OneDrive/FELIX/Studium/Master/Soundscape Ecology/Report/Data processing/BirdNet analyzer/A026\20250430_100000.WAV
15.0,18.0,Corvus corone,Carrion Crow,0.3670,C:/Users/alfel/OneDrive/FELIX/Studium/Master/Soundscape Ecology/Report/Data processing/BirdNet analyzer/A026\20250430_100000.WAV
18.0,21.0,Corvus monedula,Eurasian Jackdaw,0.2970,C:/Users/alfel/OneDrive/FELIX/Studium/Master/Soundscape Ecology/Report/Data processing/BirdNet analyzer/A026\20250430_100000.WAV
21.0,24.0,Corvus monedula,Eurasian Jackdaw,0.6158,C:/Users/alfel/OneDrive/FELIX/Studium/Master/Soundscape Ecology/Report/Data processing/BirdNet analyzer/A026\20250430_100000.WAV
27.0,30.0,Phylloscopus collybita,Common Chiffchaff,0.1789,C:/Users/alfel/OneDrive/FELIX/Studium/Master/Soundscape Ecology/Report/Data processing/BirdNet analyzer/A026\20250430_100000.WAV
33.0,36.0,Emberiza schoeniclus,Reed Bunting,0.1228,C:/Users/alfel/OneDrive/FELIX/Studium/Master/Soundscape Ecology/Report/Data processing/BirdNet analyzer/A026\20250430_100000.WAV
36.0,39.0,Emberiza citrinella,Yellowhammer,0.4636,C:/Users/alfel/OneDrive/FELIX/Studium/Master/Soundscape Ecology/Report/Data processing/BirdNet analyzer/A026\20250430_100000.WAV
39.0,42.0,Emberiza citrinella,Yellowhammer,0.7015,C:/Users/alfel/OneDrive/FELIX/Studium/Master/Soundscape Ecology/Report/Data processing/BirdNet analyzer/A026\20250430_100000.WAV
45.0,48.0,Alauda arvensis,Eurasian Skylark,0.2098,C:/Users/alfel/OneDrive/FELIX/Studium/Master/Soundscape Ecology/Report/Data processing/BirdNet analyzer/A026\20250430_100000.WAV
45.0,48.0,Spinus spinus,Eurasian Siskin,0.1171,C:/Users/alfel/OneDrive/FELIX/Studium/Master/Soundscape Ecology/Report/Data processing/BirdNet analyzer/A026\20250430_100000.WAV
48.0,51.0,Alauda arvensis,Eurasian Skylark,0.3233,C:/Users/alfel/OneDrive/FELIX/Studium/Master/Soundscape Ecology/Report/Data processing/BirdNet analyzer/A026\20250430_100000.WAV
51.0,54.0,Alauda arvensis,Eurasian Skylark,0.1987,C:/Users/alfel/OneDrive/FELIX/Studium/Master/Soundscape Ecology/Report/Data processing/BirdNet analyzer/A026\20250430_100000.WAV
51.0,54.0,Emberiza calandra,Corn Bunting,0.1294,C:/Users/alfel/OneDrive/FELIX/Studium/Master/Soundscape Ecology/Report/Data processing/BirdNet analyzer/A026\20250430_100000.WAV
54.0,57.0,Alauda arvensis,Eurasian Skylark,0.1559,C:/Users/alfel/OneDrive/FELIX/Studium/Master/Soundscape Ecology/Report/Data processing/BirdNet analyzer/A026\20250430_100000.WAV
66.0,69.0,Parus major,Great Tit,0.2198,C:/Users/alfel/OneDrive/FELIX/Studium/Master/Soundscape Ecology/Report/Data processing/BirdNet analyzer/A026\20250430_100000.WAV
66.0,69.0,Lullula arborea,Wood Lark,0.1014,C:/Users/alfel/OneDrive/FELIX/Studium/Master/Soundscape Ecology/Report/Data processing/BirdNet analyzer/A026\20250430_100000.WAV
69.0,72.0,Alauda arvensis,Eurasian Skylark,0.1082,C:/Users/alfel/OneDrive/FELIX/Studium/Master/Soundscape Ecology/Report/Data processing/BirdNet analyzer/A026\20250430_100000.WAV
75.0,78.0,Emberiza citrinella,Yellowhammer,0.2041,C:/Users/alfel/OneDrive/FELIX/Studium/Master/Soundscape Ecology/Report/Data processing/BirdNet analyzer/A026\20250430_100000.WAV
78.0,81.0,Emberiza citrinella,Yellowhammer,0.4552,C:/Users/alfel/OneDrive/FELIX/Studium/Master/Soundscape Ecology/Report/Data processing/BirdNet analyzer/A026\20250430_100000.WAV
78.0,81.0,Alauda arvensis,Eurasian Skylark,0.2255,C:/Users/alfel/OneDrive/FELIX/Studium/Master/Soundscape Ecology/Report/Data processing/BirdNet analyzer/A026\20250430_100000.WAV
81.0,84.0,Alauda arvensis,Eurasian Skylark,0.3110,C:/Users/alfel/OneDrive/FELIX/Studium/Master/Soundscape Ecology/Report/Data processing/BirdNet analyzer/A026\20250430_100000.WAV
84.0,87.0,Emberiza citrinella,Yellowhammer,0.2501,C:/Users/alfel/OneDrive/FELIX/Studium/Master/Soundscape Ecology/Report/Data processing/BirdNet analyzer/A026\20250430_100000.WAV
87.0,90.0,Emberiza citrinella,Yellowhammer,0.7790,C:/Users/alfel/OneDrive/FELIX/Studium/Master/Soundscape Ecology/Report/Data processing/BirdNet analyzer/A026\20250430_100000.WAV
90.0,93.0,Parus major,Great Tit,0.2396,C:/Users/alfel/OneDrive/FELIX/Studium/Master/Soundscape Ecology/Report/Data processing/BirdNet analyzer/A026\20250430_100000.WAV
102.0,105.0,Alauda arvensis,Eurasian Skylark,0.8711,C:/Users/alfel/OneDrive/FELIX/Studium/Master/Soundscape Ecology/Report/Data processing/BirdNet analyzer/A026\20250430_100000.WAV
105.0,108.0,Alauda arvensis,Eurasian Skylark,0.9788,C:/Users/alfel/OneDrive/FELIX/Studium/Master/Soundscape Ecology/Report/Data processing/BirdNet analyzer/A026\20250430_100000.WAV
108.0,111.0,Alauda arvensis,Eurasian Skylark,0.9944,C:/Users/alfel/OneDrive/FELIX/Studium/Master/Soundscape Ecology/Report/Data processing/BirdNet analyzer/A026\20250430_100000.WAV
111.0,114.0,Rallus aquaticus,Water Rail,0.1229,C:/Users/alfel/OneDrive/FELIX/Studium/Master/Soundscape Ecology/Report/Data processing/BirdNet analyzer/A026\20250430_100000.WAV
114.0,117.0,Emberiza citrinella,Yellowhammer,0.8036,C:/Users/alfel/OneDrive/FELIX/Studium/Master/Soundscape Ecology/Report/Data processing/BirdNet analyzer/A026\20250430_100000.WAV
117.0,120.0,Alauda arvensis,Eurasian Skylark,0.1126,C:/Users/alfel/OneDrive/FELIX/Studium/Master/Soundscape Ecology/Report/Data processing/BirdNet analyzer/A026\20250430_100000.WAV
120.0,123.0,Alauda arvensis,Eurasian Skylark,0.1488,C:/Users/alfel/OneDrive/FELIX/Studium/Master/Soundscape Ecology/Report/Data processing/BirdNet analyzer/A026\20250430_100000.WAV
123.0,126.0,Alauda arvensis,Eurasian Skylark,0.1023,C:/Users/alfel/OneDrive/FELIX/Studium/Master/Soundscape Ecology/Report/Data processing/BirdNet analyzer/A026\20250430_100000.WAV
126.0,129.0,Alauda arvensis,Eurasian Skylark,0.2414,C:/Users/alfel/OneDrive/FELIX/Studium/Master/Soundscape Ecology/Report/Data processing/BirdNet analyzer/A026\20250430_100000.WAV
129.0,132.0,Alauda arvensis,Eurasian Skylark,0.3872,C:/Users/alfel/OneDrive/FELIX/Studium/Master/Soundscape Ecology/Report/Data processing/BirdNet analyzer/A026\20250430_100000.WAV
132.0,135.0,Alauda arvensis,Eurasian Skylark,0.2495,C:/Users/alfel/OneDrive/FELIX/Studium/Master/Soundscape Ecology/Report/Data processing/BirdNet analyzer/A026\20250430_100000.WAV
138.0,141.0,Emberiza citrinella,Yellowhammer,0.2783,C:/Users/alfel/OneDrive/FELIX/Studium/Master/Soundscape Ecology/Report/Data processing/BirdNet analyzer/A026\20250430_100000.WAV
138.0,141.0,Alauda arvensis,Eurasian Skylark,0.1211,C:/Users/alfel/OneDrive/FELIX/Studium/Master/Soundscape Ecology/Report/Data processing/BirdNet analyzer/A026\20250430_100000.WAV
147.0,150.0,Emberiza citrinella,Yellowhammer,0.2472,C:/Users/alfel/OneDrive/FELIX/Studium/Master/Soundscape Ecology/Report/Data processing/BirdNet analyzer/A026\20250430_100000.WAV
156.0,159.0,Emberiza citrinella,Yellowhammer,0.4562,C:/Users/alfel/OneDrive/FELIX/Studium/Master/Soundscape Ecology/Report/Data processing/BirdNet analyzer/A026\20250430_100000.WAV
156.0,159.0,Alauda arvensis,Eurasian Skylark,0.2503,C:/Users/alfel/OneDrive/FELIX/Studium/Master/Soundscape Ecology/Report/Data processing/BirdNet analyzer/A026\20250430_100000.WAV
159.0,162.0,Emberiza citrinella,Yellowhammer,0.1468,C:/Users/alfel/OneDrive/FELIX/Studium/Master/Soundscape Ecology/Report/Data processing/BirdNet analyzer/A026\20250430_100000.WAV
162.0,165.0,Alauda arvensis,Eurasian Skylark,0.1167,C:/Users/alfel/OneDrive/FELIX/Studium/Master/Soundscape Ecology/Report/Data processing/BirdNet analyzer/A026\20250430_100000.WAV
165.0,168.0,Emberiza citrinella,Yellowhammer,0.3782,C:/Users/alfel/OneDrive/FELIX/Studium/Master/Soundscape Ecology/Report/Data processing/BirdNet analyzer/A026\20250430_100000.WAV
168.0,171.0,Alauda arvensis,Eurasian Skylark,0.3482,C:/Users/alfel/OneDrive/FELIX/Studium/Master/Soundscape Ecology/Report/Data processing/BirdNet analyzer/A026\20250430_100000.WAV
171.0,174.0,Alauda arvensis,Eurasian Skylark,0.5040,C:/Users/alfel/OneDrive/FELIX/Studium/Master/Soundscape Ecology/Report/Data processing/BirdNet analyzer/A026\20250430_100000.WAV
177.0,180.0,Anthus trivialis,Tree Pipit,0.4799,C:/Users/alfel/OneDrive/FELIX/Studium/Master/Soundscape Ecology/Report/Data processing/BirdNet analyzer/A026\20250430_100000.WAV
180.0,183.0,Anthus trivialis,Tree Pipit,0.3425,C:/Users/alfel/OneDrive/FELIX/Studium/Master/Soundscape Ecology/Report/Data processing/BirdNet analyzer/A026\20250430_100000.WAV
183.0,186.0,Alauda arvensis,Eurasian Skylark,0.3539,C:/Users/alfel/OneDrive/FELIX/Studium/Master/Soundscape Ecology/Report/Data processing/BirdNet analyzer/A026\20250430_100000.WAV
186.0,189.0,Alauda arvensis,Eurasian Skylark,0.1604,C:/Users/alfel/OneDrive/FELIX/Studium/Master/Soundscape Ecology/Report/Data processing/BirdNet analyzer/A026\20250430_100000.WAV
189.0,192.0,Alauda arvensis,Eurasian Skylark,0.3522,C:/Users/alfel/OneDrive/FELIX/Studium/Master/Soundscape Ecology/Report/Data processing/BirdNet analyzer/A026\20250430_100000.WAV
201.0,204.0,Alauda arvensis,Eurasian Skylark,0.1566,C:/Users/alfel/OneDrive/FELIX/Studium/Master/Soundscape Ecology/Report/Data processing/BirdNet analyzer/A026\20250430_100000.WAV
204.0,207.0,Alauda arvensis,Eurasian Skylark,0.2839,C:/Users/alfel/OneDrive/FELIX/Studium/Master/Soundscape Ecology/Report/Data processing/BirdNet analyzer/A026\20250430_100000.WAV
207.0,210.0,Alauda arvensis,Eurasian Skylark,0.2434,C:/Users/alfel/OneDrive/FELIX/Studium/Master/Soundscape Ecology/Report/Data processing/BirdNet analyzer/A026\20250430_100000.WAV
210.0,213.0,Alauda arvensis,Eurasian Skylark,0.4980,C:/Users/alfel/OneDrive/FELIX/Studium/Master/Soundscape Ecology/Report/Data processing/BirdNet analyzer/A026\20250430_100000.WAV
213.0,216.0,Emberiza citrinella,Yellowhammer,0.1503,C:/Users/alfel/OneDrive/FELIX/Studium/Master/Soundscape Ecology/Report/Data processing/BirdNet analyzer/A026\20250430_100000.WAV
219.0,222.0,Alauda arvensis,Eurasian Skylark,0.2576,C:/Users/alfel/OneDrive/FELIX/Studium/Master/Soundscape Ecology/Report/Data processing/BirdNet analyzer/A026\20250430_100000.WAV
219.0,222.0,Emberiza citrinella,Yellowhammer,0.1299,C:/Users/alfel/OneDrive/FELIX/Studium/Master/Soundscape Ecology/Report/Data processing/BirdNet analyzer/A026\20250430_100000.WAV
222.0,225.0,Emberiza citrinella,Yellowhammer,0.2721,C:/Users/alfel/OneDrive/FELIX/Studium/Master/Soundscape Ecology/Report/Data processing/BirdNet analyzer/A026\20250430_100000.WAV
225.0,228.0,Alauda arvensis,Eurasian Skylark,0.3617,C:/Users/alfel/OneDrive/FELIX/Studium/Master/Soundscape Ecology/Report/Data processing/BirdNet analyzer/A026\20250430_100000.WAV
228.0,231.0,Alauda arvensis,Eurasian Skylark,0.3068,C:/Users/alfel/OneDrive/FELIX/Studium/Master/Soundscape Ecology/Report/Data processing/BirdNet analyzer/A026\20250430_100000.WAV
