Start (s),End (s),Scientific name,Common name,Confidence,File
12.0,15.0,Turdus merula,Eurasian Blackbird,0.1137,C:/Users/alfel/OneDrive/FELIX/Studium/Master/Soundscape Ecology/Report/Data processing/BirdNet analyzer/A026\20250427_140000.WAV
33.0,36.0,Curruca communis,Greater Whitethroat,0.1532,C:/Users/alfel/OneDrive/FELIX/Studium/Master/Soundscape Ecology/Report/Data processing/BirdNet analyzer/A026\20250427_140000.WAV
45.0,48.0,Turdus merula,Eurasian Blackbird,0.1131,C:/Users/alfel/OneDrive/FELIX/Studium/Master/Soundscape Ecology/Report/Data processing/BirdNet analyzer/A026\20250427_140000.WAV
84.0,87.0,Sylvia atricapilla,Eurasian Blackcap,0.1656,C:/Users/alfel/OneDrive/FELIX/Studium/Master/Soundscape Ecology/Report/Data processing/BirdNet analyzer/A026\20250427_140000.WAV
117.0,120.0,Buteo buteo,Common Buzzard,0.9465,C:/Users/alfel/OneDrive/FELIX/Studium/Master/Soundscape Ecology/Report/Data processing/BirdNet analyzer/A026\20250427_140000.WAV
129.0,132.0,Turdus merula,Eurasian Blackbird,0.3007,C:/Users/alfel/OneDrive/FELIX/Studium/Master/Soundscape Ecology/Report/Data processing/BirdNet analyzer/A026\20250427_140000.WAV
129.0,132.0,Phylloscopus trochilus,Willow Warbler,0.1138,C:/Users/alfel/OneDrive/FELIX/Studium/Master/Soundscape Ecology/Report/Data processing/BirdNet analyzer/A026\20250427_140000.WAV
138.0,141.0,Curruca communis,Greater Whitethroat,0.7554,C:/Users/alfel/OneDrive/FELIX/Studium/Master/Soundscape Ecology/Report/Data processing/BirdNet analyzer/A026\20250427_140000.WAV
156.0,159.0,Curruca communis,Greater Whitethroat,0.5328,C:/Users/alfel/OneDrive/FELIX/Studium/Master/Soundscape Ecology/Report/Data processing/BirdNet analyzer/A026\20250427_140000.WAV
159.0,162.0,Sylvia atricapilla,Eurasian Blackcap,0.3210,C:/Users/alfel/OneDrive/FELIX/Studium/Master/Soundscape Ecology/Report/Data processing/BirdNet analyzer/A026\20250427_140000.WAV
162.0,165.0,Curruca communis,Greater Whitethroat,0.4969,C:/Users/alfel/OneDrive/FELIX/Studium/Master/Soundscape Ecology/Report/Data processing/BirdNet analyzer/A026\20250427_140000.WAV
171.0,174.0,Curruca communis,Greater Whitethroat,0.5584,C:/Users/alfel/OneDrive/FELIX/Studium/Master/Soundscape Ecology/Report/Data processing/BirdNet analyzer/A026\20250427_140000.WAV
177.0,180.0,Curruca communis,Greater Whitethroat,0.3452,C:/Users/alfel/OneDrive/FELIX/Studium/Master/Soundscape Ecology/Report/Data processing/BirdNet analyzer/A026\20250427_140000.WAV
180.0,183.0,Turdus merula,Eurasian Blackbird,0.3844,C:/Users/alfel/OneDrive/FELIX/Studium/Master/Soundscape Ecology/Report/Data processing/BirdNet analyzer/A026\20250427_140000.WAV
183.0,186.0,Curruca communis,Greater Whitethroat,0.2630,C:/Users/alfel/OneDrive/FELIX/Studium/Master/Soundscape Ecology/Report/Data processing/BirdNet analyzer/A026\20250427_140000.WAV
189.0,192.0,Curruca communis,Greater Whitethroat,0.5333,C:/Users/alfel/OneDrive/FELIX/Studium/Master/Soundscape Ecology/Report/Data processing/BirdNet analyzer/A026\20250427_140000.WAV
192.0,195.0,Curruca communis,Greater Whitethroat,0.1107,C:/Users/alfel/OneDrive/FELIX/Studium/Master/Soundscape Ecology/Report/Data processing/BirdNet analyzer/A026\20250427_140000.WAV
195.0,198.0,Curruca communis,Greater Whitethroat,0.2565,C:/Users/alfel/OneDrive/FELIX/Studium/Master/Soundscape Ecology/Report/Data processing/BirdNet analyzer/A026\20250427_140000.WAV
207.0,210.0,Curruca communis,Greater Whitethroat,0.1359,C:/Users/alfel/OneDrive/FELIX/Studium/Master/Soundscape Ecology/Report/Data processing/BirdNet analyzer/A026\20250427_140000.WAV
219.0,222.0,Curruca communis,Greater Whitethroat,0.1383,C:/Users/alfel/OneDrive/FELIX/Studium/Master/Soundscape Ecology/Report/Data processing/BirdNet analyzer/A026\20250427_140000.WAV
222.0,225.0,Rallus aquaticus,Water Rail,0.3998,C:/Users/alfel/OneDrive/FELIX/Studium/Master/Soundscape Ecology/Report/Data processing/BirdNet analyzer/A026\20250427_140000.WAV
237.0,240.0,Curruca communis,Greater Whitethroat,0.1063,C:/Users/alfel/OneDrive/FELIX/Studium/Master/Soundscape Ecology/Report/Data processing/BirdNet analyzer/A026\20250427_140000.WAV
237.0,240.0,Emberiza schoeniclus,Reed Bunting,0.1037,C:/Users/alfel/OneDrive/FELIX/Studium/Master/Soundscape Ecology/Report/Data processing/BirdNet analyzer/A026\20250427_140000.WAV
243.0,246.0,Curruca communis,Greater Whitethroat,0.2651,C:/Users/alfel/OneDrive/FELIX/Studium/Master/Soundscape Ecology/Report/Data processing/BirdNet analyzer/A026\20250427_140000.WAV
249.0,252.0,Curruca communis,Greater Whitethroat,0.3598,C:/Users/alfel/OneDrive/FELIX/Studium/Master/Soundscape Ecology/Report/Data processing/BirdNet analyzer/A026\20250427_140000.WAV
255.0,258.0,Curruca communis,Greater Whitethroat,0.8323,C:/Users/alfel/OneDrive/FELIX/Studium/Master/Soundscape Ecology/Report/Data processing/BirdNet analyzer/A026\20250427_140000.WAV
261.0,264.0,Curruca communis,Greater Whitethroat,0.5691,C:/Users/alfel/OneDrive/FELIX/Studium/Master/Soundscape Ecology/Report/Data processing/BirdNet analyzer/A026\20250427_140000.WAV
276.0,279.0,Emberiza schoeniclus,Reed Bunting,0.1090,C:/Users/alfel/OneDrive/FELIX/Studium/Master/Soundscape Ecology/Report/Data processing/BirdNet analyzer/A026\20250427_140000.WAV
279.0,282.0,Phylloscopus collybita,Common Chiffchaff,0.3413,C:/Users/alfel/OneDrive/FELIX/Studium/Master/Soundscape Ecology/Report/Data processing/BirdNet analyzer/A026\20250427_140000.WAV
279.0,282.0,Luscinia svecica,Bluethroat,0.1410,C:/Users/alfel/OneDrive/FELIX/Studium/Master/Soundscape Ecology/Report/Data processing/BirdNet analyzer/A026\20250427_140000.WAV
282.0,285.0,Spinus spinus,Eurasian Siskin,0.1001,C:/Users/alfel/OneDrive/FELIX/Studium/Master/Soundscape Ecology/Report/Data processing/BirdNet analyzer/A026\20250427_140000.WAV
288.0,291.0,Curruca communis,Greater Whitethroat,0.1658,C:/Users/alfel/OneDrive/FELIX/Studium/Master/Soundscape Ecology/Report/Data processing/BirdNet analyzer/A026\20250427_140000.WAV
291.0,294.0,Curruca communis,Greater Whitethroat,0.5701,C:/Users/alfel/OneDrive/FELIX/Studium/Master/Soundscape Ecology/Report/Data processing/BirdNet analyzer/A026\20250427_140000.WAV
297.0,300.0,Curruca communis,Greater Whitethroat,0.4854,C:/Users/alfel/OneDrive/FELIX/Studium/Master/Soundscape Ecology/Report/Data processing/BirdNet analyzer/A026\20250427_140000.WAV
