siteID,freq_khz,amp_db,type,direction,distance_m
A03,2,-42.471355,signal,front,4
A03,4,-16.856325,signal,front,4
A03,8,-20.632612,signal,front,4
A03,12,-21.878437,signal,front,4
A03,2,-42.510384,signal,front,8
A03,4,-22.40588,signal,front,8
A03,8,-24.103395,signal,front,8
A03,12,-23.1569,signal,front,8
A03,2,-49.553982,signal,front,16
A03,4,-33.250572,signal,front,16
A03,8,-31.704397,signal,front,16
A03,12,-29.759077,signal,front,16
A03,2,NA,signal,front,32
A03,4,-39.651855,signal,front,32
A03,8,-38.8265,signal,front,32
A03,12,-43.669621,signal,front,32
A03,2,-35.747971,signal,back,4
A03,4,-23.130535,signal,back,4
A03,8,-13.979001,signal,back,4
A03,12,-27.742853,signal,back,4
A03,2,-40.006409,signal,back,8
A03,4,-25.064745,signal,back,8
A03,8,-24.946037,signal,back,8
A03,12,-31.871029,signal,back,8
A03,2,-42.50856,signal,back,16
A03,4,-39.928753,signal,back,16
A03,8,-37.360546,signal,back,16
A03,12,-39.102776,signal,back,16
A03,2,-48.174091,signal,back,32
A03,4,-45.023716,signal,back,32
A03,8,-45.525623,signal,back,32
A03,12,-51.389629,signal,back,32
A04,2,-31.317881,signal,front,4
A04,4,-18.036919,signal,front,4
A04,8,-11.556504,signal,front,4
A04,12,-20.708279,signal,front,4
A04,2,-36.547016,signal,front,8
A04,4,-22.579967,signal,front,8
A04,8,-20.271872,signal,front,8
A04,12,-22.280678,signal,front,8
A04,2,-40.796986,signal,front,16
A04,4,-28.715748,signal,front,16
A04,8,-26.912369,signal,front,16
A04,12,-35.376251,signal,front,16
A04,2,-48.516811,signal,front,32
A04,4,-37.313099,signal,front,32
A04,8,-32.12355,signal,front,32
A04,12,-39.086605,signal,front,32
A04,2,-32.079468,signal,back,4
A04,4,-29.915739,signal,back,4
A04,8,-27.531746,signal,back,4
A04,12,-24.180201,signal,back,4
A04,2,-37.353535,signal,back,8
A04,4,-35.906868,signal,back,8
A04,8,-36.076363,signal,back,8
A04,12,-33.717072,signal,back,8
A04,2,-46.538898,signal,back,16
A04,4,-45.792542,signal,back,16
A04,8,-44.21809,signal,back,16
A04,12,-42.566185,signal,back,16
A04,2,-60.768387,signal,back,32
A04,4,-55.836456,signal,back,32
A04,8,-47.680943,signal,back,32
A04,12,-50.692493,signal,back,32
A06,2,-17.690479,signal,front,4
A06,4,-10.264394,signal,front,4
A06,8,-10.449689,signal,front,4
A06,12,-5.86991,signal,front,4
A06,2,-21.448311,signal,front,8
A06,4,-14.239491,signal,front,8
A06,8,-7.945716,signal,front,8
A06,12,-23.132162,signal,front,8
A06,2,-29.19335,signal,front,16
A06,4,-18.744986,signal,front,16
A06,8,-15.700754,signal,front,16
A06,12,-27.879467,signal,front,16
A06,2,-37.664707,signal,front,32
A06,4,-25.936943,signal,front,32
A06,8,-16.809523,signal,front,32
A06,12,-35.908768,signal,front,32
A06,2,-27.934057,signal,back,4
A06,4,-18.539778,signal,back,4
A06,8,-7.856513,signal,back,4
A06,12,-21.097574,signal,back,4
A06,2,-33.470913,signal,back,8
A06,4,-22.330849,signal,back,8
A06,8,-11.461928,signal,back,8
A06,12,-23.03421,signal,back,8
A06,2,-37.563381,signal,back,16
A06,4,-29.615173,signal,back,16
A06,8,-32.772423,signal,back,16
A06,12,-42.825306,signal,back,16
A06,2,-46.145252,signal,back,32
A06,4,-41.367054,signal,back,32
A06,8,-37.083244,signal,back,32
A06,12,-50.33083,signal,back,32
A13,2,-26.876822,signal,front,4
A13,4,-20.371925,signal,front,4
A13,8,-24.30286,signal,front,4
A13,12,-12.079282,signal,front,4
A13,2,-27.086807,signal,front,8
A13,4,-21.16271,signal,front,8
A13,8,-22.271692,signal,front,8
A13,12,-41.877789,signal,front,8
A13,2,-29.101051,signal,front,16
A13,4,-30.572502,signal,front,16
A13,8,-18.559826,signal,front,16
A13,12,-38.543308,signal,front,16
A13,2,-38.924854,signal,front,32
A13,4,-38.423206,signal,front,32
A13,8,-33.384205,signal,front,32
A13,12,-39.503773,signal,front,32
A13,2,-32.030457,signal,back,4
A13,4,-26.304651,signal,back,4
A13,8,-20.58045,signal,back,4
A13,12,-19.740828,signal,back,4
A13,2,-46.020794,signal,back,8
A13,4,-42.070072,signal,back,8
A13,8,-19.331001,signal,back,8
A13,12,-35.975151,signal,back,8
A13,2,-58.624107,signal,back,16
A13,4,-32.905289,signal,back,16
A13,8,-38.121357,signal,back,16
A13,12,-39.804882,signal,back,16
A13,2,-53.607388,signal,back,32
A13,4,-37.676231,signal,back,32
A13,8,-41.659847,signal,back,32
A13,12,-53.894024,signal,back,32
A14,2,-27.41503,signal,front,4
A14,4,-19.790045,signal,front,4
A14,8,-15.445727,signal,front,4
A14,12,-10.947689,signal,front,4
A14,2,-28.964916,signal,front,8
A14,4,-27.650204,signal,front,8
A14,8,-23.117504,signal,front,8
A14,12,-19.068913,signal,front,8
A14,2,-35.979816,signal,front,16
A14,4,-32.729,signal,front,16
A14,8,-26.310144,signal,front,16
A14,12,-27.661734,signal,front,16
A14,2,-36.15625,signal,front,32
