Start (s),End (s),Scientific name,Common name,Confidence,File
3.0,6.0,Turdus merula,Eurasian Blackbird,0.2763,/Users/sm/Documents/ARTS/Soundscape_ecology/data/A025/20250427_050000.WAV
6.0,9.0,Turdus merula,Eurasian Blackbird,0.1735,/Users/sm/Documents/ARTS/Soundscape_ecology/data/A025/20250427_050000.WAV
18.0,21.0,Anas crecca,Green-winged Teal,0.3709,/Users/sm/Documents/ARTS/Soundscape_ecology/data/A025/20250427_050000.WAV
36.0,39.0,Tringa nebularia,Common Greenshank,0.1831,/Users/sm/Documents/ARTS/Soundscape_ecology/data/A025/20250427_050000.WAV
36.0,39.0,Tringa totanus,Common Redshank,0.1459,/Users/sm/Documents/ARTS/Soundscape_ecology/data/A025/20250427_050000.WAV
39.0,42.0,Turdus philomelos,Song Thrush,0.1450,/Users/sm/Documents/ARTS/Soundscape_ecology/data/A025/20250427_050000.WAV
54.0,57.0,Haematopus ostralegus,Eurasian Oystercatcher,0.3754,/Users/sm/Documents/ARTS/Soundscape_ecology/data/A025/20250427_050000.WAV
57.0,60.0,Haematopus ostralegus,Eurasian Oystercatcher,0.1728,/Users/sm/Documents/ARTS/Soundscape_ecology/data/A025/20250427_050000.WAV
60.0,63.0,Rallus aquaticus,Water Rail,0.1311,/Users/sm/Documents/ARTS/Soundscape_ecology/data/A025/20250427_050000.WAV
69.0,72.0,Turdus merula,Eurasian Blackbird,0.8509,/Users/sm/Documents/ARTS/Soundscape_ecology/data/A025/20250427_050000.WAV
69.0,72.0,Turdus philomelos,Song Thrush,0.1318,/Users/sm/Documents/ARTS/Soundscape_ecology/data/A025/20250427_050000.WAV
78.0,81.0,Sitta europaea,Eurasian Nuthatch,0.1461,/Users/sm/Documents/ARTS/Soundscape_ecology/data/A025/20250427_050000.WAV
81.0,84.0,Rallus aquaticus,Water Rail,0.1587,/Users/sm/Documents/ARTS/Soundscape_ecology/data/A025/20250427_050000.WAV
84.0,87.0,Rallus aquaticus,Water Rail,0.1352,/Users/sm/Documents/ARTS/Soundscape_ecology/data/A025/20250427_050000.WAV
84.0,87.0,Charadrius dubius,Little Ringed Plover,0.1118,/Users/sm/Documents/ARTS/Soundscape_ecology/data/A025/20250427_050000.WAV
87.0,90.0,Tringa nebularia,Common Greenshank,0.4953,/Users/sm/Documents/ARTS/Soundscape_ecology/data/A025/20250427_050000.WAV
87.0,90.0,Charadrius dubius,Little Ringed Plover,0.4411,/Users/sm/Documents/ARTS/Soundscape_ecology/data/A025/20250427_050000.WAV
87.0,90.0,Rallus aquaticus,Water Rail,0.1234,/Users/sm/Documents/ARTS/Soundscape_ecology/data/A025/20250427_050000.WAV
90.0,93.0,Tringa nebularia,Common Greenshank,0.5454,/Users/sm/Documents/ARTS/Soundscape_ecology/data/A025/20250427_050000.WAV
90.0,93.0,Anas crecca,Green-winged Teal,0.1992,/Users/sm/Documents/ARTS/Soundscape_ecology/data/A025/20250427_050000.WAV
93.0,96.0,Tringa nebularia,Common Greenshank,0.6628,/Users/sm/Documents/ARTS/Soundscape_ecology/data/A025/20250427_050000.WAV
93.0,96.0,Tringa totanus,Common Redshank,0.1471,/Users/sm/Documents/ARTS/Soundscape_ecology/data/A025/20250427_050000.WAV
141.0,144.0,Anas crecca,Green-winged Teal,0.1242,/Users/sm/Documents/ARTS/Soundscape_ecology/data/A025/20250427_050000.WAV
174.0,177.0,Charadrius dubius,Little Ringed Plover,0.1472,/Users/sm/Documents/ARTS/Soundscape_ecology/data/A025/20250427_050000.WAV
174.0,177.0,Haematopus ostralegus,Eurasian Oystercatcher,0.1145,/Users/sm/Documents/ARTS/Soundscape_ecology/data/A025/20250427_050000.WAV
177.0,180.0,Haematopus ostralegus,Eurasian Oystercatcher,0.1060,/Users/sm/Documents/ARTS/Soundscape_ecology/data/A025/20250427_050000.WAV
204.0,207.0,Pyrrhula pyrrhula,Eurasian Bullfinch,0.1338,/Users/sm/Documents/ARTS/Soundscape_ecology/data/A025/20250427_050000.WAV
213.0,216.0,Turdus philomelos,Song Thrush,0.2812,/Users/sm/Documents/ARTS/Soundscape_ecology/data/A025/20250427_050000.WAV
216.0,219.0,Rallus aquaticus,Water Rail,0.2130,/Users/sm/Documents/ARTS/Soundscape_ecology/data/A025/20250427_050000.WAV
219.0,222.0,Haematopus ostralegus,Eurasian Oystercatcher,0.1438,/Users/sm/Documents/ARTS/Soundscape_ecology/data/A025/20250427_050000.WAV
219.0,222.0,Rallus aquaticus,Water Rail,0.1406,/Users/sm/Documents/ARTS/Soundscape_ecology/data/A025/20250427_050000.WAV
225.0,228.0,Turdus philomelos,Song Thrush,0.3009,/Users/sm/Documents/ARTS/Soundscape_ecology/data/A025/20250427_050000.WAV
225.0,228.0,Turdus viscivorus,Mistle Thrush,0.1683,/Users/sm/Documents/ARTS/Soundscape_ecology/data/A025/20250427_050000.WAV
225.0,228.0,Turdus merula,Eurasian Blackbird,0.1049,/Users/sm/Documents/ARTS/Soundscape_ecology/data/A025/20250427_050000.WAV
228.0,231.0,Turdus philomelos,Song Thrush,0.1795,/Users/sm/Documents/ARTS/Soundscape_ecology/data/A025/20250427_050000.WAV
231.0,234.0,Turdus merula,Eurasian Blackbird,0.2738,/Users/sm/Documents/ARTS/Soundscape_ecology/data/A025/20250427_050000.WAV
234.0,237.0,Turdus philomelos,Song Thrush,0.2405,/Users/sm/Documents/ARTS/Soundscape_ecology/data/A025/20250427_050000.WAV
237.0,240.0,Rallus aquaticus,Water Rail,0.2019,/Users/sm/Documents/ARTS/Soundscape_ecology/data/A025/20250427_050000.WAV
240.0,243.0,Anas crecca,Green-winged Teal,0.2905,/Users/sm/Documents/ARTS/Soundscape_ecology/data/A025/20250427_050000.WAV
243.0,246.0,Anas crecca,Green-winged Teal,0.1904,/Users/sm/Documents/ARTS/Soundscape_ecology/data/A025/20250427_050000.WAV
252.0,255.0,Turdus merula,Eurasian Blackbird,0.5310,/Users/sm/Documents/ARTS/Soundscape_ecology/data/A025/20250427_050000.WAV
255.0,258.0,Tringa nebularia,Common Greenshank,0.2009,/Users/sm/Documents/ARTS/Soundscape_ecology/data/A025/20250427_050000.WAV
255.0,258.0,Turdus philomelos,Song Thrush,0.1010,/Users/sm/Documents/ARTS/Soundscape_ecology/data/A025/20250427_050000.WAV
264.0,267.0,Turdus philomelos,Song Thrush,0.1551,/Users/sm/Documents/ARTS/Soundscape_ecology/data/A025/20250427_050000.WAV
270.0,273.0,Haematopus ostralegus,Eurasian Oystercatcher,0.1621,/Users/sm/Documents/ARTS/Soundscape_ecology/data/A025/20250427_050000.WAV
279.0,282.0,Turdus merula,Eurasian Blackbird,0.2401,/Users/sm/Documents/ARTS/Soundscape_ecology/data/A025/20250427_050000.WAV
279.0,282.0,Turdus philomelos,Song Thrush,0.1210,/Users/sm/Documents/ARTS/Soundscape_ecology/data/A025/20250427_050000.WAV
285.0,288.0,Turdus merula,Eurasian Blackbird,0.6026,/Users/sm/Documents/ARTS/Soundscape_ecology/data/A025/20250427_050000.WAV
285.0,288.0,Turdus philomelos,Song Thrush,0.1390,/Users/sm/Documents/ARTS/Soundscape_ecology/data/A025/20250427_050000.WAV
288.0,291.0,Rallus aquaticus,Water Rail,0.1091,/Users/sm/Documents/ARTS/Soundscape_ecology/data/A025/20250427_050000.WAV
291.0,294.0,Chroicocephalus ridibundus,Black-headed Gull,0.1284,/Users/sm/Documents/ARTS/Soundscape_ecology/data/A025/20250427_050000.WAV
294.0,297.0,Turdus philomelos,Song Thrush,0.1254,/Users/sm/Documents/ARTS/Soundscape_ecology/data/A025/20250427_050000.WAV
297.0,300.0,Anas crecca,Green-winged Teal,0.6177,/Users/sm/Documents/ARTS/Soundscape_ecology/data/A025/20250427_050000.WAV
303.0,306.0,Turdus merula,Eurasian Blackbird,0.2801,/Users/sm/Documents/ARTS/Soundscape_ecology/data/A025/20250427_050000.WAV
306.0,309.0,Mareca penelope,Eurasian Wigeon,0.1280,/Users/sm/Documents/ARTS/Soundscape_ecology/data/A025/20250427_050000.WAV
306.0,309.0,Milvus milvus,Red Kite,0.1262,/Users/sm/Documents/ARTS/Soundscape_ecology/data/A025/20250427_050000.WAV
318.0,321.0,Turdus merula,Eurasian Blackbird,0.1135,/Users/sm/Documents/ARTS/Soundscape_ecology/data/A025/20250427_050000.WAV
321.0,324.0,Erithacus rubecula,European Robin,0.1874,/Users/sm/Documents/ARTS/Soundscape_ecology/data/A025/20250427_050000.WAV
330.0,333.0,Turdus merula,Eurasian Blackbird,0.1271,/Users/sm/Documents/ARTS/Soundscape_ecology/data/A025/20250427_050000.WAV
333.0,336.0,Tringa nebularia,Common Greenshank,0.2511,/Users/sm/Documents/ARTS/Soundscape_ecology/data/A025/20250427_050000.WAV
333.0,336.0,Tringa totanus,Common Redshank,0.1024,/Users/sm/Documents/ARTS/Soundscape_ecology/data/A025/20250427_050000.WAV
339.0,342.0,Buteo buteo,Common Buzzard,0.1642,/Users/sm/Documents/ARTS/Soundscape_ecology/data/A025/20250427_050000.WAV
435.0,438.0,Turdus merula,Eurasian Blackbird,0.1497,/Users/sm/Documents/ARTS/Soundscape_ecology/data/A025/20250427_050000.WAV
441.0,444.0,Turdus merula,Eurasian Blackbird,0.2925,/Users/sm/Documents/ARTS/Soundscape_ecology/data/A025/20250427_050000.WAV
441.0,444.0,Erithacus rubecula,European Robin,0.1197,/Users/sm/Documents/ARTS/Soundscape_ecology/data/A025/20250427_050000.WAV
444.0,447.0,Charadrius dubius,Little Ringed Plover,0.1291,/Users/sm/Documents/ARTS/Soundscape_ecology/data/A025/20250427_050000.WAV
447.0,450.0,Turdus merula,Eurasian Blackbird,0.6560,/Users/sm/Documents/ARTS/Soundscape_ecology/data/A025/20250427_050000.WAV
456.0,459.0,Turdus merula,Eurasian Blackbird,0.1795,/Users/sm/Documents/ARTS/Soundscape_ecology/data/A025/20250427_050000.WAV
465.0,468.0,Turdus merula,Eurasian Blackbird,0.3953,/Users/sm/Documents/ARTS/Soundscape_ecology/data/A025/20250427_050000.WAV
468.0,471.0,Turdus merula,Eurasian Blackbird,0.3234,/Users/sm/Documents/ARTS/Soundscape_ecology/data/A025/20250427_050000.WAV
474.0,477.0,Erithacus rubecula,European Robin,0.2954,/Users/sm/Documents/ARTS/Soundscape_ecology/data/A025/20250427_050000.WAV
474.0,477.0,Turdus merula,Eurasian Blackbird,0.1681,/Users/sm/Documents/ARTS/Soundscape_ecology/data/A025/20250427_050000.WAV
477.0,480.0,Turdus merula,Eurasian Blackbird,0.1120,/Users/sm/Documents/ARTS/Soundscape_ecology/data/A025/20250427_050000.WAV
480.0,483.0,Turdus merula,Eurasian Blackbird,0.1539,/Users/sm/Documents/ARTS/Soundscape_ecology/data/A025/20250427_050000.WAV
483.0,486.0,Erithacus rubecula,European Robin,0.5167,/Users/sm/Documents/ARTS/Soundscape_ecology/data/A025/20250427_050000.WAV
483.0,486.0,Turdus merula,Eurasian Blackbird,0.2882,/Users/sm/Documents/ARTS/Soundscape_ecology/data/A025/20250427_050000.WAV
486.0,489.0,Parus major,Great Tit,0.1496,/Users/sm/Documents/ARTS/Soundscape_ecology/data/A025/20250427_050000.WAV
489.0,492.0,Turdus merula,Eurasian Blackbird,0.5156,/Users/sm/Documents/ARTS/Soundscape_ecology/data/A025/20250427_050000.WAV
495.0,498.0,Turdus merula,Eurasian Blackbird,0.3057,/Users/sm/Documents/ARTS/Soundscape_ecology/data/A025/20250427_050000.WAV
498.0,501.0,Erithacus rubecula,European Robin,0.1181,/Users/sm/Documents/ARTS/Soundscape_ecology/data/A025/20250427_050000.WAV
501.0,504.0,Turdus merula,Eurasian Blackbird,0.3758,/Users/sm/Documents/ARTS/Soundscape_ecology/data/A025/20250427_050000.WAV
504.0,507.0,Charadrius dubius,Little Ringed Plover,0.1597,/Users/sm/Documents/ARTS/Soundscape_ecology/data/A025/20250427_050000.WAV
507.0,510.0,Turdus merula,Eurasian Blackbird,0.3298,/Users/sm/Documents/ARTS/Soundscape_ecology/data/A025/20250427_050000.WAV
510.0,513.0,Turdus merula,Eurasian Blackbird,0.1693,/Users/sm/Documents/ARTS/Soundscape_ecology/data/A025/20250427_050000.WAV
516.0,519.0,Turdus merula,Eurasian Blackbird,0.2919,/Users/sm/Documents/ARTS/Soundscape_ecology/data/A025/20250427_050000.WAV
519.0,522.0,Turdus merula,Eurasian Blackbird,0.2363,/Users/sm/Documents/ARTS/Soundscape_ecology/data/A025/20250427_050000.WAV
522.0,525.0,Turdus merula,Eurasian Blackbird,0.1739,/Users/sm/Documents/ARTS/Soundscape_ecology/data/A025/20250427_050000.WAV
528.0,531.0,Turdus merula,Eurasian Blackbird,0.2831,/Users/sm/Documents/ARTS/Soundscape_ecology/data/A025/20250427_050000.WAV
531.0,534.0,Turdus merula,Eurasian Blackbird,0.1018,/Users/sm/Documents/ARTS/Soundscape_ecology/data/A025/20250427_050000.WAV
540.0,543.0,Turdus merula,Eurasian Blackbird,0.1706,/Users/sm/Documents/ARTS/Soundscape_ecology/data/A025/20250427_050000.WAV
540.0,543.0,Corvus frugilegus,Rook,0.1034,/Users/sm/Documents/ARTS/Soundscape_ecology/data/A025/20250427_050000.WAV
543.0,546.0,Turdus merula,Eurasian Blackbird,0.3597,/Users/sm/Documents/ARTS/Soundscape_ecology/data/A025/20250427_050000.WAV
549.0,552.0,Turdus merula,Eurasian Blackbird,0.5553,/Users/sm/Documents/ARTS/Soundscape_ecology/data/A025/20250427_050000.WAV
552.0,555.0,Turdus merula,Eurasian Blackbird,0.2234,/Users/sm/Documents/ARTS/Soundscape_ecology/data/A025/20250427_050000.WAV
555.0,558.0,Turdus merula,Eurasian Blackbird,0.1147,/Users/sm/Documents/ARTS/Soundscape_ecology/data/A025/20250427_050000.WAV
573.0,576.0,Erithacus rubecula,European Robin,0.3652,/Users/sm/Documents/ARTS/Soundscape_ecology/data/A025/20250427_050000.WAV
573.0,576.0,Turdus merula,Eurasian Blackbird,0.1386,/Users/sm/Documents/ARTS/Soundscape_ecology/data/A025/20250427_050000.WAV
576.0,579.0,Turdus merula,Eurasian Blackbird,0.1289,/Users/sm/Documents/ARTS/Soundscape_ecology/data/A025/20250427_050000.WAV
585.0,588.0,Turdus merula,Eurasian Blackbird,0.2588,/Users/sm/Documents/ARTS/Soundscape_ecology/data/A025/20250427_050000.WAV
588.0,591.0,Turdus merula,Eurasian Blackbird,0.1095,/Users/sm/Documents/ARTS/Soundscape_ecology/data/A025/20250427_050000.WAV
597.0,600.0,Turdus merula,Eurasian Blackbird,0.1061,/Users/sm/Documents/ARTS/Soundscape_ecology/data/A025/20250427_050000.WAV
